Feature_Map,Pairs,Two_Qubit_Gates_Total,Two_Qubit_Gates_Median,Two_Qubit_Gates_Min,Two_Qubit_Gates_Max,Two_Qubit_Depth_Median,One_Qubit_Gates_Total,Total_Gates,Equivalence_Error_Max
Custom_Domain,120,600,5.0,5,5,5.0,1820,2420,7.605027718682322e-15
ZZ_Linear,120,600,5.0,5,5,5.0,1848,2448,3.219646771412954e-15
