,WP_0977,WP_1851,WP_0061,WP_1896,WP_1242,WP_0970,WP_0376,WP_1377,WP_0829,WP_0433,WP_0579,WP_1409,WP_1720,WP_0101,WP_1458,WP_1713
WP_0977,1.0000000000000009,0.20602847792130083,0.31149119469958336,0.3522980238741039,0.25249251468427436,0.12670904613432815,0.3122876407689763,0.30575349381052525,0.08791864195984325,0.3770117938169951,0.07522246427397676,0.1904284417260235,0.23535047236035028,0.08663754029408259,0.03130658442575872,0.14938893032547743
WP_1851,0.20602847792130083,0.9999999999999998,0.4144560201425792,0.4649746993873701,0.17666398389110735,0.13456697417418192,0.3821531082064609,0.3159495978432558,0.0065726554377702135,0.3142709347566204,0.17993933156729333,0.03138192489610716,0.0026025006638644974,0.04970238737847797,0.04188035570971693,0.05729192660645337
WP_0061,0.31149119469958336,0.4144560201425792,0.9999999999999998,0.5364536177571199,0.542131825141032,0.4844384055175127,0.6143486092489767,0.5197312553633113,0.16038709634419654,0.32539563234779223,0.23171063721788782,0.33606191301412586,0.11704017240706888,0.40235946074870854,0.07963301906624075,0.3156164594022688
WP_1896,0.3522980238741039,0.4649746993873701,0.5364536177571199,1.0,0.3181538341536143,0.2961038846002646,0.4472546011497814,0.6740385801989209,0.10251874086114511,0.5876661378235322,0.3294807002457435,0.374620885399056,0.13316214803983514,0.12484766637496711,0.19224196119140485,0.1917752097891617
WP_1242,0.25249251468427436,0.17666398389110735,0.5421318251410322,0.3181538341536143,1.0000000000000009,0.6378632393380216,0.6301448426641623,0.3443561923878377,0.2810674890227361,0.171328716419768,0.20713378532462123,0.14005640989356596,0.13883471076692902,0.5653344937956013,0.19967207997064526,0.519967785893817
WP_0970,0.12670904613432815,0.13456697417418192,0.4844384055175127,0.2961038846002645,0.6378632393380216,0.9999999999999993,0.43827181007113714,0.20666659715115365,0.20377237361719325,0.11327955248873732,0.3711688339994439,0.19208036981545581,0.16158423416924228,0.48462833059730115,0.32898103191941386,0.796304751339522
WP_0376,0.3122876407689763,0.3821531082064609,0.6143486092489769,0.4472546011497814,0.6301448426641623,0.43827181007113714,0.9999999999999991,0.33347574025809285,0.11836584737270144,0.15198087958245096,0.08679787556790208,0.1429924259059247,0.08384775633911204,0.4436278826571348,0.08973362232681416,0.30792403364137144
WP_1377,0.30575349381052525,0.3159495978432558,0.5197312553633113,0.6740385801989209,0.3443561923878377,0.20666659715115365,0.33347574025809285,1.0000000000000013,0.17357849889542384,0.6728249432601476,0.28695327025098627,0.18177362171135442,0.031249647906613585,0.09961796121114827,0.05163846787819636,0.15332600834610777
WP_0829,0.08791864195984325,0.0065726554377702135,0.1603870963441966,0.10251874086114511,0.281067489022736,0.20377237361719325,0.11836584737270144,0.17357849889542384,1.0000000000000004,0.05883403095629079,0.03644871247386599,0.15309877047046402,0.17817493743301144,0.13557627868212077,0.010675103362578976,0.4083119281435258
WP_0433,0.3770117938169951,0.3142709347566204,0.32539563234779223,0.5876661378235322,0.17132871641976793,0.11327955248873732,0.15198087958245096,0.6728249432601476,0.05883403095629079,1.0,0.3114333091289623,0.07032871962657215,0.007394601589464529,0.06620867673354214,0.05691174153885822,0.08263468744904269
WP_0579,0.07522246427397676,0.17993933156729333,0.23171063721788782,0.3294807002457435,0.20713378532462123,0.3711688339994439,0.08679787556790204,0.2869532702509864,0.03644871247386599,0.3114333091289624,1.0000000000000013,0.061433666609218146,0.009797068105404635,0.06085236820761147,0.46210398558126586,0.1911752444345566
WP_1409,0.1904284417260235,0.03138192489610716,0.336061913014126,0.374620885399056,0.14005640989356596,0.19208036981545581,0.1429924259059247,0.18177362171135436,0.15309877047046402,0.07032871962657215,0.06143366660921816,1.0,0.5775448338815308,0.030796190225415944,0.02120490862622018,0.1819343501551752
WP_1720,0.23535047236035034,0.0026025006638645013,0.11704017240706885,0.13316214803983512,0.13883471076692902,0.1615842341692422,0.08384775633911201,0.031249647906613567,0.17817493743301138,0.007394601589464529,0.009797068105404632,0.5775448338815311,1.0000000000000009,0.03273987349271794,0.008714747624463321,0.22183537425170366
WP_0101,0.08663754029408256,0.04970238737847797,0.40235946074870854,0.12484766637496715,0.5653344937956013,0.48462833059730104,0.4436278826571348,0.0996179612111482,0.13557627868212077,0.06620867673354217,0.06085236820761147,0.030796190225415954,0.03273987349271794,0.9999999999999991,0.10223517168892919,0.48424789865172146
WP_1458,0.03130658442575871,0.041880355709716946,0.07963301906624078,0.19224196119140485,0.19967207997064518,0.32898103191941414,0.08973362232681419,0.05163846787819639,0.01067510336257897,0.05691174153885818,0.4621039855812663,0.021204908626220192,0.008714747624463321,0.10223517168892919,0.9999999999999996,0.22952452936530462
WP_1713,0.14938893032547748,0.05729192660645338,0.3156164594022685,0.19177520978916185,0.519967785893817,0.7963047513395223,0.30792403364137133,0.15332600834610774,0.4083119281435258,0.08263468744904283,0.19117524443455658,0.18193435015517523,0.22183537425170366,0.48424789865172146,0.22952452936530462,1.0000000000000004
