Shots,i,j,Sample_ID_i,Sample_ID_j,Count_0000,K_Exact,K_Shots,Absolute_Error
1024,0,0,WP_0977,WP_0977,1024,1.0000000000000009,1.0,8.881784197001252e-16
1024,0,1,WP_0977,WP_1851,219,0.20602847792130083,0.2138671875,0.007838709578699171
1024,0,2,WP_0977,WP_0061,352,0.31149119469958336,0.34375,0.03225880530041664
1024,0,3,WP_0977,WP_1896,363,0.3522980238741039,0.3544921875,0.002194163625896084
1024,0,4,WP_0977,WP_1242,266,0.25249251468427436,0.259765625,0.007273110315725639
1024,0,5,WP_0977,WP_0970,121,0.12670904613432815,0.1181640625,0.008544983634328152
1024,0,6,WP_0977,WP_0376,331,0.3122876407689763,0.3232421875,0.010954546731023695
1024,0,7,WP_0977,WP_1377,301,0.30575349381052525,0.2939453125,0.011808181310525245
1024,0,8,WP_0977,WP_0829,80,0.08791864195984325,0.078125,0.009793641959843252
1024,0,9,WP_0977,WP_0433,385,0.3770117938169951,0.3759765625,0.0010352313169951222
1024,0,10,WP_0977,WP_0579,84,0.07522246427397676,0.08203125,0.006808785726023239
1024,0,11,WP_0977,WP_1409,192,0.1904284417260235,0.1875,0.002928441726023495
1024,0,12,WP_0977,WP_1720,262,0.23535047236035028,0.255859375,0.020508902639649718
1024,0,13,WP_0977,WP_0101,101,0.08663754029408259,0.0986328125,0.01199527220591741
1024,0,14,WP_0977,WP_1458,27,0.03130658442575872,0.0263671875,0.004939396925758718
1024,0,15,WP_0977,WP_1713,147,0.14938893032547743,0.1435546875,0.005834242825477426
1024,1,1,WP_1851,WP_1851,1024,0.9999999999999998,1.0,2.220446049250313e-16
1024,1,2,WP_1851,WP_0061,405,0.4144560201425792,0.3955078125,0.018948207642579207
1024,1,3,WP_1851,WP_1896,462,0.4649746993873701,0.451171875,0.013802824387370127
1024,1,4,WP_1851,WP_1242,182,0.17666398389110735,0.177734375,0.0010703911088926488
1024,1,5,WP_1851,WP_0970,137,0.13456697417418192,0.1337890625,0.0007779116741819248
1024,1,6,WP_1851,WP_0376,380,0.3821531082064609,0.37109375,0.011059358206460923
1024,1,7,WP_1851,WP_1377,313,0.3159495978432558,0.3056640625,0.010285535343255825
1024,1,8,WP_1851,WP_0829,3,0.0065726554377702135,0.0029296875,0.0036429679377702135
1024,1,9,WP_1851,WP_0433,359,0.3142709347566204,0.3505859375,0.03631500274337962
1024,1,10,WP_1851,WP_0579,169,0.17993933156729333,0.1650390625,0.014900269067293331
1024,1,11,WP_1851,WP_1409,34,0.03138192489610716,0.033203125,0.0018212001038928408
1024,1,12,WP_1851,WP_1720,1,0.0026025006638644974,0.0009765625,0.0016259381638644974
1024,1,13,WP_1851,WP_0101,48,0.04970238737847797,0.046875,0.002827387378477972
1024,1,14,WP_1851,WP_1458,54,0.04188035570971693,0.052734375,0.010854019290283068
1024,1,15,WP_1851,WP_1713,62,0.05729192660645337,0.060546875,0.0032549483935466333
1024,2,2,WP_0061,WP_0061,1024,0.9999999999999998,1.0,2.220446049250313e-16
1024,2,3,WP_0061,WP_1896,539,0.5364536177571199,0.5263671875,0.01008643025711986
1024,2,4,WP_0061,WP_1242,564,0.542131825141032,0.55078125,0.008649424858968024
1024,2,5,WP_0061,WP_0970,500,0.4844384055175127,0.48828125,0.0038428444824872843
1024,2,6,WP_0061,WP_0376,629,0.6143486092489767,0.6142578125,9.079674897671808e-05
