Shots,Repetitions,BA_Median,BA_Q1,BA_Q3,Delta_BA_Median,Delta_BA_Q1,Delta_BA_Q3,MCC_Median,Delta_MCC_Median,F1_Median,Specificity_Median,Unsafe_Acceptance_Median,Prediction_Change_Median,PSD_Rate_Median,Lambda_Min_Median
256,10,0.51875,0.5125,0.525,0.00625,0.0,0.0125,0.03943375672974064,0.018301270189221938,0.4175,0.6,0.4,0.0625,1.0,0.13947899456221421
1024,10,0.525,0.515625,0.534375,0.0125,0.003125,0.021875000000000002,0.05,0.02886751345948129,0.4308333333333333,0.5874999999999999,0.4125,0.03125,1.0,0.15769660703331567
