Seed,N,Subset_Key,Split_Number,Repeat,Fold,Model,Feature_Map,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number,Elapsed_Seconds,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,TN,FP,FN,TP
4524,16,S4524_N16,5,2,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0694625493551767,88.71994524883117,0.0295579433441162,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,5,2,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2027249778610928,11.778206883301827,0.0407052040100097,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,6,2,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,11,0.1422252793076638,31.262143408819043,0.036466360092163,0.25,-0.5773502691896258,0.4,0.0,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,6,2,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2192035320071425,12.424519563866372,0.0719192028045654,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,6,2,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0268051624298095,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,6,2,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0837688714474952,74.54980631474874,0.0433881282806396,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0,2
4524,16,S4524_N16,6,2,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2153923589687736,12.776780620372234,0.0791809558868408,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,7,2,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1417622662747088,28.58426888687412,0.0332939624786376,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,7,2,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.179133524196431,13.381567305229154,0.0549738407135009,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,7,2,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.011808156967163,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,7,2,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0894332525995995,67.98269128539832,0.0292837619781494,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,7,2,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2012285246851892,12.146566236673907,0.0456416606903076,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.2272282506041174,16.422711901718095,0.0358259677886962,0.5,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,8,2,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1728860970123335,12.579999499693397,0.0531980991363525,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.010887861251831,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0655501813621812,93.34146787927732,0.0283269882202148,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0,2
4524,16,S4524_N16,8,2,4,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2484187261866363,10.36329935571324,0.05137300491333,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,9,3,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.2034868827795237,19.891222910329223,0.0367686748504638,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1442799521983067,14.408555232569777,0.0657708644866943,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.010829210281372,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0738156273887868,86.1897834060444,0.0295090675354003,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2343060109730195,9.856322418149588,0.0891504287719726,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,10,3,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1131341499708557,32.13648981391403,0.0568034648895263,0.75,0.5773502691896258,0.6666666666666666,1.0,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,10,3,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1266283683623384,20.62888034937484,0.0582726001739501,0.25,-0.5773502691896258,0.4,0.25,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,10,3,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0119714736938476,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,10,3,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0499242430511157,120.47384008417376,0.0314164161682128,0.5,0.0,0.6666666666666666,0.75,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,10,3,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.1738230373836839,15.2826041439029,0.043074607849121,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0
4524,16,S4524_N16,11,3,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1690304816889931,23.56423707938636,0.0490281581878662,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,11,3,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2314779403758385,11.370200243004993,0.0834667682647705,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,11,3,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0112247467041015,0.25,-0.5773502691896258,0.0,0.5,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,11,3,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.1125747951113316,53.39565935929495,0.0324306488037109,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,11,3,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2584015708630913,10.939497851771977,0.0581443309783935,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,12,3,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.2225853669229912,18.500603362152138,0.09576416015625,0.5,0.0,0.6666666666666666,0.5,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,12,3,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2153796150346797,10.80757011667586,0.091888427734375,0.5,0.0,0.6666666666666666,0.75,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,12,3,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0112192630767822,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,12,3,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0637586744571241,97.7535780368678,0.0367224216461181,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,12,3,4,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2221695463652109,11.333494021875817,0.0461740493774414,0.25,-0.5773502691896258,0.4,0.5,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,13,4,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1092821129652448,33.26198717863376,0.0839884281158447,0.75,0.5773502691896258,0.6666666666666666,1.0,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,13,4,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1323451581355319,19.18302341822609,0.1231296062469482,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,13,4,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0164887905120849,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,13,4,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0611411869708947,101.63044402795433,0.081111192703247,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,13,4,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.143220779061655,19.172284852103896,0.1443076133728027,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,14,4,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1735143613798025,21.364836397367604,0.1233713626861572,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,14,4,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1991885797770265,10.934292878174702,0.1575427055358886,0.75,0.5773502691896258,0.6666666666666666,0.75,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,14,4,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0263063907623291,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,14,4,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0743600656561604,83.96630287838599,0.0572121143341064,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,14,4,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2819112697739496,8.347983326366073,0.094477891921997,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,15,4,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1825326818967767,21.31869870883217,0.0766265392303466,0.25,-0.5773502691896258,0.4,0.0,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,15,4,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2526102516956053,8.53915022205571,0.1351606845855713,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,15,4,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0334663391113281,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,15,4,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0859092526848042,72.92537063665826,0.0847771167755127,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,15,4,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2953446143285292,7.820513368098751,0.1668500900268554,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0
4524,16,S4524_N16,16,4,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.145712477358194,28.40317115222154,0.1025876998901367,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,16,4,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1900540776720941,14.069329654315258,0.11669921875,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,16,4,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0231814384460449,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,16,4,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0978367916545011,60.855234788282765,0.0607078075408935,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,16,4,4,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.1905320646483611,14.48606343638037,0.0837423801422119,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,17,5,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1337927353219635,32.230810300238154,0.0340261459350585,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,17,5,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1708117383137345,16.18826178486818,0.0652992725372314,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,17,5,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0515484809875488,0.75,0.5773502691896258,0.8,0.75,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,17,5,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0881737029269565,67.36361414077352,0.0629456043243408,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,17,5,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.1882498908275142,14.9221198027563,0.1124842166900634,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,18,5,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1509607796592969,26.472706544780458,0.0507233142852783,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,18,5,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1431196151097641,18.04776235457515,0.0981521606445312,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,18,5,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0137460231781005,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,18,5,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0787434044518573,78.3307781212561,0.0277912616729736,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,18,5,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.1631457091475895,17.060095943150046,0.0550501346588134,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,19,5,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1793975825505229,19.97430059502654,0.1133275032043457,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,19,5,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2913083677721018,7.0688025147267926,0.2133479118347168,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,19,5,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0309741497039794,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,19,5,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0605998636142341,102.15003737032414,0.0768389701843261,0.5,0.0,0.6666666666666666,0.25,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,19,5,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.3337122642560201,7.144969098349508,0.1110951900482177,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,20,5,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1735143613798025,21.364836397367604,0.0528278350830078,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,20,5,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1991885797770265,10.934292878174702,0.1300771236419677,0.75,0.5773502691896258,0.6666666666666666,0.75,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,20,5,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0427184104919433,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,20,5,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0743600656561604,83.96630287838599,0.1001479625701904,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
