Seed,N,Split_Number,Feature_Map,C,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Unsafe_Acceptance,Elapsed_Seconds,RBF_Balanced_Accuracy,RBF_MCC,RBF_F1,RBF_Specificity,RBF_Unsafe_Acceptance,Delta_BA_vs_RBF,Delta_MCC_vs_RBF,Win_vs_RBF,Tie_vs_RBF
4524,16,8,Separable_Control,1.0,1.0,1.0,1.0,,1.0,0.0,0.013948440551757812,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1,0
4524,16,8,ZZ_Linear,1.0,0.5,0.0,0.5,,0.5,0.5,0.01798725128173828,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,8,Pauli_Z_YY,1.0,0.5,0.0,0.5,,0.5,0.5,0.022233963012695312,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,8,Custom_Domain,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.020789146423339844,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,9,Separable_Control,1.0,0.5,0.0,0.0,,1.0,0.0,0.013584613800048828,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,9,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.01780867576599121,0.5,0.0,0.0,1.0,0.0,-0.25,-0.5773502691896258,0,0
4524,16,9,Pauli_Z_YY,1.0,0.5,0.0,0.0,,1.0,0.0,0.021904945373535156,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,9,Custom_Domain,1.0,0.5,0.0,0.0,,1.0,0.0,0.01675271987915039,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,10,Separable_Control,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.013842105865478516,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,1
4524,16,10,ZZ_Linear,1.0,0.0,-1.0,0.0,,0.0,1.0,0.018282651901245117,0.5,0.0,0.6666666666666666,0.0,1.0,-0.5,-1.0,0,0
4524,16,10,Pauli_Z_YY,1.0,0.25,-0.5773502691896258,0.4,,0.0,1.0,0.0233762264251709,0.5,0.0,0.6666666666666666,0.0,1.0,-0.25,-0.5773502691896258,0,0
4524,16,10,Custom_Domain,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.017607688903808594,0.5,0.0,0.6666666666666666,0.0,1.0,0.25,0.5773502691896258,1,0
4524,16,11,Separable_Control,1.0,0.5,0.0,0.0,,1.0,0.0,0.014789819717407227,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,11,ZZ_Linear,1.0,0.5,0.0,0.0,,1.0,0.0,0.019346952438354492,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,11,Pauli_Z_YY,1.0,0.5,0.0,0.0,,1.0,0.0,0.023059606552124023,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,11,Custom_Domain,1.0,0.5,0.0,0.5,,0.5,0.5,0.02467489242553711,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,12,Separable_Control,1.0,0.5,0.0,0.5,,0.5,0.5,0.01885056495666504,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,12,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.4,,0.0,1.0,0.017972469329833984,0.75,0.5773502691896258,0.8,0.5,0.5,-0.5,-1.1547005383792517,0,0
4524,16,12,Pauli_Z_YY,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.02260279655456543,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,12,Custom_Domain,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.01611161231994629,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,13,Separable_Control,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.015279054641723633,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,13,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.01901841163635254,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,13,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.028784513473510742,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,13,Custom_Domain,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.016373872756958008,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,14,Separable_Control,1.0,0.5,0.0,0.0,,1.0,0.0,0.01592707633972168,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,14,ZZ_Linear,1.0,0.5,0.0,0.0,,1.0,0.0,0.018445491790771484,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,14,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.022234439849853516,0.5,0.0,0.0,1.0,0.0,0.25,0.5773502691896258,1,0
4524,16,14,Custom_Domain,1.0,0.5,0.0,0.0,,1.0,0.0,0.01653599739074707,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,15,Separable_Control,1.0,0.5,0.0,0.5,,0.5,0.5,0.01493072509765625,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,15,ZZ_Linear,1.0,0.0,-1.0,0.0,,0.0,1.0,0.0181887149810791,0.5,0.0,0.5,0.5,0.5,-0.5,-1.0,0,0
4524,16,15,Pauli_Z_YY,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.022577285766601562,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,15,Custom_Domain,1.0,0.25,-0.5773502691896258,0.4,,0.0,1.0,0.015440225601196289,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,16,Separable_Control,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.014412641525268555,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,16,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.017629623413085938,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,16,Pauli_Z_YY,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.022452116012573242,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,16,Custom_Domain,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.017054080963134766,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,17,Separable_Control,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.014011859893798828,0.75,0.5773502691896258,0.8,0.5,0.5,0.0,0.0,0,1
4524,16,17,ZZ_Linear,1.0,0.5,0.0,0.0,,1.0,0.0,0.01929450035095215,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,17,Pauli_Z_YY,1.0,0.5,0.0,0.0,,1.0,0.0,0.023889780044555664,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,17,Custom_Domain,1.0,0.5,0.0,0.5,,0.5,0.5,0.016297101974487305,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,18,Separable_Control,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.01447749137878418,0.75,0.5773502691896258,0.6666666666666666,1.0,0.0,0.0,0.0,0,1
4524,16,18,ZZ_Linear,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.019407033920288086,0.75,0.5773502691896258,0.6666666666666666,1.0,0.0,0.0,0.0,0,1
4524,16,18,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.029451608657836914,0.75,0.5773502691896258,0.6666666666666666,1.0,0.0,0.0,0.0,0,1
4524,16,18,Custom_Domain,1.0,0.5,0.0,0.0,,1.0,0.0,0.026499032974243164,0.75,0.5773502691896258,0.6666666666666666,1.0,0.0,-0.25,-0.5773502691896258,0,0
4524,16,19,Separable_Control,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.014214038848876953,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,19,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.018218994140625,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,19,Pauli_Z_YY,1.0,0.5,0.0,0.5,,0.5,0.5,0.021840333938598633,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,19,Custom_Domain,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.015445947647094727,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,20,Separable_Control,1.0,0.5,0.0,0.0,,1.0,0.0,0.014099597930908203,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,20,ZZ_Linear,1.0,0.5,0.0,0.0,,1.0,0.0,0.0191342830657959,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,20,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.021848440170288086,0.5,0.0,0.0,1.0,0.0,0.25,0.5773502691896258,1,0
4524,16,20,Custom_Domain,1.0,0.5,0.0,0.0,,1.0,0.0,0.015211343765258789,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,32,1,Separable_Control,1.0,0.25,-0.5773502691896258,0.4,0.5,0.0,1.0,0.024547815322875977,0.375,-0.2581988897471611,0.2857142857142857,0.5,0.5,-0.125,-0.31915137944246474,0,0
4524,32,1,ZZ_Linear,1.0,0.625,0.2581988897471611,0.5714285714285714,0.4375,0.75,0.25,0.02769923210144043,0.375,-0.2581988897471611,0.2857142857142857,0.5,0.5,0.25,0.5163977794943222,1,0
4524,32,1,Pauli_Z_YY,1.0,0.5,0.0,0.5,0.5625,0.5,0.5,0.04196619987487793,0.375,-0.2581988897471611,0.2857142857142857,0.5,0.5,0.125,0.2581988897471611,1,0
4524,32,1,Custom_Domain,1.0,0.375,-0.2581988897471611,0.2857142857142857,0.4375,0.5,0.5,0.029003620147705078,0.375,-0.2581988897471611,0.2857142857142857,0.5,0.5,0.0,0.0,0,1
4524,32,2,Separable_Control,1.0,0.375,-0.2581988897471611,0.2857142857142857,0.3125,0.5,0.5,0.022781848907470703,0.25,-0.5773502691896258,0.0,0.5,0.5,0.125,0.31915137944246474,1,0
4524,32,2,ZZ_Linear,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.030247211456298828,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,32,2,Pauli_Z_YY,1.0,0.375,-0.2581988897471611,0.4444444444444444,0.375,0.25,0.75,0.05367851257324219,0.25,-0.5773502691896258,0.0,0.5,0.5,0.125,0.31915137944246474,1,0
4524,32,2,Custom_Domain,1.0,0.5,0.0,0.3333333333333333,0.625,0.75,0.25,0.026947498321533203,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,32,3,Separable_Control,1.0,0.5,0.0,0.5,0.375,0.5,0.5,0.023922204971313477,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,32,3,ZZ_Linear,1.0,0.5,0.0,0.6,0.625,0.25,0.75,0.029996633529663086,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,32,3,Pauli_Z_YY,1.0,0.625,0.2581988897471611,0.6666666666666666,0.5625,0.5,0.5,0.05690288543701172,0.5,0.0,0.5,0.5,0.5,0.125,0.2581988897471611,1,0
4524,32,3,Custom_Domain,1.0,0.5,0.0,0.5,0.6875,0.5,0.5,0.02591419219970703,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,32,4,Separable_Control,1.0,0.375,-0.3779644730092272,0.5454545454545454,0.25,0.0,1.0,0.023974180221557617,0.5,0.0,0.6,0.25,0.75,-0.125,-0.3779644730092272,0,0
4524,32,4,ZZ_Linear,1.0,0.5,0.0,0.6,0.3125,0.25,0.75,0.0294339656829834,0.5,0.0,0.6,0.25,0.75,0.0,0.0,0,1
4524,32,4,Pauli_Z_YY,1.0,0.375,-0.3779644730092272,0.5454545454545454,0.5625,0.0,1.0,0.04095792770385742,0.5,0.0,0.6,0.25,0.75,-0.125,-0.3779644730092272,0,0
4524,32,4,Custom_Domain,1.0,0.625,0.2581988897471611,0.6666666666666666,0.6875,0.5,0.5,0.02577805519104004,0.5,0.0,0.6,0.25,0.75,0.125,0.2581988897471611,1,0
4524,32,5,Separable_Control,1.0,0.5,0.0,0.3333333333333333,0.625,0.75,0.25,0.02334141731262207,0.5,0.0,0.6,0.25,0.75,0.0,0.0,0,1
4524,32,5,ZZ_Linear,1.0,0.5,0.0,0.5,0.6875,0.5,0.5,0.03502321243286133,0.5,0.0,0.6,0.25,0.75,0.0,0.0,0,1
4524,32,5,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.6666666666666666,0.6875,1.0,0.0,0.04056262969970703,0.5,0.0,0.6,0.25,0.75,0.25,0.5773502691896258,1,0
4524,32,5,Custom_Domain,1.0,0.625,0.2581988897471611,0.5714285714285714,0.75,0.75,0.25,0.025859832763671875,0.5,0.0,0.6,0.25,0.75,0.125,0.2581988897471611,1,0
4524,32,6,Separable_Control,1.0,0.375,-0.2581988897471611,0.4444444444444444,0.375,0.25,0.75,0.02303147315979004,0.25,-0.5773502691896258,0.0,0.5,0.5,0.125,0.31915137944246474,1,0
4524,32,6,ZZ_Linear,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.029231786727905273,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,32,6,Pauli_Z_YY,1.0,0.5,0.0,0.5,0.375,0.5,0.5,0.03908491134643555,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,32,6,Custom_Domain,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.025990962982177734,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,32,7,Separable_Control,1.0,0.5,0.0,0.6,0.5625,0.25,0.75,0.021896839141845703,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,32,7,ZZ_Linear,1.0,0.5,0.0,0.6,0.5625,0.25,0.75,0.029214859008789062,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,32,7,Pauli_Z_YY,1.0,0.5,0.0,0.5,0.5625,0.5,0.5,0.04119682312011719,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,32,7,Custom_Domain,1.0,0.625,0.2581988897471611,0.6666666666666666,0.625,0.5,0.5,0.029913902282714844,0.5,0.0,0.5,0.5,0.5,0.125,0.2581988897471611,1,0
4524,32,8,Separable_Control,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.02213311195373535,0.625,0.2581988897471611,0.5714285714285714,0.75,0.25,-0.125,-0.2581988897471611,0,0
4524,32,8,ZZ_Linear,1.0,0.625,0.2581988897471611,0.6666666666666666,0.625,0.5,0.5,0.028722524642944336,0.625,0.2581988897471611,0.5714285714285714,0.75,0.25,0.0,0.0,0,1
4524,32,8,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.8,0.75,0.5,0.5,0.04057669639587402,0.625,0.2581988897471611,0.5714285714285714,0.75,0.25,0.125,0.31915137944246474,1,0
4524,32,8,Custom_Domain,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.02524399757385254,0.625,0.2581988897471611,0.5714285714285714,0.75,0.25,0.375,0.7418011102528389,1,0
4524,32,9,Separable_Control,1.0,0.5,0.0,0.6,0.5625,0.25,0.75,0.02218461036682129,0.25,-0.5773502691896258,0.4,0.0,1.0,0.25,0.5773502691896258,1,0
4524,32,9,ZZ_Linear,1.0,0.625,0.3779644730092272,0.7272727272727273,0.375,0.25,0.75,0.02844381332397461,0.25,-0.5773502691896258,0.4,0.0,1.0,0.375,0.955314742198853,1,0
4524,32,9,Pauli_Z_YY,1.0,0.375,-0.3779644730092272,0.5454545454545454,0.5,0.0,1.0,0.0383915901184082,0.25,-0.5773502691896258,0.4,0.0,1.0,0.125,0.19938579618039864,1,0
4524,32,9,Custom_Domain,1.0,0.75,0.5,0.75,0.875,0.75,0.25,0.027735233306884766,0.25,-0.5773502691896258,0.4,0.0,1.0,0.5,1.0773502691896257,1,0
4524,32,10,Separable_Control,1.0,0.375,-0.2581988897471611,0.2857142857142857,0.3125,0.5,0.5,0.02309894561767578,0.375,-0.2581988897471611,0.4444444444444444,0.25,0.75,0.0,0.0,0,1
4524,32,10,ZZ_Linear,1.0,0.25,-0.5,0.25,0.3125,0.25,0.75,0.030638933181762695,0.375,-0.2581988897471611,0.4444444444444444,0.25,0.75,-0.125,-0.2418011102528389,0,0
4524,32,10,Pauli_Z_YY,1.0,0.375,-0.2581988897471611,0.4444444444444444,0.4375,0.25,0.75,0.04032254219055176,0.375,-0.2581988897471611,0.4444444444444444,0.25,0.75,0.0,0.0,0,1
4524,32,10,Custom_Domain,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.02955484390258789,0.375,-0.2581988897471611,0.4444444444444444,0.25,0.75,0.125,0.2581988897471611,1,0
4524,32,11,Separable_Control,1.0,0.375,-0.3779644730092272,0.5454545454545454,0.25,0.0,1.0,0.024054288864135742,0.25,-0.5773502691896258,0.0,0.5,0.5,0.125,0.19938579618039864,1,0
