Shots,i,j,Sample_ID_i,Sample_ID_j,Count_0000,K_Exact,K_Shots,Absolute_Error
256,4,9,WP_1242,WP_0433,53,0.171328716419768,0.20703125,0.03570253358023201
256,4,10,WP_1242,WP_0579,58,0.20713378532462123,0.2265625,0.019428714675378767
256,4,11,WP_1242,WP_1409,38,0.14005640989356596,0.1484375,0.008381090106434036
256,4,12,WP_1242,WP_1720,43,0.13883471076692902,0.16796875,0.02913403923307098
256,4,13,WP_1242,WP_0101,144,0.5653344937956013,0.5625,0.0028344937956013005
256,4,14,WP_1242,WP_1458,44,0.19967207997064526,0.171875,0.02779707997064526
256,4,15,WP_1242,WP_1713,129,0.519967785893817,0.50390625,0.01606153589381698
256,5,5,WP_0970,WP_0970,256,0.9999999999999993,1.0,6.661338147750939e-16
256,5,6,WP_0970,WP_0376,113,0.43827181007113714,0.44140625,0.0031344399288628644
256,5,7,WP_0970,WP_1377,51,0.20666659715115365,0.19921875,0.007447847151153653
256,5,8,WP_0970,WP_0829,52,0.20377237361719325,0.203125,0.0006473736171932476
256,5,9,WP_0970,WP_0433,26,0.11327955248873732,0.1015625,0.01171705248873732
256,5,10,WP_0970,WP_0579,98,0.3711688339994439,0.3828125,0.011643666000556108
256,5,11,WP_0970,WP_1409,51,0.19208036981545581,0.19921875,0.007138380184544185
256,5,12,WP_0970,WP_1720,36,0.16158423416924228,0.140625,0.02095923416924228
256,5,13,WP_0970,WP_0101,130,0.48462833059730115,0.5078125,0.02318416940269885
256,5,14,WP_0970,WP_1458,85,0.32898103191941386,0.33203125,0.0030502180805861423
256,5,15,WP_0970,WP_1713,204,0.796304751339522,0.796875,0.0005702486604779455
256,6,6,WP_0376,WP_0376,256,0.9999999999999991,1.0,8.881784197001252e-16
256,6,7,WP_0376,WP_1377,72,0.33347574025809285,0.28125,0.052225740258092845
256,6,8,WP_0376,WP_0829,39,0.11836584737270144,0.15234375,0.033977902627298565
256,6,9,WP_0376,WP_0433,39,0.15198087958245096,0.15234375,0.00036287041754903826
256,6,10,WP_0376,WP_0579,26,0.08679787556790208,0.1015625,0.014764624432097917
256,6,11,WP_0376,WP_1409,33,0.1429924259059247,0.12890625,0.014086175905924703
256,6,12,WP_0376,WP_1720,19,0.08384775633911204,0.07421875,0.00962900633911204
256,6,13,WP_0376,WP_0101,109,0.4436278826571348,0.42578125,0.01784663265713482
256,6,14,WP_0376,WP_1458,22,0.08973362232681416,0.0859375,0.003796122326814158
256,6,15,WP_0376,WP_1713,83,0.30792403364137144,0.32421875,0.016294716358628558
256,7,7,WP_1377,WP_1377,256,1.0000000000000013,1.0,1.3322676295501878e-15
256,7,8,WP_1377,WP_0829,40,0.17357849889542384,0.15625,0.017328498895423844
256,7,9,WP_1377,WP_0433,168,0.6728249432601476,0.65625,0.016574943260147634
256,7,10,WP_1377,WP_0579,71,0.28695327025098627,0.27734375,0.00960952025098627
256,7,11,WP_1377,WP_1409,51,0.18177362171135442,0.19921875,0.017445128288645584
256,7,12,WP_1377,WP_1720,13,0.031249647906613585,0.05078125,0.019531602093386415
256,7,13,WP_1377,WP_0101,29,0.09961796121114827,0.11328125,0.01366328878885173
256,7,14,WP_1377,WP_1458,11,0.05163846787819636,0.04296875,0.008669717878196363
256,7,15,WP_1377,WP_1713,35,0.15332600834610777,0.13671875,0.016607258346107767
256,8,8,WP_0829,WP_0829,256,1.0000000000000004,1.0,4.440892098500626e-16
