Feature_Map,N,Kernel_SHA256,Valid_Kernel,Geometry_Status,Diagonal_Max_Error,Symmetry_Max_Error,Kernel_Min,Kernel_Max,Eigenvalue_Min,Eigenvalue_Max,Effective_Rank,Offdiag_Mean,Offdiag_SD,Intra_Class_Mean,Inter_Class_Mean,Intra_Minus_Inter,Centered_KTA
Separable_Control,16,4cb15016d4ce72039c503df02f49336ed05bf459909503c288dbf682db0dcd9b,True,PASS,1.5543122344752192e-15,5.551115123125783e-16,0.18436857867261208,1.0000000000000013,0.06287687444869827,8.116122406543326,6.11942547731564,0.4716439149054947,0.13938385919180418,0.47758997656002294,0.4664411109577825,0.011148865602240432,0.2138281543405935
ZZ_Linear,16,4e88ad702969938d998648c827ac0ee023ec237f3f4e99df37937267696a9b55,True,PASS,1.9984014443252818e-15,2.220446049250313e-16,0.00031864249314206923,0.9999999999999991,0.1756587037727404,3.2047449178055176,12.815268262611733,0.11554581463734445,0.14344635837804393,0.10560267589818115,0.12424606103411237,-0.018643385135931223,0.19214250806664146
Pauli_Z_YY,16,f058b9a5dc08d09f839175e702e0b6e3341fbcb6ce9ce0b05caac28fb77bf894,True,PASS,2.6645352591003757e-15,3.3306690738754696e-16,3.4241370948063826e-06,0.9999999999999993,0.14412157427167632,2.939893520474455,12.65006587214414,0.09712333046731692,0.15446007797359246,0.09309503257818716,0.10064809112030547,-0.00755305854211831,0.207406432818489
Custom_Domain,16,cb56d2427f3eec8ed11b96de24429e330d02c2b494c80c4221cb990b96beaaf2,True,PASS,1.3322676295501878e-15,4.440892098500626e-16,0.0026025006638644974,1.0000000000000013,0.11656603727070912,4.984385742012014,9.948420582284127,0.2408690161448988,0.18184656020113643,0.24915789929727886,0.23361624338656622,0.015541655910712632,0.23597781446185856
