Seed,N,Model,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number
4538,16,Pauli_Z_YY,0.6875,0.42527767497325686,0.6766666666666666,,0.65,0.725,0.35,12.0,0.1588943643355079,16.945845249510445
4538,16,SVM_RBF_Fixed,0.625,0.27320508075688776,0.6,,0.625,0.625,0.375,11.9,,
4538,16,Separable_Control,0.4125,-0.20207259421636903,0.3466666666666667,,0.425,0.4,0.575,12.0,0.06723678654865625,89.88488197853093
4538,16,ZZ_Linear,0.65,0.33094010767585036,0.62,,0.6,0.7,0.4,12.0,0.17149847059806955,16.56859853272156
4538,32,Custom_Domain,0.5375,0.06760387430156375,0.4728174603174603,0.60625,0.5625,0.5125,0.4375,23.65,0.02933136399510125,265.52128940550557
4538,32,Pauli_Z_YY,0.55,0.10855491589367869,0.5469444444444445,0.559375,0.525,0.575,0.475,23.5,0.034888469888861004,131.2144731041049
4538,32,SVM_RBF_Fixed,0.5625,0.13954319505678198,0.599935064935065,0.59375,0.4375,0.6875,0.5625,23.35,,
4538,32,Separable_Control,0.4,-0.20126576000166949,0.3521969696969697,0.36875,0.4375,0.3625,0.5625,24.0,0.018691467620020448,602.3948730444496
4538,32,ZZ_Linear,0.58125,0.16465669224321733,0.5874314574314574,0.621875,0.5375,0.625,0.4625,23.75,0.0346866805438538,149.3923767561032
4538,64,Custom_Domain,0.60625,0.22143698867225486,0.5869001831501832,0.6578125,0.63125,0.58125,0.36875,44.5,0.00423670528499745,3156.825555261701
4538,64,Pauli_Z_YY,0.509375,0.021454237820969644,0.47887569130216184,0.5265625,0.55,0.46875,0.45,46.1,0.00361355585701,2127.8439066655983
4538,64,SVM_RBF_Fixed,0.546875,0.09289761563197489,0.54616606561653,0.565625,0.51875,0.575,0.48125,45.25,,
4538,64,Separable_Control,0.396875,-0.22328018620491713,0.4172740763558841,0.3515625,0.3375,0.45625,0.6625,47.2,0.00113891631037025,20367.050432281754
4538,64,ZZ_Linear,0.540625,0.0863143123573927,0.5414132900123613,0.56796875,0.51875,0.5625,0.48125,45.95,0.00344720500410285,2526.826578712325
4539,16,Custom_Domain,0.7625,0.5443375672974065,0.71,,0.85,0.675,0.15,12.0,0.1352704980333832,29.38021268220505
4539,16,Pauli_Z_YY,0.475,-0.05773502691896258,0.38666666666666666,,0.5,0.45,0.5,12.0,0.1284729624898159,18.197458460223643
4539,16,SVM_RBF_Fixed,0.325,-0.38094010767585035,0.22833333333333333,,0.4,0.25,0.6,12.0,,
4539,16,Separable_Control,0.4,-0.23094010767585033,0.32,,0.4,0.4,0.6,12.0,0.0364575078637241,163.13085561579823
4539,16,ZZ_Linear,0.475,-0.042264973081037424,0.3783333333333333,,0.575,0.375,0.425,12.0,0.14898937654692715,16.94744191355049
4539,32,Custom_Domain,0.51875,0.050813361594707826,0.43261904761904757,0.5375,0.65,0.3875,0.35,23.75,0.025748567848913648,298.25943343466804
4539,32,Pauli_Z_YY,0.54375,0.09036961141150639,0.45674603174603173,0.55,0.65,0.4375,0.35,23.85,0.02399425657563655,193.42891327964765
4539,32,SVM_RBF_Fixed,0.4875,-0.030988279163103306,0.3900396825396825,0.475,0.6,0.375,0.4,23.9,,
4539,32,Separable_Control,0.50625,0.019825082431604524,0.5012301587301586,0.540625,0.45,0.5625,0.55,23.65,0.011440274101796249,1032.099246361999
