Seed,N,Split_Number,Feature_Map,Kernel_SHA256,Valid_Kernel,Geometry_Status,Diagonal_Max_Error,Symmetry_Max_Error,Kernel_Min,Kernel_Max,Eigenvalue_Min,Eigenvalue_Max,Effective_Rank,Offdiag_Mean,Offdiag_SD,Intra_Class_Mean,Inter_Class_Mean,Intra_Minus_Inter,Centered_KTA
4524,16,1,Separable_Control,baa989a9b56f8983edc2e71632073e77e6596f3c2c68f9298e30fe629322d24c,True,PASS,8.881784197001252e-16,3.3306690738754696e-16,0.25300177553081216,1.0000000000000009,0.08590925268480427,6.26496409315768,5.46579539719982,0.47668518948634114,0.12384446142221557,0.4815118149811117,0.4726630015740324,0.00884881340707927,0.26195178329876856
4524,16,1,ZZ_Linear,b67c33ac245fe241ad05a675f5dc3a54e75dd5e929d8e3cb8e645195c2bbc8cb,True,PASS,1.9984014443252818e-15,5.551115123125783e-17,0.0006510243105916177,0.9999999999999991,0.2953446143285292,2.3097465045522325,10.770904128643,0.09366644531700993,0.1140599622062181,0.10251117522789317,0.08629583705794054,0.01621533816995263,0.3107256614907393
4524,16,1,Pauli_Z_YY,72467f487d2bea367a415e893180ae2a90356925c97c2323deb3de9e498f0edc,True,PASS,1.7763568394002505e-15,1.1102230246251565e-16,5.16798749489243e-05,0.9999999999999993,0.2526102516956053,2.157076886860077,10.87143571393998,0.06920713081212702,0.11811439529462198,0.07837780044865503,0.061564906115020364,0.016812894333634663,0.3100018730617522
4524,16,1,Custom_Domain,d044073e18b984137e37016e63fabe57da4e132244fdd33c3018c71b2c0df5cc,True,PASS,4.440892098500626e-16,2.7755575615628914e-16,0.003926505772746107,1.0000000000000004,0.18253268189677674,3.8913592498724876,8.537930198199756,0.23952145849669787,0.16424543738171124,0.23436942303415964,0.2438148213821464,-0.009445398347986772,0.2441219741305607
4524,16,2,Separable_Control,805d368d459f9fe9a64025f906bf445d27067c0ff7cc25a31f5654e41f07d94a,True,PASS,1.5543122344752192e-15,2.220446049250313e-16,0.1370635311133976,1.0000000000000013,0.09406027266093055,6.008946550958859,5.6880338798566665,0.45154607534098024,0.14079640324085935,0.4575543285092739,0.44653919770073536,0.011015130808538554,0.2609566085379444
4524,16,2,ZZ_Linear,41218d5e661b3a60cbe76d375314729630a83d847c9eebdb208d1c5572916776,True,PASS,1.9984014443252818e-15,2.220446049250313e-16,0.00022932923526555084,0.9999999999999993,0.22753812914882193,2.567857875021173,10.371118623424906,0.11371497741338636,0.1289817975153432,0.11534898033765396,0.11235330830983006,0.0029956720278239007,0.2862751121839115
4524,16,2,Pauli_Z_YY,ff896aec3fe213e5ef08b0702718da43d8d946b86cfec23cfc8cc0fe1c9a84d9,True,PASS,1.9984014443252818e-15,2.7755575615628914e-16,1.55381273202501e-06,0.9999999999999996,0.22952669069133333,2.435469443084406,10.350484512542934,0.10116739739412199,0.13740045459335998,0.12275643758918955,0.08317653056489899,0.03957990702429057,0.3422630570080016
4524,16,2,Custom_Domain,574133974c719c66471c1086e1091cf1f85bdb0df640064846a461fb6d30a85d,True,PASS,1.3322676295501878e-15,3.3306690738754696e-16,0.011393092734397196,1.0000000000000013,0.13899527097598313,3.9452780909226854,7.8343435612443395,0.24773294041154417,0.19139581722655405,0.2947060007408033,0.20858872347049492,0.08611727727030835,0.388442873486187
4524,16,3,Separable_Control,879ec2445b482b7a9459b4b110eef306bfe8ea42c6fa4fa1df65677a49c09101,True,PASS,8.881784197001252e-16,3.3306690738754696e-16,0.207820189257608,1.0000000000000009,0.08929238800380836,6.095536129297104,5.533225262405345,0.45817690499293245,0.1445106070464511,0.4875617309755615,0.4336895500074084,0.053872180968153105,0.36175968433368727
4524,16,3,ZZ_Linear,801fe899d19178cfe09beb784511e602808c976e87c7bc8ea26381842465869c,True,PASS,1.7763568394002505e-15,1.1102230246251565e-16,0.00042354529374710585,0.9999999999999991,0.2701293300379907,2.437265596807191,10.409002419917657,0.10121466842741303,0.13109535340854547,0.07541070837865706,0.12271796846804303,-0.047307260089385975,0.19898796261996438
4524,16,3,Pauli_Z_YY,2635a6d4865808df4f2b5484b5f43a3ffa15f261c4532fc2ea88e7416725cbdb,True,PASS,2.220446049250313e-15,1.1102230246251565e-16,1.4008581428764108e-05,0.9999999999999998,0.21219506040548447,2.2706486983151155,10.202812681604891,0.0883655542967911,0.14712221031558378,0.06392987837244966,0.10872861756707564,-0.04479873919462597,0.19732328226923
4524,16,3,Custom_Domain,6ed58be4465fd3f05ec537b43731d94531c04867fe643e4de2a4c262fbab0b02,True,PASS,8.881784197001252e-16,1.6653345369377348e-16,0.0033785883683799876,1.0000000000000009,0.16649840550737696,4.015443837695637,8.221229086825844,0.24194829509287122,0.18241926602816477,0.24508999257667158,0.23933021385637096,0.005759778720300618,0.26599858265347165
