Shots,Repetition,BA_Mean,Delta_BA_Mean,MCC_Mean,Delta_MCC_Mean,F1_Mean,Specificity_Mean,Unsafe_Acceptance_Mean,Prediction_Change_Rate,PSD_Rate,Lambda_Min_Median
256,1,0.525,0.0125,0.05,0.02886751345948129,0.4416666666666667,0.6,0.4,0.0875,1.0,0.13154581488221145
256,2,0.525,0.0125,0.05773502691896258,0.036602540378443876,0.4166666666666667,0.6,0.4,0.0625,1.0,0.13500113756759768
256,3,0.5125,0.0,0.02113248654051871,0.0,0.3983333333333333,0.6,0.4,0.025,1.0,0.15431625705407434
256,4,0.475,-0.0375,-0.05,-0.07113248654051871,0.38,0.55,0.45,0.0625,1.0,0.15074578694262364
256,5,0.5125,0.0,0.02113248654051871,0.0,0.41833333333333333,0.6,0.4,0.05,1.0,0.12951138419245864
256,6,0.525,0.0125,0.06547005383792517,0.04433756729740646,0.43166666666666664,0.6,0.4,0.0625,1.0,0.13621595751797128
256,7,0.5375,0.025,0.07886751345948129,0.05773502691896258,0.44666666666666666,0.6,0.4,0.025,1.0,0.14274203160645715
256,8,0.525,0.0125,0.05773502691896258,0.036602540378443876,0.40499999999999997,0.6,0.4,0.0375,1.0,0.13518806367892094
256,9,0.5125,0.0,0.02886751345948129,0.007735026918962584,0.45166666666666666,0.575,0.425,0.15,1.0,0.1465369458366821
256,10,0.475,-0.0375,-0.05,-0.07113248654051871,0.385,0.55,0.45,0.1125,1.0,0.1428143289496048
1024,1,0.5375,0.025,0.07886751345948129,0.05773502691896258,0.44000000000000006,0.625,0.375,0.05,1.0,0.15306611433494624
1024,2,0.525,0.0125,0.05,0.02886751345948129,0.39666666666666667,0.65,0.35,0.0625,1.0,0.1631145692615567
1024,3,0.525,0.0125,0.05,0.02886751345948129,0.43166666666666664,0.575,0.425,0.0375,1.0,0.16539635893498505
1024,4,0.5375,0.025,0.07886751345948129,0.05773502691896258,0.445,0.575,0.425,0.025,1.0,0.1640861446834464
1024,5,0.525,0.0125,0.05,0.02886751345948129,0.43166666666666664,0.575,0.425,0.0125,1.0,0.15709845658137445
1024,6,0.5,-0.0125,-0.007735026918962584,-0.02886751345948129,0.39166666666666666,0.575,0.425,0.0125,1.0,0.15906397415365825
1024,7,0.5125,0.0,0.02113248654051871,0.0,0.4,0.6,0.4,0.025,1.0,0.1533724224744228
1024,8,0.5125,0.0,0.02113248654051871,0.0,0.4,0.6,0.4,0.025,1.0,0.15151010864496134
1024,9,0.525,0.0125,0.042264973081037424,0.02113248654051871,0.43,0.575,0.425,0.0375,1.0,0.1582947574852569
1024,10,0.55,0.0375,0.10773502691896257,0.08660254037844388,0.46333333333333326,0.625,0.375,0.0875,1.0,0.15489464187871582
