N,CV_BA_Mean,CV_BA_SD,CV_MCC_Mean,CV_MCC_SD,CV_F1_Mean,CV_ROC_AUC_Mean,CV_Specificity_Mean,CV_Unsafe_Acceptance_Mean
16,0.55,0.13078709094514923,0.11547005383792516,0.30203984865483996,0.42666666666666664,,0.625,0.375
32,0.44375,0.13738033069969624,-0.1215718301874638,0.3230591627965084,0.3891810966810967,0.4125,0.475,0.525
64,0.621875,0.09613201928378988,0.24991915024357403,0.19714703195896077,0.5659333068891892,0.61015625,0.725,0.275
