N,Feature_Map,Valid_Fraction,Effective_Rank_Mean,Offdiag_Mean,Offdiag_SD_Mean,Intra_Minus_Inter_Mean,Centered_KTA_Mean,Eigenvalue_Minimum
16,Custom_Domain,1.0,8.216742330593956,0.23759227914591294,0.1821652647342778,0.016339502284764596,0.2807491889588579,0.10928211296524487
16,Pauli_Z_YY,1.0,10.175001105957374,0.0922338816993698,0.14879574297204307,-0.004502289785580113,0.26301427933318205,0.1266283683623384
16,Separable_Control,1.0,5.465751806638296,0.4650670549485336,0.1410037572883482,0.008752324765737698,0.2530099053808904,0.04992424305111573
16,ZZ_Linear,1.0,10.222767413952798,0.11114871909026583,0.13843192717377403,-0.011483331956938592,0.25603171821727855,0.143220779061655
32,Custom_Domain,1.0,11.440966703433013,0.2684040056217708,0.19352483914430535,0.011746479709230158,0.16758618650209384,0.032195766623936965
32,Pauli_Z_YY,1.0,15.159362523418395,0.12423850882287821,0.18174503327551628,-0.005207064220275571,0.1440194490910282,0.036307193389538445
32,Separable_Control,1.0,7.2474965123744735,0.4559150540795465,0.14870712007373219,-0.0070083311489808455,0.10988537784515773,0.016157560866417318
32,ZZ_Linear,1.0,15.677576499662752,0.14658750155968525,0.16354761079946997,-0.0075919984469189124,0.14690185059270172,0.038117781918413494
64,Custom_Domain,1.0,16.008374081332427,0.26611822379951844,0.19618073753543058,0.016285469445259056,0.12898635852759838,0.004763002991041235
64,Pauli_Z_YY,1.0,22.55365934509493,0.13383434821587753,0.1800225242794949,0.0005960340441721737,0.09286503384658758,0.0054264185015953995
64,Separable_Control,1.0,8.718021615763677,0.4511501773287656,0.151862152560246,0.011262084110180062,0.10295600721037379,0.0018056073468364566
64,ZZ_Linear,1.0,23.234119869307257,0.1569094451800997,0.16611815290255266,0.0005098740265161758,0.09800665255219274,0.005374694269038205
