,WP_0977,WP_1851,WP_0061,WP_1896,WP_1242,WP_0970,WP_0376,WP_1377,WP_0829,WP_0433,WP_0579,WP_1409,WP_1720,WP_0101,WP_1458,WP_1713
WP_0977,1.0000000000000013,0.2641194021876934,0.5187923708129756,0.3429576352669297,0.30723975732212144,0.3431093297893976,0.30049765042762444,0.3564076178859997,0.42645520507841944,0.500757203316892,0.37667519572385877,0.391547584258095,0.5006148204398301,0.4478974950068362,0.5035973117339781,0.4099797620883588
WP_1851,0.2641194021876934,0.9999999999999998,0.3492202930592726,0.639399039067912,0.23918575556822722,0.576154824251278,0.3997069940143548,0.3076384735981626,0.534651585625749,0.3476924212147485,0.5225490720617134,0.2559740849102905,0.3386978442994403,0.5451740132143864,0.6299574389117955,0.7488428933876197
WP_0061,0.5187923708129756,0.3492202930592725,1.0,0.5076243228410119,0.6699613030650863,0.5234674835086147,0.5683718519482233,0.4661323535514463,0.33277011051860506,0.4399965288162247,0.5444616630923559,0.4607744820299255,0.47028822883455224,0.7329794858452756,0.4207524211916469,0.37261241478299534
WP_1896,0.3429576352669297,0.639399039067912,0.5076243228410121,0.9999999999999993,0.3479479982195123,0.3977002643399063,0.40168787337660705,0.6788799059211135,0.4268477588188435,0.6364944471535103,0.5024385557714013,0.5473556791880471,0.3721758674990675,0.6865926530000107,0.4886291384261296,0.5037541592589402
WP_1242,0.30723975732212144,0.23918575556822722,0.6699613030650863,0.3479479982195123,1.0000000000000009,0.6319932659485432,0.6498119298614494,0.4156289453332407,0.29510979479043026,0.29408568281466324,0.36745203654211644,0.19986084240358065,0.18436857867261208,0.46707208134628525,0.19915291901791507,0.4532569600654967
WP_0970,0.3431093297893976,0.576154824251278,0.5234674835086148,0.3977002643399063,0.6319932659485432,0.9999999999999984,0.6806744961965655,0.3894418513376095,0.474991306012789,0.31947857283841374,0.45395325090022043,0.24526195049212,0.36457950740180073,0.42678878063289927,0.4799447704197021,0.7481936503259287
WP_0376,0.30049765042762444,0.3997069940143548,0.5683718519482234,0.40168787337660705,0.6498119298614494,0.6806744961965655,0.9999999999999996,0.46973366413290263,0.6935246248669868,0.441581593781307,0.6825231979961291,0.3082341758015866,0.4567548805338271,0.43023679053520636,0.4017215776125418,0.5848553724821723
WP_1377,0.3564076178859997,0.3076384735981626,0.4661323535514463,0.6788799059211135,0.4156289453332407,0.3894418513376095,0.46973366413290246,1.0000000000000013,0.4106152419988877,0.8454000441536264,0.35191673048079847,0.7099228632489235,0.46354046319909215,0.4481738757650294,0.4369735666594638,0.36950953456986285
WP_0829,0.42645520507841944,0.534651585625749,0.33277011051860506,0.4268477588188435,0.29510979479043015,0.4749913060127887,0.6935246248669868,0.4106152419988877,0.9999999999999998,0.5882426410805275,0.7160711590055421,0.3468471345322624,0.5573566177907741,0.3631282380421988,0.5616887215209119,0.7119577400659903
WP_0433,0.500757203316892,0.3476924212147485,0.4399965288162247,0.6364944471535103,0.29408568281466324,0.31947857283841374,0.441581593781307,0.8454000441536264,0.5882426410805275,0.9999999999999998,0.4083952900336908,0.7089904406846264,0.6448423071390896,0.5110359616960733,0.6230739671845945,0.4242119847395426
WP_0579,0.37667519572385877,0.5225490720617134,0.5444616630923559,0.5024385557714013,0.36745203654211644,0.45395325090022043,0.6825231979961291,0.35191673048079847,0.7160711590055421,0.4083952900336908,1.0000000000000009,0.39905708455072664,0.5262081486098789,0.4791096616337329,0.47183186126499094,0.49545590084105395
WP_1409,0.391547584258095,0.2559740849102905,0.4607744820299255,0.5473556791880471,0.19986084240358065,0.24526195049212,0.3082341758015866,0.7099228632489237,0.3468471345322624,0.7089904406846264,0.39905708455072664,1.0,0.6634582273241361,0.4295763433915447,0.5687826935555385,0.21132447632240814
WP_1720,0.50061482043983,0.3386978442994404,0.47028822883455224,0.3721758674990675,0.18436857867261222,0.3645795074018006,0.4567548805338271,0.46354046319909215,0.5573566177907743,0.6448423071390901,0.5262081486098789,0.6634582273241363,1.0000000000000009,0.37461584561067074,0.7621360344797546,0.33870025856033925
WP_0101,0.4478974950068362,0.5451740132143864,0.7329794858452762,0.6865926530000107,0.4670720813462857,0.42678878063289943,0.43023679053520636,0.4481738757650294,0.3631282380421989,0.511035961696073,0.47910966163373264,0.4295763433915449,0.37461584561067074,0.9999999999999996,0.5495330968440068,0.4587919172210726
WP_1458,0.5035973117339778,0.6299574389117952,0.42075242119164674,0.4886291384261291,0.19915291901791501,0.4799447704197021,0.4017215776125418,0.43697356665946424,0.5616887215209119,0.6230739671845948,0.4718318612649905,0.5687826935555381,0.7621360344797546,0.5495330968440068,0.9999999999999991,0.5303366382379451
WP_1713,0.4099797620883585,0.7488428933876197,0.37261241478299534,0.50375415925894,0.4532569600654966,0.7481936503259287,0.5848553724821729,0.36950953456986285,0.7119577400659903,0.42421198473954247,0.4954559008410541,0.21132447632240803,0.33870025856033925,0.4587919172210726,0.5303366382379451,1.0000000000000004
