Shots,Repetition,Random_Seed,MAE_All,MAE_OffDiagonal,Max_Absolute_Error,Relative_Frobenius_Error,Matrix_Correlation,Diagonal_Mean,Eigenvalue_Min,Negative_Eigenvalues,PSD_Raw
256,1,30125,0.01586777546492885,0.01798347886025263,0.06924074379560119,0.056850681303080415,0.9974766303276206,1.0,0.08826247068617084,0,True
256,2,30126,0.01534776851891868,0.01739413765477443,0.060038240258092734,0.05629555771395152,0.9975356962873088,1.0,0.0917743229774075,0,True
256,3,30127,0.01846833148074311,0.020930775678175452,0.08787960114978138,0.06955553557423323,0.9962166881703047,1.0,0.08506550646161043,0,True
256,4,30128,0.0164627705168618,0.018657806585776638,0.07694811765220777,0.06047893147522658,0.9971768985683076,1.0,0.10235260091344793,0,True
256,5,30129,0.018403345584817925,0.020857124996126908,0.08946463539905575,0.06811656302101184,0.9964035845582121,1.0,0.04965690913464996,0,True
256,6,30130,0.018431166623916317,0.02088865550710509,0.07987258415361431,0.06970178023264438,0.9962272197841326,1.0,0.05185225647265479,0,True
256,7,30131,0.01588267993699896,0.018000370595265422,0.08869926066197842,0.06228801621281931,0.9970538572271609,1.0,0.06219122813669084,0,True
256,8,30132,0.015214843617556909,0.017243489433231094,0.07304186765220777,0.058210647337270896,0.9973603156490682,1.0,0.05894600580342966,0,True
256,9,30133,0.016744667710651917,0.018977290072072103,0.07355935820646109,0.06206311006216628,0.9969841167669011,1.0,0.0827840319183988,0,True
256,10,30134,0.017878358100658347,0.020262139180746052,0.06738172236035031,0.06671891834216903,0.9965626105640483,1.0,0.07908215993147215,0,True
1024,1,106925,0.009012699636429249,0.010214392921286407,0.03736270559730115,0.03291834998201535,0.999160325140726,1.0,0.1319021970226784,0,True
1024,2,106926,0.007834304197326239,0.008878878090303,0.0353549008258181,0.030228014145566667,0.9992926706747992,1.0,0.12354769333518402,0,True
1024,3,106927,0.007740174843266651,0.008772198155702132,0.03782390733583829,0.02995785026774861,0.9993054180123156,1.0,0.09120393003843703,0,True
1024,4,106928,0.007582018483651665,0.008592954281471816,0.04213182514103231,0.029126523436638845,0.9993361167611001,1.0,0.10618774426537891,0,True
1024,5,106929,0.008474054042430557,0.00960392791475456,0.04087598735896769,0.03174520459921927,0.9992248969123768,1.0,0.11532865842429588,0,True
1024,6,106930,0.008585317610776933,0.00973002662554712,0.040989005760147634,0.03331585658657491,0.9991356582720153,1.0,0.10121926923912797,0,True
1024,7,106931,0.007862440396430118,0.008910765782620728,0.026234190788645695,0.02923572543197356,0.9993311674428662,1.0,0.119417811114997,0,True
1024,8,106932,0.008775884116390277,0.009946001998575574,0.04208298424897694,0.03321228168320755,0.9991362059216536,1.0,0.11686608384435217,0,True
1024,9,106933,0.008521290491893242,0.009657462557478935,0.03809696135021862,0.03239206870965353,0.9991807682752074,1.0,0.11337569299481783,0,True
1024,10,106934,0.008714775392118578,0.009876745444400982,0.03924469024337962,0.03242558412440794,0.9991885948084104,1.0,0.10913248465030297,0,True
