Feature_Map,i,j,Sample_ID_i,Sample_ID_j,Optimisation_Level,Target_2Q_Gate,Valid_H2,P0000_Qiskit,P0000_Compiled,Equivalence_Error,Compiled_Total_Gates,Compiled_1Q_Gates,Compiled_2Q_Gates,Compiled_ZZPhase,Compiled_ZZMax,Compiled_TK2,Compiled_Depth,Compiled_2Q_Depth
ZZ_Linear,2,11,WP_0061,WP_1409,2,ZZPhase,True,0.05731951787185059,0.0573195178718513,7.077671781985373e-16,19,14,5,5,0,0,9,5
ZZ_Linear,2,12,WP_0061,WP_1720,2,ZZPhase,True,0.026785090457563065,0.026785090457563172,1.0755285551056204e-16,21,16,5,5,0,0,11,5
ZZ_Linear,2,13,WP_0061,WP_0101,2,ZZPhase,True,0.12345025733357003,0.12345025733357087,8.465450562766819e-16,21,16,5,5,0,0,11,5
ZZ_Linear,2,14,WP_0061,WP_1458,2,ZZPhase,True,0.05536529434551766,0.055365294345517395,2.636779683484747e-16,21,16,5,5,0,0,11,5
ZZ_Linear,2,15,WP_0061,WP_1713,2,ZZPhase,True,0.126073787970074,0.12607378797007532,1.304512053934559e-15,22,17,5,5,0,0,12,5
ZZ_Linear,3,4,WP_1896,WP_1242,2,ZZPhase,True,0.20903936769668297,0.20903936769668297,0.0,20,15,5,5,0,0,10,5
ZZ_Linear,3,5,WP_1896,WP_0970,2,ZZPhase,True,0.03887987493418385,0.0388798749341843,4.510281037539698e-16,20,15,5,5,0,0,10,5
ZZ_Linear,3,6,WP_1896,WP_0376,2,ZZPhase,True,0.056199293825034406,0.05619929382503429,1.1796119636642288e-16,22,17,5,5,0,0,11,5
ZZ_Linear,3,7,WP_1896,WP_1377,2,ZZPhase,True,0.10604443645440806,0.10604443645440922,1.1657341758564144e-15,20,15,5,5,0,0,11,5
ZZ_Linear,3,8,WP_1896,WP_0829,2,ZZPhase,True,0.04299271534910127,0.04299271534910162,3.5388358909926865e-16,20,15,5,5,0,0,11,5
ZZ_Linear,3,9,WP_1896,WP_0433,2,ZZPhase,True,0.12389605357173511,0.12389605357173573,6.245004513516506e-16,21,16,5,5,0,0,10,5
ZZ_Linear,3,10,WP_1896,WP_0579,2,ZZPhase,True,0.10070397936623599,0.10070397936623472,1.2628786905111156e-15,22,17,5,5,0,0,12,5
ZZ_Linear,3,11,WP_1896,WP_1409,2,ZZPhase,True,0.23158447782199404,0.23158447782199357,4.718447854656915e-16,21,16,5,5,0,0,11,5
ZZ_Linear,3,12,WP_1896,WP_1720,2,ZZPhase,True,0.011099109148958923,0.011099109148958636,2.8622937353617317e-16,21,16,5,5,0,0,11,5
ZZ_Linear,3,13,WP_1896,WP_0101,2,ZZPhase,True,0.14939386500801174,0.14939386500801097,7.771561172376096e-16,21,16,5,5,0,0,11,5
ZZ_Linear,3,14,WP_1896,WP_1458,2,ZZPhase,True,0.006019728567375972,0.006019728567375951,2.0816681711721685e-17,21,16,5,5,0,0,11,5
ZZ_Linear,3,15,WP_1896,WP_1713,2,ZZPhase,True,0.02511805602201714,0.02511805602201737,2.2898349882893854e-16,22,17,5,5,0,0,12,5
ZZ_Linear,4,5,WP_1242,WP_0970,2,ZZPhase,True,0.5612314471986012,0.5612314471986044,3.219646771412954e-15,22,17,5,5,0,0,11,5
ZZ_Linear,4,6,WP_1242,WP_0376,2,ZZPhase,True,0.5553771807744751,0.555377180774474,1.1102230246251565e-15,22,17,5,5,0,0,12,5
ZZ_Linear,4,7,WP_1242,WP_1377,2,ZZPhase,True,0.2654629249419212,0.2654629249419226,1.3877787807814457e-15,22,17,5,5,0,0,12,5
ZZ_Linear,4,8,WP_1242,WP_0829,2,ZZPhase,True,0.16080632087559346,0.16080632087559282,6.38378239159465e-16,20,15,5,5,0,0,10,5
ZZ_Linear,4,9,WP_1242,WP_0433,2,ZZPhase,True,0.14324375769372774,0.14324375769372769,5.551115123125783e-17,21,16,5,5,0,0,11,5
ZZ_Linear,4,10,WP_1242,WP_0579,2,ZZPhase,True,0.2442833584436997,0.24428335844369964,5.551115123125783e-17,22,17,5,5,0,0,11,5
ZZ_Linear,4,11,WP_1242,WP_1409,2,ZZPhase,True,0.15291576351364278,0.15291576351364297,1.942890293094024e-16,19,14,5,5,0,0,10,5
ZZ_Linear,4,12,WP_1242,WP_1720,2,ZZPhase,True,0.06606905552372729,0.06606905552372705,2.3592239273284576e-16,19,14,5,5,0,0,10,5
