Model,Seeds,BA_Median,BA_Q1,BA_Q3,MCC_Median,F1_Median,AUC_Median,Specificity_Median,Unsafe_Acceptance_Median,Median_Delta_vs_RBF,Delta_vs_RBF_CI95_Low,Delta_vs_RBF_CI95_High,Win_Rate_vs_RBF,Tie_Rate_vs_RBF,Loss_Rate_vs_RBF,Wilcoxon_P_vs_RBF,Median_Delta_vs_Separable,Delta_vs_Separable_CI95_Low,Delta_vs_Separable_CI95_High,Win_Rate_vs_Separable,Tie_Rate_vs_Separable,Loss_Rate_vs_Separable,Wilcoxon_P_vs_Separable
SVM_RBF_Fixed,20,0.565625,0.5406249999999999,0.6015625,0.14583820673079612,0.5441093022904169,0.5890625,0.609375,0.390625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04218749999999999,0.015625,0.09374999999999997,0.75,0.05,0.2,0.009994453222601417
Separable_Control,20,0.5078125,0.46875,0.5640625,0.01657615684028984,0.49366611158019824,0.530078125,0.521875,0.478125,-0.04218749999999999,-0.09374999999999997,-0.015625,0.2,0.05,0.75,0.009994453222601417,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ZZ_Linear,20,0.5578125,0.53125,0.590625,0.11854362516674549,0.5434930132646851,0.572265625,0.565625,0.434375,-0.0015625000000000222,-0.029687500000000033,0.03125,0.5,0.0,0.5,0.8665049677637773,0.046875,0.009375000000000022,0.071875,0.75,0.05,0.2,0.01122001352123543
Pauli_Z_YY,20,0.5406249999999999,0.50859375,0.5671875000000001,0.08458069315905184,0.5114872550050569,0.5703125,0.5625,0.4375,-0.021875000000000033,-0.04375000000000001,0.0078125,0.3,0.0,0.7,0.1353228646914728,0.03125,0.003124999999999989,0.059374999999999956,0.7,0.0,0.3,0.11672823600371454
Custom_Domain,20,0.5609375000000001,0.52890625,0.60390625,0.12655143603468638,0.5497143886385372,0.583984375,0.596875,0.403125,5.551115123125783e-17,-0.029687500000000033,0.029687499999999978,0.5,0.0,0.5,0.9256077557371059,0.03593750000000001,0.020312499999999983,0.05625000000000002,0.8,0.0,0.2,0.023869891195045186
