Seed,N,Split_Number,Kernel_A,Kernel_B,Centered_Kernel_Similarity
4524,16,14,ZZ_Linear,Custom_Domain,0.8600170359505538
4524,16,14,Pauli_Z_YY,Custom_Domain,0.8577241611105161
4524,16,15,Separable_Control,ZZ_Linear,0.8282584716947536
4524,16,15,Separable_Control,Pauli_Z_YY,0.8419990948481294
4524,16,15,Separable_Control,Custom_Domain,0.7142977494640225
4524,16,15,ZZ_Linear,Pauli_Z_YY,0.9822929298939425
4524,16,15,ZZ_Linear,Custom_Domain,0.8633586203739247
4524,16,15,Pauli_Z_YY,Custom_Domain,0.8690319379497743
4524,16,16,Separable_Control,ZZ_Linear,0.8258865200004798
4524,16,16,Separable_Control,Pauli_Z_YY,0.8191361296801699
4524,16,16,Separable_Control,Custom_Domain,0.8083289467268109
4524,16,16,ZZ_Linear,Pauli_Z_YY,0.9739881254203793
4524,16,16,ZZ_Linear,Custom_Domain,0.8707723801561044
4524,16,16,Pauli_Z_YY,Custom_Domain,0.8588136116419504
4524,16,17,Separable_Control,ZZ_Linear,0.8403237791969956
4524,16,17,Separable_Control,Pauli_Z_YY,0.8356965247555064
4524,16,17,Separable_Control,Custom_Domain,0.7814123922995997
4524,16,17,ZZ_Linear,Pauli_Z_YY,0.9640444451604072
4524,16,17,ZZ_Linear,Custom_Domain,0.8525371881380815
4524,16,17,Pauli_Z_YY,Custom_Domain,0.8362320261872696
4524,16,18,Separable_Control,ZZ_Linear,0.8113712738477146
4524,16,18,Separable_Control,Pauli_Z_YY,0.8135866054762443
4524,16,18,Separable_Control,Custom_Domain,0.7717772194282776
4524,16,18,ZZ_Linear,Pauli_Z_YY,0.973175945783108
4524,16,18,ZZ_Linear,Custom_Domain,0.8682094225464906
4524,16,18,Pauli_Z_YY,Custom_Domain,0.8580858934122156
4524,16,19,Separable_Control,ZZ_Linear,0.8114242062417325
4524,16,19,Separable_Control,Pauli_Z_YY,0.8286401381611598
4524,16,19,Separable_Control,Custom_Domain,0.7777732890042589
4524,16,19,ZZ_Linear,Pauli_Z_YY,0.9748322780232418
4524,16,19,ZZ_Linear,Custom_Domain,0.8852006818786634
4524,16,19,Pauli_Z_YY,Custom_Domain,0.8851610141682267
4524,16,20,Separable_Control,ZZ_Linear,0.8232076748132328
4524,16,20,Separable_Control,Pauli_Z_YY,0.8325850399819932
4524,16,20,Separable_Control,Custom_Domain,0.7629391872267843
4524,16,20,ZZ_Linear,Pauli_Z_YY,0.9790098246748845
4524,16,20,ZZ_Linear,Custom_Domain,0.8600170359505538
4524,16,20,Pauli_Z_YY,Custom_Domain,0.8577241611105161
4524,32,1,Separable_Control,ZZ_Linear,0.6903172226607943
4524,32,1,Separable_Control,Pauli_Z_YY,0.6918395229684192
4524,32,1,Separable_Control,Custom_Domain,0.6800686969874661
4524,32,1,ZZ_Linear,Pauli_Z_YY,0.9619942602071266
4524,32,1,ZZ_Linear,Custom_Domain,0.7696147250069195
4524,32,1,Pauli_Z_YY,Custom_Domain,0.753716342507447
4524,32,2,Separable_Control,ZZ_Linear,0.7130221971146644
4524,32,2,Separable_Control,Pauli_Z_YY,0.7069289029165634
4524,32,2,Separable_Control,Custom_Domain,0.6517307359901662
4524,32,2,ZZ_Linear,Pauli_Z_YY,0.9572743648572164
4524,32,2,ZZ_Linear,Custom_Domain,0.7327345863635688
4524,32,2,Pauli_Z_YY,Custom_Domain,0.706501062355474
4524,32,3,Separable_Control,ZZ_Linear,0.7073307804859548
4524,32,3,Separable_Control,Pauli_Z_YY,0.7189773731854239
4524,32,3,Separable_Control,Custom_Domain,0.6887845207185841
4524,32,3,ZZ_Linear,Pauli_Z_YY,0.955685698886834
4524,32,3,ZZ_Linear,Custom_Domain,0.7089911130983465
4524,32,3,Pauli_Z_YY,Custom_Domain,0.70540536782366
4524,32,4,Separable_Control,ZZ_Linear,0.7404276604992766
4524,32,4,Separable_Control,Pauli_Z_YY,0.7416224672418972
4524,32,4,Separable_Control,Custom_Domain,0.6944905456018852
4524,32,4,ZZ_Linear,Pauli_Z_YY,0.9613923577682622
4524,32,4,ZZ_Linear,Custom_Domain,0.7699612460109784
4524,32,4,Pauli_Z_YY,Custom_Domain,0.7449031157933399
4524,32,5,Separable_Control,ZZ_Linear,0.757103311212864
4524,32,5,Separable_Control,Pauli_Z_YY,0.7548996738191689
4524,32,5,Separable_Control,Custom_Domain,0.7103919593115793
4524,32,5,ZZ_Linear,Pauli_Z_YY,0.9700205986895042
4524,32,5,ZZ_Linear,Custom_Domain,0.7839147973506905
4524,32,5,Pauli_Z_YY,Custom_Domain,0.7474047485003906
4524,32,6,Separable_Control,ZZ_Linear,0.6573922580833275
4524,32,6,Separable_Control,Pauli_Z_YY,0.65802906625022
4524,32,6,Separable_Control,Custom_Domain,0.6123032194017498
4524,32,6,ZZ_Linear,Pauli_Z_YY,0.9677880819490156
4524,32,6,ZZ_Linear,Custom_Domain,0.7371481646886288
4524,32,6,Pauli_Z_YY,Custom_Domain,0.717881149849108
4524,32,7,Separable_Control,ZZ_Linear,0.7054256699291421
4524,32,7,Separable_Control,Pauli_Z_YY,0.6886978006676272
4524,32,7,Separable_Control,Custom_Domain,0.6802883499498062
4524,32,7,ZZ_Linear,Pauli_Z_YY,0.954698263488623
4524,32,7,ZZ_Linear,Custom_Domain,0.7293409811306905
4524,32,7,Pauli_Z_YY,Custom_Domain,0.7269785884194936
4524,32,8,Separable_Control,ZZ_Linear,0.7481710075605188
4524,32,8,Separable_Control,Pauli_Z_YY,0.7546023240384215
4524,32,8,Separable_Control,Custom_Domain,0.7071096946822282
4524,32,8,ZZ_Linear,Pauli_Z_YY,0.9545654067856791
4524,32,8,ZZ_Linear,Custom_Domain,0.7644661590735443
4524,32,8,Pauli_Z_YY,Custom_Domain,0.7574192404784684
4524,32,9,Separable_Control,ZZ_Linear,0.7337747713509377
4524,32,9,Separable_Control,Pauli_Z_YY,0.716868002759866
4524,32,9,Separable_Control,Custom_Domain,0.7009739909174377
4524,32,9,ZZ_Linear,Pauli_Z_YY,0.9516393115733347
4524,32,9,ZZ_Linear,Custom_Domain,0.7447668429382805
4524,32,9,Pauli_Z_YY,Custom_Domain,0.7420893554950342
4524,32,10,Separable_Control,ZZ_Linear,0.7152725633440468
4524,32,10,Separable_Control,Pauli_Z_YY,0.7319149372234933
4524,32,10,Separable_Control,Custom_Domain,0.7166000817909082
4524,32,10,ZZ_Linear,Pauli_Z_YY,0.9525291176726732
4524,32,10,ZZ_Linear,Custom_Domain,0.766858479983881
4524,32,10,Pauli_Z_YY,Custom_Domain,0.7363466467056499
4524,32,11,Separable_Control,ZZ_Linear,0.7036323293486751
4524,32,11,Separable_Control,Pauli_Z_YY,0.7022412731733814
4524,32,11,Separable_Control,Custom_Domain,0.6282023432331182
4524,32,11,ZZ_Linear,Pauli_Z_YY,0.960153031688686
4524,32,11,ZZ_Linear,Custom_Domain,0.7610722875220999
4524,32,11,Pauli_Z_YY,Custom_Domain,0.7589181305036271
4524,32,12,Separable_Control,ZZ_Linear,0.704539550226246
4524,32,12,Separable_Control,Pauli_Z_YY,0.7148230792370601
4524,32,12,Separable_Control,Custom_Domain,0.6535422014929427
4524,32,12,ZZ_Linear,Pauli_Z_YY,0.9606650544591874
4524,32,12,ZZ_Linear,Custom_Domain,0.7405948058338689
4524,32,12,Pauli_Z_YY,Custom_Domain,0.717950264758104
4524,32,13,Separable_Control,ZZ_Linear,0.7081220779664216
4524,32,13,Separable_Control,Pauli_Z_YY,0.7167149211221897
4524,32,13,Separable_Control,Custom_Domain,0.6555409012181811
4524,32,13,ZZ_Linear,Pauli_Z_YY,0.9584882706203827
4524,32,13,ZZ_Linear,Custom_Domain,0.7422163164917304
4524,32,13,Pauli_Z_YY,Custom_Domain,0.7328926626842407
4524,32,14,Separable_Control,ZZ_Linear,0.7273860514582337
4524,32,14,Separable_Control,Pauli_Z_YY,0.7327930893686102
4524,32,14,Separable_Control,Custom_Domain,0.7036835462261535
4524,32,14,ZZ_Linear,Pauli_Z_YY,0.9536479347721436
4524,32,14,ZZ_Linear,Custom_Domain,0.7370706284092654
4524,32,14,Pauli_Z_YY,Custom_Domain,0.7258729018204718
4524,32,15,Separable_Control,ZZ_Linear,0.7165703201966043
4524,32,15,Separable_Control,Pauli_Z_YY,0.7209979744931343
4524,32,15,Separable_Control,Custom_Domain,0.6587946204603371
