Seed,Rows_Generated,Elapsed_Seconds,Completed
4524,300,26.910683631896973,True
4525,300,16.188578128814697,True
4526,300,13.5121488571167,True
4527,300,13.286545991897583,True
4528,300,12.638254642486572,True
4529,300,12.717838048934937,True
4530,300,13.427475690841675,True
4531,300,13.434587717056274,True
4532,300,13.452746391296387,True
4533,300,14.567321300506592,True
4534,300,13.401802778244019,True
4535,300,13.469612121582031,True
4536,300,12.715851306915283,True
4537,300,12.645802021026611,True
4538,300,13.355051755905151,True
4539,300,13.465614557266235,True
4540,300,13.568064451217651,True
4541,300,15.64634370803833,True
4542,300,13.757607460021973,True
4543,300,13.677783012390137,True
