map,map_tag,pair_index,i,j,source_index_i,source_index_j,circuit_name,exact_fidelity,shots
custom_water_domain_r1_robust,custom-r1,0,0,1,206,1029,tq-pilot16-strict-v1-custom-r1-p0000,0.10845114822804437,4096
custom_water_domain_r1_robust,custom-r1,1,0,2,206,1953,tq-pilot16-strict-v1-custom-r1-p0001,0.049147878923519885,4096
custom_water_domain_r1_robust,custom-r1,2,0,3,206,2787,tq-pilot16-strict-v1-custom-r1-p0002,0.04648937483802059,4096
custom_water_domain_r1_robust,custom-r1,3,0,4,206,3034,tq-pilot16-strict-v1-custom-r1-p0003,0.3322578234395333,4096
custom_water_domain_r1_robust,custom-r1,4,0,5,206,1321,tq-pilot16-strict-v1-custom-r1-p0004,0.10380469702691304,4096
custom_water_domain_r1_robust,custom-r1,5,0,6,206,802,tq-pilot16-strict-v1-custom-r1-p0005,0.08251707959444751,4096
custom_water_domain_r1_robust,custom-r1,6,0,7,206,3138,tq-pilot16-strict-v1-custom-r1-p0006,0.3182440857912053,4096
custom_water_domain_r1_robust,custom-r1,7,0,8,206,1770,tq-pilot16-strict-v1-custom-r1-p0007,0.0646248864185974,4096
custom_water_domain_r1_robust,custom-r1,8,0,9,206,2251,tq-pilot16-strict-v1-custom-r1-p0008,0.16507065213523353,4096
custom_water_domain_r1_robust,custom-r1,9,0,10,206,1579,tq-pilot16-strict-v1-custom-r1-p0009,0.0001255058717522962,4096
custom_water_domain_r1_robust,custom-r1,10,0,11,206,2717,tq-pilot16-strict-v1-custom-r1-p0010,1.8082313389621963e-05,4096
custom_water_domain_r1_robust,custom-r1,11,0,12,206,2097,tq-pilot16-strict-v1-custom-r1-p0011,0.32445031468096086,4096
custom_water_domain_r1_robust,custom-r1,12,0,13,206,1152,tq-pilot16-strict-v1-custom-r1-p0012,0.28017868308509847,4096
custom_water_domain_r1_robust,custom-r1,13,0,14,206,1775,tq-pilot16-strict-v1-custom-r1-p0013,0.06584007882692383,4096
custom_water_domain_r1_robust,custom-r1,14,0,15,206,304,tq-pilot16-strict-v1-custom-r1-p0014,0.23466000795902672,4096
custom_water_domain_r1_robust,custom-r1,15,1,2,1029,1953,tq-pilot16-strict-v1-custom-r1-p0015,0.04657984960708485,4096
custom_water_domain_r1_robust,custom-r1,16,1,3,1029,2787,tq-pilot16-strict-v1-custom-r1-p0016,0.4952413372334242,4096
custom_water_domain_r1_robust,custom-r1,17,1,4,1029,3034,tq-pilot16-strict-v1-custom-r1-p0017,0.6227370728821393,4096
custom_water_domain_r1_robust,custom-r1,18,1,5,1029,1321,tq-pilot16-strict-v1-custom-r1-p0018,0.06926772470356604,4096
custom_water_domain_r1_robust,custom-r1,19,1,6,1029,802,tq-pilot16-strict-v1-custom-r1-p0019,0.023927391486979668,4096
custom_water_domain_r1_robust,custom-r1,20,1,7,1029,3138,tq-pilot16-strict-v1-custom-r1-p0020,0.511653067909077,4096
custom_water_domain_r1_robust,custom-r1,21,1,8,1029,1770,tq-pilot16-strict-v1-custom-r1-p0021,0.7931332375615807,4096
custom_water_domain_r1_robust,custom-r1,22,1,9,1029,2251,tq-pilot16-strict-v1-custom-r1-p0022,0.6660706790756269,4096
custom_water_domain_r1_robust,custom-r1,23,1,10,1029,1579,tq-pilot16-strict-v1-custom-r1-p0023,0.45239676295403985,4096
custom_water_domain_r1_robust,custom-r1,24,1,11,1029,2717,tq-pilot16-strict-v1-custom-r1-p0024,0.1468828682116427,4096
custom_water_domain_r1_robust,custom-r1,25,1,12,1029,2097,tq-pilot16-strict-v1-custom-r1-p0025,0.2451448742382118,4096
custom_water_domain_r1_robust,custom-r1,26,1,13,1029,1152,tq-pilot16-strict-v1-custom-r1-p0026,0.6068516520791595,4096
custom_water_domain_r1_robust,custom-r1,27,1,14,1029,1775,tq-pilot16-strict-v1-custom-r1-p0027,0.07735059229003782,4096
custom_water_domain_r1_robust,custom-r1,28,1,15,1029,304,tq-pilot16-strict-v1-custom-r1-p0028,0.23969459754468628,4096
custom_water_domain_r1_robust,custom-r1,29,2,3,1953,2787,tq-pilot16-strict-v1-custom-r1-p0029,0.021847863704158154,4096
