family,maps,best_f1,mean_f1,mean_alignment,mean_2q
PauliFeatureMap,4,0.5767693744164332,0.5500819450587252,0.050592333056538576,10.5
ZZFeatureMap,4,0.6071967248437836,0.5804929745177423,0.07066445343878681,14.5
custom_water_domain,2,0.6230065359477124,0.6122689075630252,0.06612227703930929,15.0
