map,family,C,scaling,reps,topology,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,custom_water_domain,0.1,robust_atan,1,domain,0.525,0.12960275845829825,0.525,0.12960275845829825,0.5079365079365079,0.09440775597912951,0.5,0.29315098498896436,0.55,0.14252192813739223,0.48649859943977586,0.18223160497823945,0.06507479077002822,0.29321737802803843
custom_water_domain_r1_robust,custom_water_domain,1.0,robust_atan,1,domain,0.5625,0.09882117688026186,0.5625,0.09882117688026186,0.5694949494949494,0.09395677041417816,0.6,0.2053959590644373,0.525,0.22360679774997896,0.5680794747048618,0.11221240027878418,0.1343141244096025,0.20866027669292586
custom_water_domain_r1_robust,custom_water_domain,10.0,robust_atan,1,domain,0.625,0.15309310892394862,0.625,0.15309310892394862,0.6288888888888888,0.15634880348026411,0.625,0.1767766952966369,0.625,0.1767766952966369,0.6230065359477124,0.1537812801702613,0.2544653451025553,0.3111864601088462
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,robust_atan,2,domain,0.5625,0.11692679333668567,0.5625,0.11692679333668567,0.5502991452991453,0.1195332452805465,0.575,0.27386127875258304,0.55,0.16770509831248423,0.5473227752639517,0.1702727372886866,0.14555104420000634,0.26835852844290714
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,robust_atan,2,domain,0.6,0.12960275845829825,0.6,0.12960275845829825,0.5898412698412698,0.11391363593752475,0.625,0.19764235376052372,0.575,0.14252192813739223,0.601531279178338,0.15017125763371827,0.2028255671531231,0.26156931486230806
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,robust_atan,2,domain,0.625,0.1767766952966369,0.625,0.1767766952966369,0.6333333333333333,0.2173067468400883,0.575,0.3010398644698074,0.675,0.2091650066335189,0.5838095238095238,0.23200789727742668,0.27038938768622184,0.37675629671801225
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,0.1,robust_atan,1,linear,0.5,0.11692679333668567,0.5,0.11692679333668567,0.48379120879120874,0.09045306202878269,0.55,0.27386127875258304,0.45,0.11180339887498948,0.5042063492063492,0.15993678283119722,0.020879260749103797,0.2770209960432157
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.5375,0.1688657010763287,0.5375,0.1688657010763287,0.5266666666666666,0.15547617021966048,0.525,0.24044230077089182,0.55,0.18957188610128875,0.5184945773181067,0.1974317664055674,0.07257801675572897,0.34322334381781316
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.55,0.1202211503854459,0.55,0.1202211503854459,0.5551948051948052,0.11665743002092002,0.575,0.14252192813739223,0.525,0.2053959590644373,0.5587552213868003,0.11750660859616337,0.09822963703541879,0.2428011151613
pauli_z_zz_linear_r1_robust,PauliFeatureMap,0.1,robust_atan,1,linear,0.525,0.12960275845829825,0.525,0.12960275845829825,0.48888888888888893,0.12044157438154889,0.475,0.3235544776386196,0.575,0.14252192813739226,0.4619098548510313,0.22082487811040866,0.05824679154295927,0.2991170052095543
pauli_z_zz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.5875,0.14388580541526672,0.5875,0.14388580541526672,0.5888888888888888,0.1375101636226257,0.575,0.18957188610128875,0.6,0.16298006013006622,0.5767693744164332,0.15370683761294426,0.17762793561917462,0.290465005498273
pauli_z_zz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.55,0.08149003006503311,0.55,0.08149003006503311,0.5614718614718615,0.10467779529379999,0.5,0.15309310892394862,0.6,0.16298006013006622,0.5206015037593984,0.10061937195915449,0.10504991886344564,0.1674893579619947
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,minmax,1,ring,0.5375,0.15687375497513917,0.5375,0.15687375497513917,0.4623376623376624,0.30517408053424316,0.475,0.2850438562747845,0.6,0.270993542358485,0.46526315789473677,0.28924871640959504,0.047380385221780494,0.3429465618558743
