map,C,noise_level,kernel_mae,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,10.0,0.01,0.001401313773203187,0.65,0.12183492931011204,0.65,0.12183492931011204,0.649090909090909,0.13103503527256277,0.675,0.16770509831248423,0.625,0.1767766952966369,0.655204678362573,0.12869855721007095,0.3066309711350335,0.24663087353565685
custom_water_domain_r1_robust,10.0,0.03,0.00420394131960956,0.65,0.1505199322349037,0.65,0.1505199322349037,0.6503607503607503,0.1571924731888348,0.65,0.2053959590644373,0.65,0.18540496217739158,0.6434026242075778,0.16983513214786947,0.30414194137196293,0.30215642687112204
custom_water_domain_r1_robust,10.0,0.05,0.0070065688660159295,0.6125,0.1354967711792425,0.6125,0.1354967711792425,0.6200432900432901,0.1722841477094089,0.575,0.2091650066335189,0.65,0.18540496217739158,0.5873780605359553,0.17723580271365624,0.22847718743281292,0.27744107167886806
zz_ring_r2_robust,0.1,0.01,0.0003812253646596062,0.6375,0.19465514377996795,0.6375,0.19465514377996795,0.6276767676767677,0.20315288525208378,0.65,0.29843340965783305,0.625,0.19764235376052372,0.6244578263154115,0.22725367723583936,0.29009233570854764,0.40648064698386255
zz_ring_r2_robust,0.1,0.03,0.001143676093978815,0.6375,0.19465514377996795,0.6375,0.19465514377996795,0.6276767676767677,0.20315288525208378,0.65,0.29843340965783305,0.625,0.19764235376052372,0.6244578263154115,0.22725367723583936,0.29009233570854764,0.40648064698386255
zz_ring_r2_robust,0.1,0.05,0.0019061268232980248,0.6375,0.19465514377996795,0.6375,0.19465514377996795,0.6276767676767677,0.20315288525208378,0.65,0.29843340965783305,0.625,0.19764235376052372,0.6244578263154115,0.22725367723583936,0.29009233570854764,0.40648064698386255
custom_water_domain_r2_reupload_robust,1.0,0.01,0.0006234068119731073,0.5875,0.17455300054711176,0.5875,0.17455300054711176,0.575,0.18200274723201293,0.575,0.2592055169165965,0.6,0.18540496217739158,0.5666971916971917,0.21870694431501317,0.17467178345090253,0.3517091572517305
custom_water_domain_r2_reupload_robust,1.0,0.03,0.0018702204359193181,0.5875,0.17455300054711176,0.5875,0.17455300054711176,0.575,0.18200274723201293,0.575,0.2592055169165965,0.6,0.18540496217739158,0.5666971916971917,0.21870694431501317,0.17467178345090253,0.3517091572517305
custom_water_domain_r2_reupload_robust,1.0,0.05,0.0031170340598655295,0.5875,0.17455300054711176,0.5875,0.17455300054711176,0.575,0.18200274723201293,0.575,0.2592055169165965,0.6,0.18540496217739158,0.5666971916971917,0.21870694431501317,0.17467178345090253,0.3517091572517305
pauli_z_zz_linear_r1_robust,1.0,0.01,0.0009935372344153973,0.575,0.14921670482891652,0.575,0.14921670482891652,0.5746031746031746,0.1433633008451832,0.575,0.18957188610128875,0.575,0.16770509831248423,0.5701027077497665,0.15675441993527936,0.15243030408522615,0.3013262730610736
pauli_z_zz_linear_r1_robust,1.0,0.03,0.0029806117032461893,0.575,0.14921670482891652,0.575,0.14921670482891652,0.5746031746031746,0.1433633008451832,0.575,0.18957188610128875,0.575,0.16770509831248423,0.5701027077497665,0.15675441993527936,0.15243030408522615,0.3013262730610736
pauli_z_zz_linear_r1_robust,1.0,0.05,0.004967686172076979,0.575,0.14921670482891652,0.575,0.14921670482891652,0.5746031746031746,0.1433633008451832,0.575,0.18957188610128875,0.575,0.16770509831248423,0.5701027077497665,0.15675441993527936,0.15243030408522615,0.3013262730610736
zz_linear_r1_robust,1.0,0.01,0.0009935372344153973,0.575,0.14921670482891652,0.575,0.14921670482891652,0.5746031746031746,0.1433633008451832,0.575,0.18957188610128875,0.575,0.16770509831248423,0.5701027077497665,0.15675441993527936,0.15243030408522615,0.3013262730610736
