map,shots,repeat,mae_vs_exact,max_error_vs_exact,min_eigenvalue,alignment
pytket_linear_r1,128,0,0.03064891116861724,0.1432303216573747,-0.4990040196645325,0.041578249973987895
pytket_linear_r1,128,1,0.030786188402340677,0.14635217467421158,-0.5571233548470399,0.049183089301439616
pytket_linear_r1,128,2,0.030506460618105777,0.1502704196562571,-0.5023427671944514,0.05728986718517601
pytket_linear_r1,128,3,0.03090185999528771,0.15082828008320637,-0.5270754612887747,0.05104413784114958
pytket_linear_r1,128,4,0.030909272611030464,0.14923005806321743,-0.49990560712863935,0.06031154928367419
pytket_linear_r1,128,5,0.03155745468358549,0.13858636112319422,-0.5341330529616024,0.05350351947516132
pytket_linear_r1,128,6,0.031233459171290487,0.13987140157308525,-0.504286799251749,0.055059482890612584
pytket_linear_r1,128,7,0.0319185466430896,0.15238968620354465,-0.5332175635758992,0.05187058286573907
pytket_linear_r1,128,8,0.03137666452787068,0.16246115039700082,-0.5423450454998779,0.049659883933355076
pytket_linear_r1,128,9,0.03103467084107077,0.15320134572186683,-0.517032748130525,0.051981775928775696
pytket_linear_r1,128,10,0.029722333372355473,0.15027431134758168,-0.46902769079678147,0.04689833127993326
pytket_linear_r1,128,11,0.03159943476179006,0.1614226241529939,-0.515345714868922,0.048087330388419225
pytket_linear_r1,128,12,0.03095064522104719,0.14185304152235845,-0.5440303122659698,0.051678041474405155
pytket_linear_r1,128,13,0.030904213526832952,0.15309439834722516,-0.49426188108234703,0.04719660950866681
pytket_linear_r1,128,14,0.03118527991546413,0.1414395647892237,-0.5406396015463777,0.054596121631465724
pytket_linear_r1,128,15,0.030455208610889052,0.13582210748163648,-0.5118648481879742,0.05925913178314337
pytket_linear_r1,128,16,0.030444151545782082,0.1384206711670256,-0.5007188855227924,0.05320236802359783
pytket_linear_r1,128,17,0.03080958560103542,0.13624456367979498,-0.5191362385216143,0.055796819125602366
pytket_linear_r1,128,18,0.030573370893182013,0.16090955165871113,-0.5228321503438543,0.056294814256176634
pytket_linear_r1,128,19,0.030448576551100816,0.14467302399204995,-0.48181733485453604,0.048887513105231505
pytket_linear_r1,512,0,0.015713230288863494,0.07916417924223107,-0.2243286154803605,0.057201229986005915
pytket_linear_r1,512,1,0.0156076009903744,0.07155669168899903,-0.2436138700362292,0.06247582601630458
pytket_linear_r1,512,2,0.01544226172511965,0.07179799809589105,-0.2511656841740562,0.05165946895410262
pytket_linear_r1,512,3,0.015214803430853303,0.07053909518885332,-0.22231227750973237,0.05201036110647391
pytket_linear_r1,512,4,0.014886544647657762,0.07531427927813317,-0.24534729775011085,0.052167556204400084
pytket_linear_r1,512,5,0.01532580509240704,0.06932607858239459,-0.21987672584530094,0.05134601903513542
pytket_linear_r1,512,6,0.015262652300925855,0.08291468705994487,-0.23601047892951418,0.05189899095724662
pytket_linear_r1,512,7,0.015165183086850536,0.06707196485894673,-0.236455779585683,0.056545885104524414
pytket_linear_r1,512,8,0.0150218140128299,0.06604669862469753,-0.24812629790159824,0.049033485482459845
pytket_linear_r1,512,9,0.015432281277343885,0.07617088914900882,-0.23419736425836946,0.053290137492807955
pytket_linear_r1,512,10,0.014954345319614655,0.06563828547693007,-0.22225560509927664,0.055023552449666266
pytket_linear_r1,512,11,0.01531243614611836,0.09383073777898632,-0.2425382601281565,0.05037072177410276
pytket_linear_r1,512,12,0.015241605560396738,0.06524948941105502,-0.2490889445157749,0.05613596325836199
pytket_linear_r1,512,13,0.015455380542025747,0.0687056743638354,-0.2377929018261873,0.05843933939397072
pytket_linear_r1,512,14,0.015553111760084695,0.08012954314670662,-0.25113375383083725,0.0533186430710502
pytket_linear_r1,512,15,0.01570156297350573,0.06878273189113415,-0.2395445132266873,0.05570914558722822
pytket_linear_r1,512,16,0.015290584188926797,0.08119898235354278,-0.23549196219131321,0.055804547587948075
pytket_linear_r1,512,17,0.015138079825819743,0.09559716070653901,-0.24024816382413441,0.05809754817852154
pytket_linear_r1,512,18,0.015291883671045762,0.06990339940284757,-0.2362690253191672,0.055793509587919184
pytket_linear_r1,512,19,0.015449785732101559,0.06623049798444808,-0.23251585610210165,0.05651514382788413
pytket_linear_r1,2048,0,0.007724191822919249,0.03503422855386762,-0.10463627229084926,0.056039054120052806
pytket_linear_r1,2048,1,0.007809727423579312,0.0343473729144006,-0.11740870666597691,0.053398004782280545
pytket_linear_r1,2048,2,0.007728146884942175,0.03692563632446111,-0.11445862607416707,0.05442103397035024
pytket_linear_r1,2048,3,0.007699501201360962,0.037646542020176366,-0.11598473960388775,0.05492396975480655
pytket_linear_r1,2048,4,0.007770291391636387,0.04696937456641337,-0.12556124902026902,0.05452607877117917
pytket_linear_r1,2048,5,0.0076220759637525915,0.034128096448097556,-0.11275561686628763,0.05374850122948048
pytket_linear_r1,2048,6,0.007714427282083448,0.03691718340419681,-0.11197899103030604,0.05503841739231999
pytket_linear_r1,2048,7,0.007887530307859793,0.043657073318963235,-0.11600811785653678,0.05632794076951675
pytket_linear_r1,2048,8,0.007774335806340935,0.04110427592140664,-0.10943186238969968,0.05559497849369064
pytket_linear_r1,2048,9,0.007668722737853499,0.03473418158805153,-0.11375872194676455,0.05660702633593818
pytket_linear_r1,2048,10,0.007878988710635474,0.04610188885520661,-0.11703861337239671,0.05409693384507912
