map,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,mcc_mean,mcc_std,total_seconds
pytket_ring_r1,0.59375,0.08068715304598784,0.59375,0.08068715304598784,0.5738095238095238,0.11543731959096323,0.19053788010653266,0.1634809778688433,0.22629857099946094
pytket_linear_r1,0.609375,0.07864410870073699,0.609375,0.07864410870073699,0.5491071428571428,0.14903752374655493,0.22154084068909707,0.1588525869591909,0.15009739700053615
pytket_linear_r2,0.59375,0.08068715304598785,0.59375,0.08068715304598785,0.5418552036199095,0.17551349090475712,0.1927508338122592,0.16237209526715998,0.38552065699968807
