shots,mae_mean,mae_std,min_eigenvalue_mean,alignment_mean
128,0.0308983144330884,0.0004995516648042792,-0.515807053876713,0.05216896096278565
512,0.01532304762864328,0.00022822308538273091,-0.23741566887672957,0.054641853752805725
2048,0.007709523971080929,0.00011151407776459807,-0.11384133293706282,0.05539304625716083
