alignment,intra_mean,intra_std,inter_mean,inter_std,intra_minus_inter,offdiag_mean,offdiag_std,min_eigenvalue,max_eigenvalue,effective_rank,near_uniform_score,map,family,scaling,reps,topology,kernel_seconds
0.09858629427340118,0.13589365111749352,0.16090475433062185,0.12447635551485839,0.15518086389326566,0.01141729560263513,0.1301127419516023,0.1581230599241055,0.005337030365606275,13.341592050119,33.357435280135114,0.1581230599241055,zz_linear_r1_robust,ZZFeatureMap,robust_atan,1,linear,0.040263500000946806
0.09501594550767692,0.1363001363293077,0.15779037834428977,0.12662833419791933,0.15151933010590987,0.00967180213138838,0.1314030213260731,0.1547102975586727,0.006462612543943784,13.367225463421043,34.229996534133605,0.1547102975586727,zz_ring_r1_robust,ZZFeatureMap,robust_atan,1,ring,0.0421407999983785
0.10062290820249001,0.17326062030808165,0.14305811866311233,0.16342396664306869,0.1376273011240015,0.009836653665012962,0.16828003617389786,0.14040965817128723,0.012301417022819495,15.525834706646446,34.441311541358026,0.14040965817128723,zz_full_r1_robust,ZZFeatureMap,robust_atan,1,full,0.04904230000101961
0.0982393707393278,0.0500188024792097,0.07558811384249438,0.04887191060255838,0.0729535413176205,0.001146891876651318,0.04943809773153815,0.07426216694036104,0.1049086613916622,5.4838979759127255,62.625976873822005,0.07426216694036104,zz_ring_r2_robust,ZZFeatureMap,robust_atan,2,ring,0.06083469999975932
0.09858629427340118,0.13589365111749352,0.16090475433062185,0.12447635551485839,0.15518086389326566,0.01141729560263513,0.1301127419516023,0.1581230599241055,0.005337030365606275,13.341592050119,33.357435280135114,0.1581230599241055,pauli_z_zz_linear_r1_robust,PauliFeatureMap,robust_atan,1,linear,0.15267239999957383
0.09501594550767692,0.1363001363293077,0.15779037834428977,0.12662833419791933,0.15151933010590987,0.00967180213138838,0.1314030213260731,0.1547102975586727,0.006462612543943784,13.367225463421043,34.229996534133605,0.1547102975586727,pauli_z_zz_ring_r1_robust,PauliFeatureMap,robust_atan,1,ring,0.1098442000002251
0.09534165015574979,0.31007579581884726,0.20546995898042422,0.2943223051727963,0.20323617971803098,0.01575349064605097,0.3020993448588214,0.20447757672580055,0.0004801723809111047,27.24331915085896,15.726540670126857,0.20447757672580055,pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,robust_atan,1,linear,0.1792249999998603
0.07690923407243964,0.22143948257543059,0.20554936595146314,0.21449232826971174,0.20558343483991123,0.00694715430571885,0.21792193609152227,0.2055796980788628,0.0006493163807373464,22.186169577083007,22.212622807662484,0.2055796980788628,pauli_z_zz_ring_r1_minmax,PauliFeatureMap,minmax,1,ring,0.0985127999992983
0.0872385147991963,0.18208683195373712,0.1924752978240845,0.1712922347140558,0.18636832725439714,0.01079459723968132,0.1766212130982023,0.18946966156135733,0.003053159436849893,17.80109980370532,25.240576637637748,0.18946966156135733,custom_water_domain_r1_robust,custom_water_domain,robust_atan,1,domain,0.03502519999892684
0.10535009205845414,0.08543609374963956,0.12381370016026069,0.07672861382926824,0.11716696416761321,0.008707479920371325,0.0810272431570465,0.12056318474622506,0.018510283853595932,9.045332151659231,46.33559164558599,0.12056318474622506,custom_water_domain_r2_reupload_robust,custom_water_domain,robust_atan,2,domain,0.0529010999998718
