Model,Accuracy_Mean,Accuracy_SD,Accuracy_Median,Accuracy_IQR,Balanced_Accuracy_Mean,Balanced_Accuracy_SD,Balanced_Accuracy_Median,Balanced_Accuracy_IQR,Precision_Mean,Precision_SD,Precision_Median,Precision_IQR,Recall_Mean,Recall_SD,Recall_Median,Recall_IQR,F1_Mean,F1_SD,F1_Median,F1_IQR,MCC_Mean,MCC_SD,MCC_Median,MCC_IQR,ROC_AUC_Mean,ROC_AUC_SD,ROC_AUC_Median,ROC_AUC_IQR,Specificity_Mean,Specificity_SD,Specificity_Median,Specificity_IQR,Unsafe_Acceptance_Mean,Unsafe_Acceptance_SD,Unsafe_Acceptance_Median,Unsafe_Acceptance_IQR
Raw-9,0.6718710293273478,0.030976474720875315,0.6697819314641744,0.03059151332211063,0.6536575109322202,0.029497567375608238,0.6501937984496124,0.024092501490757368,0.6018740602081302,0.047725671026279684,0.5966386554621849,0.05838382501314077,0.559745577419996,0.040145521849336445,0.5615384615384615,0.0561121049493144,0.5790032178824188,0.035214204886659876,0.5725806451612904,0.036433011078736754,0.3122618660664375,0.062346316534101894,0.30756794354714573,0.05209846204132401,0.707462027098655,0.032283670271941414,0.6913461538461538,0.053931872391174696,0.7475694444444445,0.04565486537932438,0.734375,0.06249999999999989,0.25243055555555555,0.04565486537932438,0.265625,0.062499999999999944
PCA-4,0.5764955528466297,0.027684149006944575,0.5856697819314641,0.03484839689634489,0.5550426729278473,0.02510673165187328,0.5530448717948717,0.028050462134764476,0.4748539765362994,0.03450746153682634,0.4835164835164835,0.04516499417429404,0.44446034585569466,0.07801538421212502,0.4418604651162791,0.07725104353011336,0.45571186518298273,0.04309331448154067,0.4701492537313433,0.05829516159959097,0.11255123007446731,0.051116346110112815,0.11218605244676229,0.05967753078673865,0.5767093188895515,0.03266827209448904,0.5763221153846154,0.04630354303319417,0.6656250000000001,0.0741341806194087,0.6822916666666666,0.08333333333333326,0.33437500000000003,0.0741341806194087,0.31770833333333337,0.08333333333333331
Chem-4,0.5302864366659572,0.037261887957427,0.5389408099688473,0.04735782976335601,0.553514211886305,0.024218546447896852,0.5540064102564103,0.034670356290995796,0.44751329067369616,0.020907039261796972,0.4489795918367347,0.03061532840128356,0.6736950904392764,0.1132493606424531,0.676923076923077,0.12110912343470481,0.5326338760511447,0.04331251943411455,0.5390835579514824,0.01972230148980525,0.10889903997669168,0.046703754730780894,0.10995511608988802,0.06722474031591612,0.5703945744716094,0.020213582272000846,0.5677483974358974,0.015909175611210635,0.4333333333333333,0.125821950368147,0.4322916666666667,0.14843750000000006,0.5666666666666668,0.125821950368147,0.5677083333333333,0.14843749999999994
