Model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__class_weight,param_svc__gamma,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,split10_test_balanced_accuracy,split11_test_balanced_accuracy,split12_test_balanced_accuracy,split13_test_balanced_accuracy,split14_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,split10_test_precision,split11_test_precision,split12_test_precision,split13_test_precision,split14_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,split10_test_recall,split11_test_recall,split12_test_recall,split13_test_recall,split14_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,split5_test_mcc,split6_test_mcc,split7_test_mcc,split8_test_mcc,split9_test_mcc,split10_test_mcc,split11_test_mcc,split12_test_mcc,split13_test_mcc,split14_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,split5_test_specificity,split6_test_specificity,split7_test_specificity,split8_test_specificity,split9_test_specificity,split10_test_specificity,split11_test_specificity,split12_test_specificity,split13_test_specificity,split14_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity
Raw-9,0.1102316697438558,0.0031031675852973965,0.09979952176411946,0.005699067816357929,0.1,,scale,"{'svc__C': 0.1, 'svc__class_weight': None, 'svc__gamma': 'scale'}",0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5970163116038776,0.0009100095404778449,14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.6832932692307694,0.6558493589743589,0.7286057692307691,0.7533914728682171,0.6855216408268734,0.7154246794871795,0.6889823717948718,0.6717548076923077,0.689922480620155,0.7577115633074936,0.687940705128205,0.703165064102564,0.7195913461538461,0.7253310723514211,0.6929102067183462,0.7039597205658252,0.027919216321962034,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
Raw-9,0.11113847096761068,0.004696125223607644,0.1023997942606608,0.006921774535936721,0.1,,auto,"{'svc__C': 0.1, 'svc__class_weight': None, 'svc__gamma': 'auto'}",0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5970163116038776,0.0009100095404778449,14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.6832932692307694,0.6558493589743589,0.7286057692307691,0.7533914728682171,0.6855216408268734,0.7154246794871795,0.6889823717948718,0.6717548076923077,0.689922480620155,0.7577115633074936,0.687940705128205,0.703165064102564,0.7195913461538461,0.7253310723514211,0.6929102067183462,0.7039597205658252,0.027919216321962034,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
Raw-9,0.11691404978434244,0.009519663017598096,0.10594968795776367,0.019970389140522474,0.1,,0.01,"{'svc__C': 0.1, 'svc__class_weight': None, 'svc__gamma': 0.01}",0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5962732919254659,0.5962732919254659,0.5962732919254659,0.5981308411214953,0.5981308411214953,0.5970163116038776,0.0009100095404778449,14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.6721955128205128,0.6307692307692307,0.7270032051282052,0.7112403100775193,0.6626695736434108,0.6815304487179488,0.674238782051282,0.6364983974358974,0.6602470930232558,0.7371608527131783,0.6869791666666666,0.6832932692307692,0.6866987179487178,0.6992894056847546,0.6851986434108526,0.6823341739548135,0.028257686986041766,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
Raw-9,0.13683168093363443,0.009344166391576387,0.11304794947306315,0.005074246314690026,0.1,balanced,scale,"{'svc__C': 0.1, 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",0.6242236024844721,0.593167701863354,0.6614906832298136,0.6261682242990654,0.573208722741433,0.6086956521739131,0.6149068322981367,0.6118012422360248,0.5763239875389408,0.6386292834890965,0.6211180124223602,0.6459627329192547,0.6118012422360248,0.6573208722741433,0.6292834890965732,0.6196068187535071,0.025008792952766673,11,0.6016826923076923,0.5818509615384615,0.6391426282051282,0.6162790697674418,0.5681928294573644,0.609775641025641,0.6013221153846153,0.5900240384615385,0.5695251937984496,0.6241521317829457,0.6052884615384615,0.6248798076923077,0.6111378205128205,0.6270591085271318,0.6226986434108528,0.6062007428940569,0.020480312699416723,10,0.5384615384615384,0.49635036496350365,0.591304347826087,0.5328467153284672,0.47297297297297297,0.5128205128205128,0.5227272727272727,0.5210084033613446,0.47586206896551725,0.5503875968992248,0.53125,0.5677966101694916,0.5163398692810458,0.5922330097087378,0.5352112676056338,0.5305048367394234,0.03416701858635244,12,0.4846153846153846,0.5230769230769231,0.5230769230769231,0.5658914728682171,0.5426356589147286,0.6153846153846154,0.5307692307692308,0.47692307692307695,0.5348837209302325,0.5503875968992248,0.5230769230769231,0.5153846153846153,0.6076923076923076,0.4728682170542636,0.5891472868217055,0.5370542635658915,0.04200389160059603,5,0.5101214574898786,0.5093632958801498,0.5551020408163265,0.5488721804511278,0.5054151624548736,0.5594405594405595,0.5267175572519084,0.4979919678714859,0.5036496350364964,0.5503875968992248,0.5271317829457365,0.5403225806451613,0.558303886925795,0.5258620689655172,0.5608856088560885,0.5319711587953554,0.021988482568394186,7,0.2074576535583016,0.1624538185214249,0.2849563869263899,0.2305195795757774,0.1341406067638924,0.2155469712606179,0.2021588546692008,0.18301609218437512,0.13698636394218922,0.24830426356589147,0.2111189495155937,0.2543246292536741,0.218386151071938,0.2668912955966352,0.24223926414722996,0.21323339203687544,0.04307766208413651,11,0.6600560897435899,0.6071714743589745,0.6850560897435898,0.6871366279069767,0.6128472222222223,0.6286858974358974,0.6734375000000001,0.6276041666666667,0.6227390180878554,0.698078165374677,0.6411858974358975,0.6689102564102564,0.6706730769230769,0.6791020671834624,0.6438549741602067,0.6537692349102233,0.028305351488100764,15,0.71875,0.640625,0.7552083333333334,0.6666666666666666,0.59375,0.6041666666666666,0.671875,0.703125,0.6041666666666666,0.6979166666666666,0.6875,0.734375,0.6145833333333334,0.78125,0.65625,0.6753472222222222,0.05569643595774385,17
Raw-9,0.13811429341634116,0.014915719410651179,0.11639321645100911,0.014409198583757197,0.1,balanced,auto,"{'svc__C': 0.1, 'svc__class_weight': 'balanced', 'svc__gamma': 'auto'}",0.6242236024844721,0.593167701863354,0.6614906832298136,0.6261682242990654,0.573208722741433,0.6086956521739131,0.6149068322981367,0.6118012422360248,0.5763239875389408,0.6386292834890965,0.6211180124223602,0.6459627329192547,0.6118012422360248,0.6573208722741433,0.6292834890965732,0.6196068187535071,0.025008792952766673,11,0.6016826923076923,0.5818509615384615,0.6391426282051282,0.6162790697674418,0.5681928294573644,0.609775641025641,0.6013221153846153,0.5900240384615385,0.5695251937984496,0.6241521317829457,0.6052884615384615,0.6248798076923077,0.6111378205128205,0.6270591085271318,0.6226986434108528,0.6062007428940569,0.020480312699416723,10,0.5384615384615384,0.49635036496350365,0.591304347826087,0.5328467153284672,0.47297297297297297,0.5128205128205128,0.5227272727272727,0.5210084033613446,0.47586206896551725,0.5503875968992248,0.53125,0.5677966101694916,0.5163398692810458,0.5922330097087378,0.5352112676056338,0.5305048367394234,0.03416701858635244,12,0.4846153846153846,0.5230769230769231,0.5230769230769231,0.5658914728682171,0.5426356589147286,0.6153846153846154,0.5307692307692308,0.47692307692307695,0.5348837209302325,0.5503875968992248,0.5230769230769231,0.5153846153846153,0.6076923076923076,0.4728682170542636,0.5891472868217055,0.5370542635658915,0.04200389160059603,5,0.5101214574898786,0.5093632958801498,0.5551020408163265,0.5488721804511278,0.5054151624548736,0.5594405594405595,0.5267175572519084,0.4979919678714859,0.5036496350364964,0.5503875968992248,0.5271317829457365,0.5403225806451613,0.558303886925795,0.5258620689655172,0.5608856088560885,0.5319711587953554,0.021988482568394186,7,0.2074576535583016,0.1624538185214249,0.2849563869263899,0.2305195795757774,0.1341406067638924,0.2155469712606179,0.2021588546692008,0.18301609218437512,0.13698636394218922,0.24830426356589147,0.2111189495155937,0.2543246292536741,0.218386151071938,0.2668912955966352,0.24223926414722996,0.21323339203687544,0.04307766208413651,11,0.6600560897435899,0.6071714743589745,0.6850560897435898,0.6871366279069767,0.6128472222222223,0.6286858974358974,0.6734375000000001,0.6276041666666667,0.6227390180878554,0.698078165374677,0.6411858974358975,0.6689102564102564,0.6706730769230769,0.6791020671834624,0.6438549741602067,0.6537692349102233,0.028305351488100764,15,0.71875,0.640625,0.7552083333333334,0.6666666666666666,0.59375,0.6041666666666666,0.671875,0.703125,0.6041666666666666,0.6979166666666666,0.6875,0.734375,0.6145833333333334,0.78125,0.65625,0.6753472222222222,0.05569643595774385,17
Raw-9,0.2320995330810547,0.036963450011900365,0.19335700670878092,0.02996919507474707,0.1,balanced,0.01,"{'svc__C': 0.1, 'svc__class_weight': 'balanced', 'svc__gamma': 0.01}",0.5993788819875776,0.593167701863354,0.5993788819875776,0.5950155763239875,0.5887850467289719,0.5714285714285714,0.5962732919254659,0.5962732919254659,0.6012461059190031,0.5981308411214953,0.6055900621118012,0.5962732919254659,0.6024844720496895,0.5981308411214953,0.5919003115264797,0.5955638113297602,0.007626415537452072,17,0.5038461538461538,0.5048477564102564,0.5038461538461538,0.49993943798449614,0.5010901162790697,0.4977964743589744,0.5099358974358974,0.5,0.5076913759689923,0.5,0.5115384615384615,0.5012419871794872,0.5114182692307693,0.5,0.49606346899224807,0.503283703538064,0.0047316279878745465,15,1.0,0.46153846153846156,1.0,0.4,0.4117647058823529,0.39473684210526316,0.5,0.0,0.5714285714285714,0.0,1.0,0.5,0.625,0.0,0.25,0.4742979053969766,0.3269722888656278,15,0.007692307692307693,0.046153846153846156,0.007692307692307693,0.015503875968992248,0.05426356589147287,0.11538461538461539,0.06153846153846154,0.0,0.031007751937984496,0.0,0.023076923076923078,0.007692307692307693,0.038461538461538464,0.0,0.007751937984496124,0.02774796263168356,0.030634789446138767,14,0.015267175572519083,0.08391608391608392,0.015267175572519083,0.029850746268656716,0.0958904109589041,0.17857142857142858,0.1095890410958904,0.0,0.058823529411764705,0.0,0.045112781954887216,0.015151515151515152,0.07246376811594203,0.0,0.015037593984962405,0.04899608337167156,0.04945331582564818,14,0.0678307192219377,0.024168080543211685,0.0678307192219377,-0.0004795647373989157,0.004772951681240654,-0.006702231526425108,0.04486820354801692,0.0,0.0516375539978497,0.0,0.11785397200410737,0.015512414899867816,0.07198512243195368,0.0,-0.034796015456639844,0.028298795055310622,0.039195339808144845,15,0.5268830128205129,0.511738782051282,0.5744791666666667,0.5159883720930233,0.47638081395348836,0.5060897435897437,0.5258413461538461,0.5448317307692307,0.5113452842377262,0.5719880490956071,0.5498397435897436,0.5510016025641027,0.5084535256410256,0.5693233204134367,0.536781330749354,0.5320643882925861,0.027252173316828734,18,1.0,0.9635416666666666,1.0,0.984375,0.9479166666666666,0.8802083333333334,0.9583333333333334,1.0,0.984375,1.0,1.0,0.9947916666666666,0.984375,1.0,0.984375,0.9788194444444444,0.030986543774059863,5
Raw-9,0.17456310590108234,0.04594081678068337,0.1479442278544108,0.042748391531904774,1.0,,scale,"{'svc__C': 1, 'svc__class_weight': None, 'svc__gamma': 'scale'}",0.6832298136645962,0.6459627329192547,0.7049689440993789,0.6947040498442367,0.660436137071651,0.6645962732919255,0.6770186335403726,0.6645962732919255,0.7009345794392523,0.7102803738317757,0.6645962732919255,0.6894409937888198,0.7018633540372671,0.7102803738317757,0.6697819314641744,0.6828460491605554,0.019890011667217922,1,0.6263221153846154,0.5975560897435898,0.6495192307692308,0.6405038759689923,0.6144016472868217,0.6119391025641026,0.6260817307692308,0.615665064102564,0.653343023255814,0.6535247093023255,0.6082131410256411,0.640224358974359,0.6568509615384616,0.6497093023255814,0.6209423449612403,0.6309864465315047,0.018622930117935664,7,0.7413793103448276,0.6081081081081081,0.7966101694915254,0.746031746031746,0.6282051282051282,0.6666666666666666,0.6911764705882353,0.6527777777777778,0.726027397260274,0.8103448275862069,0.6833333333333333,0.7142857142857143,0.7236842105263158,0.8461538461538461,0.6575342465753424,0.7128212635290031,0.06571501294031108,2,0.33076923076923076,0.34615384615384615,0.36153846153846153,0.3643410852713178,0.3798449612403101,0.3384615384615385,0.36153846153846153,0.36153846153846153,0.4108527131782946,0.3643410852713178,0.3153846153846154,0.38461538461538464,0.4230769230769231,0.34108527131782945,0.37209302325581395,0.36370900417412044,0.02757713564087448,10,0.4574468085106383,0.4411764705882353,0.4973544973544973,0.4895833333333333,0.47342995169082125,0.4489795918367347,0.47474747474747475,0.46534653465346537,0.5247524752475248,0.5026737967914439,0.43157894736842106,0.5,0.5339805825242718,0.4861878453038674,0.4752475247524752,0.48016572231354704,0.028157327389358437,10,0.32256386608415843,0.2275437810683606,0.3792673526004299,0.3468834999147803,0.26155155416750003,0.27210853021704473,0.3031329412441658,0.2724069831312873,0.35871721246195926,0.3912567813071939,0.2727131115266344,0.33360032042726484,0.3624642028340608,0.39842487019147116,0.28292190888093705,0.3190371277371499,0.051226029091734265,1,0.6945112179487181,0.6757211538461539,0.7295272435897435,0.760093669250646,0.6940406976744186,0.7157451923076924,0.708613782051282,0.6752804487179487,0.7032864987080103,0.7594476744186047,0.6868990384615384,0.710576923076923,0.7397035256410257,0.7260981912144703,0.6883074935400517,0.7111901833631485,0.026350970717290364,1,0.921875,0.8489583333333334,0.9375,0.9166666666666666,0.8489583333333334,0.8854166666666666,0.890625,0.8697916666666666,0.8958333333333334,0.9427083333333334,0.9010416666666666,0.8958333333333334,0.890625,0.9583333333333334,0.8697916666666666,0.898263888888889,0.03141545704518756,7
Raw-9,0.11029752095540364,0.002930493223392415,0.09795029958089192,0.009863206429422384,1.0,,auto,"{'svc__C': 1, 'svc__class_weight': None, 'svc__gamma': 'auto'}",0.6832298136645962,0.6459627329192547,0.7049689440993789,0.6947040498442367,0.660436137071651,0.6645962732919255,0.6770186335403726,0.6645962732919255,0.7009345794392523,0.7102803738317757,0.6645962732919255,0.6894409937888198,0.7018633540372671,0.7102803738317757,0.6697819314641744,0.6828460491605554,0.019890011667217922,1,0.6263221153846154,0.5975560897435898,0.6495192307692308,0.6405038759689923,0.6144016472868217,0.6119391025641026,0.6260817307692308,0.615665064102564,0.653343023255814,0.6535247093023255,0.6082131410256411,0.640224358974359,0.6568509615384616,0.6497093023255814,0.6209423449612403,0.6309864465315047,0.018622930117935664,7,0.7413793103448276,0.6081081081081081,0.7966101694915254,0.746031746031746,0.6282051282051282,0.6666666666666666,0.6911764705882353,0.6527777777777778,0.726027397260274,0.8103448275862069,0.6833333333333333,0.7142857142857143,0.7236842105263158,0.8461538461538461,0.6575342465753424,0.7128212635290031,0.06571501294031108,2,0.33076923076923076,0.34615384615384615,0.36153846153846153,0.3643410852713178,0.3798449612403101,0.3384615384615385,0.36153846153846153,0.36153846153846153,0.4108527131782946,0.3643410852713178,0.3153846153846154,0.38461538461538464,0.4230769230769231,0.34108527131782945,0.37209302325581395,0.36370900417412044,0.02757713564087448,10,0.4574468085106383,0.4411764705882353,0.4973544973544973,0.4895833333333333,0.47342995169082125,0.4489795918367347,0.47474747474747475,0.46534653465346537,0.5247524752475248,0.5026737967914439,0.43157894736842106,0.5,0.5339805825242718,0.4861878453038674,0.4752475247524752,0.48016572231354704,0.028157327389358437,10,0.32256386608415843,0.2275437810683606,0.3792673526004299,0.3468834999147803,0.26155155416750003,0.27210853021704473,0.3031329412441658,0.2724069831312873,0.35871721246195926,0.3912567813071939,0.2727131115266344,0.33360032042726484,0.3624642028340608,0.39842487019147116,0.28292190888093705,0.3190371277371499,0.051226029091734265,1,0.6945112179487181,0.6757211538461539,0.7295272435897435,0.760093669250646,0.6940406976744186,0.7157451923076924,0.708613782051282,0.6752804487179487,0.7032864987080103,0.7594476744186047,0.6868990384615384,0.710576923076923,0.7397035256410257,0.7260981912144703,0.6883074935400517,0.7111901833631485,0.026350970717290364,1,0.921875,0.8489583333333334,0.9375,0.9166666666666666,0.8489583333333334,0.8854166666666666,0.890625,0.8697916666666666,0.8958333333333334,0.9427083333333334,0.9010416666666666,0.8958333333333334,0.890625,0.9583333333333334,0.8697916666666666,0.898263888888889,0.03141545704518756,7
Raw-9,0.11188216209411621,0.002062495470819302,0.09821308453877767,0.007681432826152038,1.0,,0.01,"{'svc__C': 1, 'svc__class_weight': None, 'svc__gamma': 0.01}",0.5993788819875776,0.6024844720496895,0.6024844720496895,0.5981308411214953,0.5981308411214953,0.5962732919254659,0.6024844720496895,0.5993788819875776,0.5981308411214953,0.6012461059190031,0.5993788819875776,0.6055900621118012,0.6024844720496895,0.5981308411214953,0.5981308411214953,0.6001225466483491,0.002446510508417084,13,0.5038461538461538,0.5076923076923077,0.5076923076923077,0.5,0.5,0.5,0.5076923076923077,0.5038461538461538,0.5,0.5038759689922481,0.5038461538461538,0.5115384615384615,0.5076923076923077,0.5,0.5,0.5038481415225601,0.0037157450701579713,14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6,0.48989794855663565,9,0.007692307692307693,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.007692307692307693,0.0,0.007751937984496124,0.007692307692307693,0.023076923076923078,0.015384615384615385,0.0,0.0,0.007696283045120255,0.00743149014031597,15,0.015267175572519083,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.015267175572519083,0.0,0.015384615384615385,0.015267175572519083,0.045112781954887216,0.030303030303030304,0.0,0.0,0.015167403017945403,0.014590984210993474,15,0.0678307192219377,0.09607689228305229,0.09607689228305229,0.0,0.0,0.0,0.09607689228305229,0.0678307192219377,0.0,0.06819943394704735,0.0678307192219377,0.11785397200410737,0.09607689228305229,0.0,0.0,0.051590208849945134,0.0442293817152514,14,0.6707932692307693,0.6285657051282051,0.7274439102564103,0.7089793281653747,0.664001937984496,0.6776041666666667,0.6736378205128205,0.6377403846153846,0.6593992248062015,0.736514857881137,0.6856971153846154,0.682772435897436,0.6857371794871795,0.6967861757105943,0.6843104005167959,0.6813322608162725,0.028135527250434996,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
Raw-9,0.1227204958597819,0.007979574566764569,0.09816716512044271,0.003605370820962145,1.0,balanced,scale,"{'svc__C': 1, 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",0.6739130434782609,0.6304347826086957,0.6801242236024845,0.7133956386292835,0.6448598130841121,0.6428571428571429,0.6801242236024845,0.6583850931677019,0.6542056074766355,0.719626168224299,0.6335403726708074,0.6677018633540373,0.6739130434782609,0.735202492211838,0.6697819314641744,0.6718710293273478,0.029926117696601168,3,0.6483173076923077,0.6118589743589744,0.6522836538461538,0.6980983527131783,0.6369912790697674,0.6297275641025641,0.6696714743589745,0.640264423076923,0.6409883720930233,0.698219476744186,0.6094951923076923,0.654286858974359,0.6557692307692308,0.7086967054263567,0.6501937984496124,0.6536575109322202,0.02849735746240303,1,0.6146788990825688,0.5447154471544715,0.6285714285714286,0.6504065040650406,0.5539568345323741,0.5572519083969466,0.6015037593984962,0.5819672131147541,0.5692307692307692,0.672566371681416,0.5526315789473685,0.5891472868217055,0.6033057851239669,0.7115384615384616,0.5966386554621849,0.6018740602081302,0.04610737862043444,7,0.5153846153846153,0.5153846153846153,0.5076923076923077,0.6201550387596899,0.5968992248062015,0.5615384615384615,0.6153846153846154,0.5461538461538461,0.5736434108527132,0.5891472868217055,0.4846153846153846,0.5846153846153846,0.5615384615384615,0.5736434108527132,0.5503875968992248,0.559745577419996,0.03878425878607428,3,0.5606694560669456,0.5296442687747036,0.5617021276595745,0.6349206349206349,0.5746268656716418,0.5593869731800766,0.6083650190114068,0.5634920634920635,0.5714285714285714,0.628099173553719,0.5163934426229508,0.5868725868725869,0.5816733067729084,0.6351931330472103,0.5725806451612904,0.5790032178824188,0.0340201539886729,3,0.30756794354714573,0.2259144577599844,0.318772654038547,0.39955004001092126,0.27109736208057966,0.25913866561731264,0.33814611120433885,0.2837297678761727,0.28162447907965815,0.40695922850035404,0.22467939393018638,0.30896388266348845,0.31560454406710875,0.4372648039194238,0.30491465670134127,0.3122618660664375,0.06023226410885669,3,0.6913461538461538,0.6699519230769231,0.7355769230769231,0.7530684754521964,0.6808381782945736,0.6913060897435896,0.7114583333333333,0.6764022435897434,0.6866521317829456,0.7668362403100775,0.6839342948717949,0.6983173076923077,0.7370592948717949,0.7501614987080103,0.6790213178294573,0.707462027098655,0.03118898857736394,3,0.78125,0.7083333333333334,0.796875,0.7760416666666666,0.6770833333333334,0.6979166666666666,0.7239583333333334,0.734375,0.7083333333333334,0.8072916666666666,0.734375,0.7239583333333334,0.75,0.84375,0.75,0.7475694444444445,0.044106790300556704,13
