Model,Best_C,Best_Gamma,Best_Class_Weight,CV_BA_Mean,CV_BA_SD,Elapsed_Seconds
Raw-9,1,scale,balanced,0.6536575109322202,0.02849735746240303,38.85335636138916
PCA-4,1,scale,balanced,0.5550426729278473,0.024255407148851656,37.54726266860962
Chem-4,10,0.01,balanced,0.553514211886305,0.023397338721437417,39.41470456123352
