map,result_kind,repeat,C,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,kernel_mae_vs_exact
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,0.5,0.30618621784789724,0.5,0.30618621784789724,0.5,0.5,0.4,0.4183300132670378,0.6,0.5477225575051662,0.4,0.3651483716701107,0.030940107675850335,0.6445696656203465,0.003706581588709469
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,0.45,0.27386127875258304,0.45,0.27386127875258304,0.3,0.4472135954999579,0.3,0.4472135954999579,0.6,0.5477225575051662,0.26666666666666666,0.3651483716701107,-0.08452994616207483,0.5695627213798575,0.003462853245649158
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,0.45,0.27386127875258304,0.45,0.27386127875258304,0.3,0.4472135954999579,0.3,0.4472135954999579,0.6,0.5477225575051662,0.26666666666666666,0.3651483716701107,-0.08452994616207483,0.5695627213798575,0.003221079564804852
zz_ring_r2_robust,local_binomial_preview,0,0.1,0.6,0.13693063937629152,0.6,0.13693063937629152,0.6333333333333333,0.2173067468400883,0.8,0.27386127875258304,0.4,0.4183300132670378,0.6599999999999999,0.10645812948447542,0.23094010767585033,0.316227766016838,0.0025244265792022345
zz_ring_r2_robust,local_binomial_preview,1,0.1,0.6,0.13693063937629152,0.6,0.13693063937629152,0.6333333333333333,0.2173067468400883,0.8,0.27386127875258304,0.4,0.4183300132670378,0.6599999999999999,0.10645812948447542,0.23094010767585033,0.316227766016838,0.0027030165314112726
zz_ring_r2_robust,local_binomial_preview,2,0.1,0.6,0.13693063937629152,0.6,0.13693063937629152,0.6333333333333333,0.2173067468400883,0.8,0.27386127875258304,0.4,0.4183300132670378,0.6599999999999999,0.10645812948447542,0.23094010767585033,0.316227766016838,0.0026343894677785026
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,0.4,0.2850438562747845,0.4,0.2850438562747845,0.3,0.4472135954999579,0.3,0.4472135954999579,0.5,0.5,0.26666666666666666,0.3651483716701107,-0.2,0.6055300708194985,0.0030223385236216806
pauli_z_zz_linear_r1_robust,local_binomial_preview,1,1.0,0.45,0.27386127875258304,0.45,0.27386127875258304,0.4,0.4183300132670378,0.4,0.4183300132670378,0.5,0.5,0.3666666666666666,0.3415650255319866,-0.08452994616207483,0.5695627213798575,0.0034339210489103666
pauli_z_zz_linear_r1_robust,local_binomial_preview,2,1.0,0.4,0.2850438562747845,0.4,0.2850438562747845,0.3,0.4472135954999579,0.3,0.4472135954999579,0.5,0.5,0.26666666666666666,0.3651483716701107,-0.2,0.6055300708194985,0.003191653410362991
