threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,average_precision,roc_auc,tn,fp,fn,tp,model,policy,evaluation
0.0,0.609375,0.64,0.5,0.5614035087719298,0.71875,0.609375,0.224179415327122,0.5079637021060419,0.517578125,23,9,16,16,same_full_svm_pipeline_64,default_zero,fixed_4fold_oof
-0.9516512901090459,0.53125,0.5161290322580645,1.0,0.6808510638297872,0.0625,0.53125,0.1796053020267749,0.5079637021060419,0.517578125,2,30,0,32,same_full_svm_pipeline_64,max_f1_v3,fixed_4fold_oof
