threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,average_precision,roc_auc,tn,fp,fn,tp,fold,policy,training_rows,validation_rows
0.0,0.6875,0.8,0.5,0.6153846153846154,0.875,0.6875,0.40451991747794525,0.7006944444444444,0.578125,7,1,4,4,0,default_zero,48,16
-0.9516512901090459,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0.0,0.7006944444444444,0.578125,0,8,0,8,0,max_f1_v3,48,16
0.0,0.5625,0.5714285714285714,0.5,0.5333333333333333,0.625,0.5625,0.1259881576697424,0.501068722943723,0.484375,5,3,4,4,1,default_zero,48,16
-0.9516512901090459,0.5625,0.5333333333333333,1.0,0.6956521739130435,0.125,0.5625,0.2581988897471611,0.501068722943723,0.484375,1,7,0,8,1,max_f1_v3,48,16
0.0,0.4375,0.42857142857142855,0.375,0.4,0.5,0.4375,-0.1259881576697424,0.4338480963480963,0.359375,4,4,5,3,2,default_zero,48,16
-0.9516512901090459,0.5625,0.5333333333333333,1.0,0.6956521739130435,0.125,0.5625,0.2581988897471611,0.4338480963480963,0.359375,1,7,0,8,2,max_f1_v3,48,16
0.0,0.75,0.8333333333333334,0.625,0.7142857142857143,0.875,0.75,0.5163977794943222,0.7131680819180819,0.671875,7,1,3,5,3,default_zero,48,16
-0.9516512901090459,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0.0,0.7131680819180819,0.671875,0,8,0,8,3,max_f1_v3,48,16
