accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp,average_precision,roc_auc,model,map,kernel_mode,C,fold,training_rows,validation_rows,statevector_seconds,kernel_seconds,svc_seconds
0.5625,0.5714285714285714,0.5,0.5333333333333333,0.625,0.5625,0.1259881576697424,5,3,4,4,0.6168470418470418,0.59375,qsvm_pytket,pauli_Z_ZZ_ring_r1_robust,centered_normalized,10.0,0,48,16,0.4136369770000101,0.014893607999965752,0.009232626000084565
0.6875,0.6666666666666666,0.75,0.7058823529411765,0.625,0.6875,0.3779644730092272,5,3,2,6,0.6830357142857143,0.6875,qsvm_pytket,pauli_Z_ZZ_ring_r1_robust,centered_normalized,10.0,1,48,16,0.4475628890000962,0.0012558690000332717,0.002818745000013223
0.5,0.5,0.375,0.42857142857142855,0.625,0.5,0.0,5,3,5,3,0.6751488095238094,0.671875,qsvm_pytket,pauli_Z_ZZ_ring_r1_robust,centered_normalized,10.0,2,48,16,0.2521989739999526,0.0012341550000201096,0.0027893110000150045
0.5625,0.5454545454545454,0.75,0.631578947368421,0.375,0.5625,0.13483997249264842,3,5,2,6,0.5944715007215007,0.546875,qsvm_pytket,pauli_Z_ZZ_ring_r1_robust,centered_normalized,10.0,3,48,16,0.44843111900001986,0.031571029000019735,0.005026056000019707
