family,maps,best_f1,mean_f1,mean_alignment,mean_2q
PauliFeatureMap,4,0.5767693744164332,0.5500819450587252,0.0505923330565385,10.5
ZZFeatureMap,4,0.6071967248437836,0.5804929745177423,0.0706644534387868,14.5
custom_water_domain,2,0.6230065359477124,0.6122689075630252,0.0661222770393092,15.0
