alignment,intra_mean,intra_std,inter_mean,inter_std,intra_minus_inter,offdiag_mean,offdiag_std,min_eigenvalue,max_eigenvalue,effective_rank,near_uniform_score,map,family,scaling,reps,topology,kernel_seconds
0.0560432231665106,0.1172523369456224,0.1508814075310127,0.1207441736121537,0.1475065656103615,-0.0034918366665312,0.1190203555109547,0.1491805743454595,0.0088094626613883,11.89056644596117,35.1418094217926,0.1491805743454595,zz_linear_r1_robust,ZZFeatureMap,robust_atan,1,linear,0.2367112700000007
0.0583149695558208,0.1197698075680092,0.1474016515246686,0.1228004214334734,0.1434788932599368,-0.0030306138654642,0.1213042956011556,0.1454250489981152,0.0096022310691543,11.98007861839801,35.919721308089,0.1454250489981152,zz_ring_r1_robust,ZZFeatureMap,robust_atan,1,ring,0.1004084580000039
0.0613860633181706,0.1588111854539176,0.1317225969519778,0.1615230298179871,0.1281712741087725,-0.0027118443640694,0.1601842712078768,0.1299333762766917,0.0190443807593428,14.448237327867169,36.28887009590021,0.1299333762766917,zz_full_r1_robust,ZZFeatureMap,robust_atan,1,full,0.0870017940000025
0.1069135577146451,0.0494841474250283,0.0737019752264845,0.0465182213135712,0.064969250617882,0.0029659261114571,0.04798241268505,0.0694281072726409,0.1234778262217439,5.133155827613635,63.63556828009412,0.0694281072726409,zz_ring_r2_robust,ZZFeatureMap,robust_atan,2,ring,0.1886900829999831
0.0560432231665106,0.1172523369456224,0.1508814075310127,0.1207441736121537,0.1475065656103615,-0.0034918366665312,0.1190203555109547,0.1491805743454595,0.0088094626613883,11.89056644596117,35.1418094217926,0.1491805743454595,pauli_z_zz_linear_r1_robust,PauliFeatureMap,robust_atan,1,linear,0.5115399310000157
0.0583149695558208,0.1197698075680092,0.1474016515246686,0.1228004214334734,0.1434788932599368,-0.0030306138654642,0.1213042956011556,0.1454250489981152,0.0096022310691543,11.98007861839801,35.919721308089,0.1454250489981152,pauli_z_zz_ring_r1_robust,PauliFeatureMap,robust_atan,1,ring,0.3927279029999795
0.0377852584645817,0.2930208192678796,0.1923730385976772,0.2977740526368712,0.1923206872136038,-0.0047532333689916,0.2954275197078753,0.1923459961486594,0.0012299180102184,26.1889490482958,16.549156146186878,0.1923459961486594,pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,robust_atan,1,linear,0.2002163610000025
0.050225881039241,0.2036476296866598,0.193697877351716,0.2058693300104846,0.1938366457730292,-0.0022217003238247,0.2047725412430268,0.1937560041570112,0.0015415937679781,20.076845383900128,23.26362220552405,0.1937560041570112,pauli_z_zz_ring_r1_minmax,PauliFeatureMap,minmax,1,ring,0.1335053120000111
0.0483085505073587,0.1603662836168884,0.179846882977768,0.1640006284894876,0.1785417497728994,-0.0036343448725991,0.162206458235926,0.1791822771121641,0.0037758239618838,15.914646586902943,26.70314685237196,0.1791822771121641,custom_water_domain_r1_robust,custom_water_domain,robust_atan,1,domain,0.0830973249999829
0.0839360035712597,0.0757547676133021,0.1125444106056481,0.0745848020374122,0.1064393645853004,0.0011699655758898,0.0751623799799402,0.1094886847825264,0.0295693808029635,7.959224838361884,49.29332039889992,0.1094886847825264,custom_water_domain_r2_reupload_robust,custom_water_domain,robust_atan,2,domain,0.1061669700000038
