model,C,gamma,fold,n_train,n_valid,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp
svm_rbf,10.0,0.01,0,50,14,0.35714285714285715,0.3571428571428571,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.3076923076923077,-0.28867513459481287,3,4,5,2
svm_rbf,10.0,0.01,1,50,14,0.5,0.5,0.5,0.42857142857142855,0.5714285714285714,0.46153846153846156,0.0,4,3,4,3
svm_rbf,10.0,0.01,2,52,12,0.25,0.25,0.2857142857142857,0.3333333333333333,0.16666666666666666,0.3076923076923077,-0.50709255283711,1,5,4,2
svm_rbf,10.0,0.01,3,52,12,0.4166666666666667,0.41666666666666663,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.2222222222222222,-0.19245008972987526,4,2,5,1
svm_rbf,10.0,0.01,4,52,12,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.0,2,4,2,4
