C,gamma,BA_mean,BA_sd,F1_mean,MCC_mean,AUC_mean
1.0,auto,0.6452380952380953,0.06998542122237653,0.6493106893106894,0.30177463020711204,0.665873015873016
1.0,scale,0.6452380952380953,0.06998542122237653,0.6493106893106894,0.30177463020711204,0.665873015873016
10.0,0.01,0.619047619047619,0.0405461580141105,0.6407435701553348,0.26967628124158205,0.6428571428571429
1.0,0.01,0.5428571428571429,0.10874464044446892,0.454029304029304,0.10189134742322933,0.6325396825396825
0.1,0.01,0.5333333333333333,0.06666666666666665,0.38596491228070173,0.06666666666666667,0.6373015873015873
0.1,scale,0.5166666666666666,0.033333333333333305,0.3757085020242915,0.03380617018914066,0.6317460317460317
0.1,auto,0.5166666666666666,0.033333333333333305,0.3757085020242915,0.03380617018914066,0.6317460317460317
10.0,scale,0.46904761904761905,0.10663902703123186,0.44901764901764907,-0.057707819299613904,0.5031746031746032
10.0,auto,0.46904761904761905,0.10663902703123186,0.44901764901764907,-0.057707819299613904,0.5031746031746032
