Shots,BA,Delta_BA,F1,MCC,Specificity,Unsafe_Acceptance,Prediction_flip_rate
256,0.575,-0.050000000000000044,0.4416666666666666,0.15,0.65,0.35,0.05
1024,0.65,0.025000000000000022,0.5166666666666665,0.3,0.725,0.275,0.016666666666666666
