Metric,Median_Delta,Mean_Delta,CI95_low,CI95_high,Win_rate,Tie_rate,Loss_rate,Wilcoxon_p
Balanced_Accuracy,-0.14285714285714285,-0.125,-0.20238095238095244,-0.07142857142857145,0.1,0.1,0.8,0.0023768628621326426
Accuracy,-0.15384615384615383,-0.1278846153846154,-0.1987179487179487,-0.07692307692307693,0.1,0.15,0.75,0.002802717210672921
Precision,-0.18055555555555555,-0.1515079365079365,-0.23809523809523808,-0.09047619047619049,0.05,0.1,0.85,0.001174975839731714
Recall,-0.16666666666666663,-0.1738095238095238,-0.30952380952380953,-0.0714285714285714,0.15,0.15,0.7,0.01673011513677217
F1,-0.17673992673992678,-0.1500662899192311,-0.2618881118881119,-0.058441558441558406,0.2,0.05,0.75,0.003758735438562999
MCC,-0.31624414237313364,-0.26903446586721785,-0.414871933391875,-0.15334304464609727,0.15,0.05,0.8,0.001284705613291876
ROC_AUC,-0.1547619047619048,-0.13988095238095238,-0.17857142857142858,-0.1150793650793651,0.05,0.0,0.95,0.0008881071074976897
Specificity,0.0,-0.07619047619047618,-0.16666666666666666,0.0,0.15,0.4,0.45,0.09909035686726167
Unsafe_Acceptance,0.0,0.07619047619047618,0.0,0.16666666666666669,0.45,0.4,0.15,0.090556875837822
