candidate,repeat,average_precision,roc_auc,maxf1_threshold,maxf1_accuracy,maxf1_precision,maxf1_recall,maxf1_f1,maxf1_specificity,maxf1_false_positive_rate,maxf1_balanced_accuracy,maxf1_mcc,maxf1_tn,maxf1_fp,maxf1_fn,maxf1_tp,safety_threshold,safety_accuracy,safety_precision,safety_recall,safety_f1,safety_specificity,safety_false_positive_rate,safety_balanced_accuracy,safety_mcc,safety_tn,safety_fp,safety_fn,safety_tp
optuna_trial_46,1,0.5872178373495806,0.6741995253362202,-0.9934034355216451,0.5148854961832061,0.439119804400978,0.8786692759295499,0.5855885229866319,0.28222778473091364,0.7177722152690864,0.5804485303302318,0.189618788357766,451.0,1147.0,124.0,898.0,-0.31011288019284977,0.6538167938931297,0.5639599555061179,0.49608610567514677,0.527850078084331,0.7546933667083855,0.2453066332916145,0.6253897361917662,0.2576531988187079,1206.0,392.0,515.0,507.0
optuna_trial_46,2,0.5834237979503083,0.6734972041862505,-0.9098991446964468,0.533587786259542,0.4480789200415369,0.8444227005870841,0.5854816824966079,0.33479349186483104,0.665206508135169,0.5896080962259576,0.1980994204655059,535.0,1063.0,159.0,863.0,-0.3069679487589785,0.648473282442748,0.5561735261401557,0.4892367906066536,0.5205622071837585,0.7503128911138923,0.24968710888610768,0.619774840860273,0.2461156058136559,1199.0,399.0,522.0,500.0
optuna_trial_46,3,0.59003764075367,0.6786877677331498,-0.7845839533783399,0.5725190839694656,0.47134502923976607,0.7886497064579256,0.5900439238653001,0.43429286608260326,0.5657071339173967,0.6114712862702645,0.22839578887158413,694.0,904.0,216.0,806.0,-0.2965293619870604,0.6515267175572519,0.560622914349277,0.4931506849315068,0.5247267048412285,0.7528160200250313,0.24718397997496866,0.6229833524782691,0.2527085161022571,1203.0,395.0,518.0,504.0
optuna_trial_46,4,0.5973365526384009,0.6813537714706984,-1.0103322488847897,0.5141221374045801,0.4395763119884449,0.8933463796477495,0.5892223297838012,0.2715894868585732,0.7284105131414268,0.5824679332531614,0.19847727047373262,434.0,1164.0,109.0,913.0,-0.2995610202497127,0.6561068702290076,0.5672969966629589,0.49902152641878667,0.5309734513274337,0.7565707133917396,0.24342928660826035,0.6277961199052632,0.2625978815351588,1209.0,389.0,512.0,510.0
optuna_trial_43,1,0.5842964870988875,0.677864208930439,-1.0550112772680071,0.5122137404580153,0.4386973180076628,0.8962818003913894,0.5890675241157556,0.2665832290362954,0.7334167709637046,0.5814325147138424,0.19747886122562985,426.0,1172.0,106.0,916.0,-0.2761346336820633,0.6538167938931297,0.5639599555061179,0.49608610567514677,0.527850078084331,0.7546933667083855,0.2453066332916145,0.6253897361917662,0.2576531988187079,1206.0,392.0,515.0,507.0
optuna_trial_43,2,0.580326948927445,0.6726111896230365,-1.0120305539427363,0.5194656488549618,0.44142362827483933,0.8737769080234834,0.5865353037766831,0.2928660826032541,0.7071339173967459,0.5833214953133687,0.19378304658107226,468.0,1130.0,129.0,893.0,-0.2588901810974929,0.650381679389313,0.5603644646924829,0.48140900195694714,0.5178947368421053,0.7584480600750939,0.2415519399249061,0.6199285310160205,0.247853474783433,1212.0,386.0,530.0,492.0
optuna_trial_43,3,0.5866692302460915,0.6811241547041434,-0.8466591855246957,0.566030534351145,0.4671990872789504,0.8013698630136986,0.5902702702702702,0.41551939924906134,0.5844806007509387,0.60844463113138,0.2248285088772684,664.0,934.0,203.0,819.0,-0.2662029958372757,0.649236641221374,0.557285873192436,0.49021526418786693,0.521603331598126,0.7509386733416771,0.24906132665832292,0.620576968764772,0.2477638333858062,1200.0,398.0,521.0,501.0
optuna_trial_43,4,0.5957907141435819,0.6832923492918006,-0.9604633675025946,0.5400763358778626,0.45221932114882507,0.8473581213307241,0.5897173987061628,0.34355444305381727,0.6564455569461827,0.5954562821922706,0.2099758746448271,549.0,1049.0,156.0,866.0,-0.29246244809475913,0.6549618320610687,0.5648351648351648,0.50293542074364,0.5320910973084886,0.7521902377972466,0.24780976220275341,0.6275628292704433,0.2613660790750735,1202.0,396.0,508.0,514.0
optuna_trial_57,1,0.5856695596484363,0.6730104166411537,-0.9699848563568582,0.517557251908397,0.4398608349900596,0.8659491193737769,0.5833882663150955,0.29474342928660824,0.7052565707133918,0.5803462743301926,0.18567088029856607,471.0,1127.0,137.0,885.0,-0.23587734385987946,0.6515267175572519,0.560622914349277,0.4931506849315068,0.5247267048412285,0.7528160200250313,0.24718397997496866,0.6229833524782691,0.2527085161022571,1203.0,395.0,518.0,504.0
optuna_trial_57,2,0.581416056455059,0.670931007203231,-0.9595243353240885,0.5198473282442748,0.441351888667992,0.8688845401174168,0.5853658536585366,0.29662077596996245,0.7033792240300376,0.5827526580436896,0.19123175273659562,474.0,1124.0,134.0,888.0,-0.21998288469221033,0.6477099236641222,0.5556805399325084,0.48336594911937375,0.5170068027210885,0.7528160200250313,0.24718397997496866,0.6180909845722026,0.24331067308052837,1203.0,395.0,528.0,494.0
optuna_trial_57,3,0.5892319651316226,0.6767467406665377,-0.8025989932670955,0.5641221374045802,0.46598639455782315,0.8043052837573386,0.5900933237616655,0.41051314142678347,0.5894868585732165,0.607409212592061,0.22340824201162948,656.0,942.0,200.0,822.0,-0.2296682815547206,0.6530534351145039,0.5628476084538376,0.49510763209393344,0.5268089536699636,0.7540675844806007,0.24593241551939926,0.6245876082872671,0.25600497124655763,1205.0,393.0,516.0,506.0
optuna_trial_57,4,0.5940586001532036,0.6814192887880888,-0.9749278293016395,0.5251908396946565,0.444831013916501,0.87573385518591,0.5899802241265656,0.30100125156445556,0.6989987484355444,0.5883675533751828,0.20420712175866465,481.0,1117.0,127.0,895.0,-0.2452685714548212,0.6599236641221374,0.5711183496199783,0.5146771037181996,0.5414307771487391,0.7528160200250313,0.24718397997496866,0.6337465618716155,0.27327503163822375,1203.0,395.0,496.0,526.0
optuna_trial_55,1,0.5823735582231582,0.6763677199238775,-0.87864826914755,0.5454198473282442,0.45459430413756047,0.8277886497064579,0.586888657648283,0.3648310387984981,0.6351689612015019,0.596309844252478,0.20711923677790572,583.0,1015.0,176.0,846.0,-0.18077936261093783,0.6583969465648855,0.5689467969598263,0.512720156555773,0.5393721049922799,0.7515644555694618,0.24843554443053817,0.6321423060626175,0.2699971675135327,1201.0,397.0,498.0,524.0
optuna_trial_55,2,0.5797916962965656,0.6715941404250421,-1.1026904610242725,0.5041984732824427,0.4350070389488503,0.9070450097847358,0.588011417697431,0.246558197747184,0.753441802252816,0.5768016037659599,0.19229498834814218,394.0,1204.0,95.0,927.0,-0.1636209542045052,0.6446564885496183,0.5511811023622047,0.4794520547945205,0.5128205128205128,0.7503128911138923,0.24968710888610768,0.6148824729542064,0.2366999641920441,1199.0,399.0,532.0,490.0
optuna_trial_55,3,0.5861134898251821,0.6798952457695406,-0.9995544437589344,0.5217557251908397,0.443520782396088,0.8874755381604696,0.5914574502771438,0.2878598247809762,0.7121401752190237,0.5876676814707229,0.2066344713865597,460.0,1138.0,115.0,907.0,-0.17735555403103975,0.6549618320610687,0.5648351648351648,0.50293542074364,0.5320910973084886,0.7521902377972466,0.24780976220275341,0.6275628292704433,0.2613660790750735,1202.0,396.0,508.0,514.0
optuna_trial_55,4,0.5880679260795342,0.6796986938173695,-0.9324808236967563,0.5431297709923664,0.45430809399477806,0.8512720156555773,0.59244126659857,0.3460575719649562,0.6539424280350439,0.5986647938102667,0.21703366086721326,553.0,1045.0,152.0,870.0,-0.16573327358506593,0.6561068702290076,0.5680539932508436,0.49412915851272016,0.5285190999476713,0.7596996245306633,0.2403003754693367,0.6269143915216917,0.26149012252386017,1214.0,384.0,517.0,505.0
optuna_trial_53,1,0.5806963778466533,0.6693830840409611,-1.0269216191461952,0.516412213740458,0.44038929440389296,0.8855185909980431,0.5882352941176471,0.28035043804755944,0.7196495619524406,0.5829345145228013,0.1967202197151805,448.0,1150.0,117.0,905.0,-0.455371442345284,0.6435114503816793,0.5501138952164009,0.4726027397260274,0.508421052631579,0.7528160200250313,0.24718397997496866,0.6127093798755294,0.23293382488862607,1203.0,395.0,539.0,483.0
optuna_trial_53,2,0.5796142632381656,0.6691044823642076,-1.1433016033079222,0.47977099236641224,0.42459088898717384,0.9393346379647749,0.5848309473042949,0.1858573216520651,0.8141426783479349,0.56259597980842,0.17757947486983724,297.0,1301.0,62.0,960.0,-0.45920511847082746,0.6427480916030535,0.5489749430523918,0.47162426614481406,0.5073684210526316,0.7521902377972466,0.24780976220275341,0.6119072519710304,0.23127608601142532,1202.0,396.0,540.0,482.0
optuna_trial_53,3,0.5799367282854093,0.6659088292851386,-1.082042676304535,0.500381679389313,0.4336569579288026,0.9178082191780822,0.589010989010989,0.23341677096370464,0.7665832290362954,0.5756124950708934,0.19437975952291436,373.0,1225.0,84.0,938.0,-0.39824590919790026,0.6541984732824427,0.5703883495145631,0.4598825831702544,0.5092091007583965,0.7784730913642053,0.22152690863579472,0.6191778372672299,0.25039321647324864,1244.0,354.0,552.0,470.0
optuna_trial_53,4,0.5892078723553974,0.6739276590846189,-0.9661243936104105,0.5358778625954198,0.4490546218487395,0.8365949119373777,0.5844155844155844,0.34355444305381727,0.6564455569461827,0.5900746774955975,0.1971771403253429,549.0,1049.0,167.0,855.0,-0.45758210018758466,0.649236641221374,0.557285873192436,0.49021526418786693,0.521603331598126,0.7509386733416771,0.24906132665832292,0.620576968764772,0.2477638333858062,1200.0,398.0,521.0,501.0
optuna_trial_59,1,0.5809150109014551,0.6657122773329676,-1.0343768897437544,0.5034351145038168,0.43353978084802286,0.8904109589041096,0.5831464274271067,0.25594493116395495,0.744055068836045,0.5731779450340323,0.17885412447730054,409.0,1189.0,112.0,910.0,-0.4537685451180944,0.6427480916030535,0.5489749430523918,0.47162426614481406,0.5073684210526316,0.7521902377972466,0.24780976220275341,0.6119072519710304,0.23127608601142532,1202.0,396.0,540.0,482.0
optuna_trial_59,2,0.5772360553659133,0.6666313567105653,-0.8609461543984525,0.5706106870229007,0.46929039952295765,0.7700587084148728,0.583178955168581,0.4430538172715895,0.5569461827284106,0.6065562628432312,0.21657106581264032,708.0,890.0,235.0,787.0,-0.4478916062613608,0.6404580152671756,0.5467289719626168,0.45792563600782776,0.4984025559105431,0.7571964956195244,0.2428035043804756,0.6075610658136761,0.22372409258409084,1210.0,388.0,554.0,468.0
optuna_trial_59,3,0.5849363815264,0.6668701581477826,-1.0811666040921877,0.4870229007633588,0.4266848816029144,0.9168297455968689,0.5823492852703542,0.21214017521902379,0.7878598247809763,0.5644849604079464,0.17080601968952527,339.0,1259.0,85.0,937.0,-0.45445033320417555,0.6446564885496183,0.5511811023622047,0.4794520547945205,0.5128205128205128,0.7503128911138923,0.24968710888610768,0.6148824729542064,0.2366999641920441,1199.0,399.0,532.0,490.0
optuna_trial_59,4,0.588215098794858,0.6711685840176934,-1.0150849648822238,0.5156488549618321,0.4396088019559902,0.8796477495107632,0.586240626018911,0.2828535669586984,0.7171464330413015,0.5812506582347308,0.19150941980540973,452.0,1146.0,123.0,899.0,-0.4595124646937886,0.6530534351145039,0.5628476084538376,0.49510763209393344,0.5268089536699636,0.7540675844806007,0.24593241551939926,0.6245876082872671,0.25600497124655763,1205.0,393.0,516.0,506.0
optuna_trial_14,1,0.5845487485458987,0.6677255571421223,-1.1525419143159519,0.4854961832061069,0.4268402154398564,0.9305283757338552,0.5852307692307692,0.20087609511889862,0.7991239048811014,0.5657022354263769,0.17968976899320563,321.0,1277.0,71.0,951.0,-0.315606779121231,0.6446564885496183,0.5511811023622047,0.4794520547945205,0.5128205128205128,0.7503128911138923,0.24968710888610768,0.6148824729542064,0.2366999641920441,1199.0,399.0,532.0,490.0
optuna_trial_14,2,0.5746505984762245,0.6645439872247354,-1.2144394668855298,0.48091603053435117,0.42488888888888887,0.9354207436399217,0.5843520782396088,0.1902377972465582,0.8097622027534418,0.5628292704432399,0.17600042915837458,304.0,1294.0,66.0,956.0,-0.3279366057610576,0.6419847328244275,0.5478359908883826,0.4706457925636008,0.5063157894736842,0.7515644555694618,0.24843554443053817,0.6111051240665313,0.22961834713422455,1201.0,397.0,541.0,481.0
optuna_trial_14,3,0.5863852704395018,0.6681272334057494,-1.1521815819388403,0.48740458015267174,0.4265446224256293,0.9119373776908023,0.5812285625194886,0.21589486858573217,0.7841051314142679,0.5639161231382672,0.16756522988997063,345.0,1253.0,90.0,932.0,-0.32860467810613275,0.648473282442748,0.5561735261401557,0.4892367906066536,0.5205622071837585,0.7503128911138923,0.24968710888610768,0.619774840860273,0.2461156058136559,1199.0,399.0,522.0,500.0
optuna_trial_14,4,0.5887328297438152,0.6711202114188723,-1.2375723015443179,0.47366412213740455,0.4221543829044919,0.9471624266144814,0.5840120663650076,0.17083854818523153,0.8291614518147685,0.5590004873998564,0.17415001920899073,273.0,1325.0,54.0,968.0,-0.3479465739625111,0.649236641221374,0.557285873192436,0.49021526418786693,0.521603331598126,0.7509386733416771,0.24906132665832292,0.620576968764772,0.2477638333858062,1200.0,398.0,521.0,501.0
optuna_trial_42,1,0.5717315918076963,0.6736619159467926,-1.0431910923072636,0.5316793893129771,0.44794311833417977,0.863013698630137,0.5897693079237714,0.3197747183979975,0.6802252816020025,0.5913942085140672,0.20632371779234038,511.0,1087.0,140.0,882.0,-0.19335483142848553,0.649236641221374,0.557285873192436,0.49021526418786693,0.521603331598126,0.7509386733416771,0.24906132665832292,0.620576968764772,0.2477638333858062,1200.0,398.0,521.0,501.0
optuna_trial_42,2,0.5658549920995762,0.6621394404453709,-1.2360257394724403,0.4965648854961832,0.431026474686484,0.9080234833659491,0.5845669291338582,0.23341677096370464,0.7665832290362954,0.5707201271648269,0.18026292292750815,373.0,1225.0,94.0,928.0,-0.1748378549744329,0.6412213740458015,0.5466970387243736,0.46966731898238745,0.5052631578947369,0.7509386733416771,0.24906132665832292,0.6103029961620323,0.22796060825702377,1200.0,398.0,542.0,480.0
optuna_trial_42,3,0.5754289711549614,0.6757658178398145,-1.0357001220880622,0.533587786259542,0.4494949494949495,0.8708414872798435,0.5929380413057961,0.31789737171464333,0.6821026282853566,0.5943694294972434,0.21426566272701822,508.0,1090.0,132.0,890.0,-0.18897145782296812,0.6477099236641222,0.5556805399325084,0.48336594911937375,0.5170068027210885,0.7528160200250313,0.24718397997496866,0.6180909845722026,0.24331067308052837,1203.0,395.0,528.0,494.0
optuna_trial_42,4,0.5781856803470804,0.6775966288584802,-1.1469166929396108,0.5156488549618321,0.4405392392874338,0.8953033268101761,0.590513068731849,0.27284105131414266,0.7271589486858574,0.5840721890621594,0.20233826591221543,436.0,1162.0,107.0,915.0,-0.22477685831261357,0.648473282442748,0.5561735261401557,0.4892367906066536,0.5205622071837585,0.7503128911138923,0.24968710888610768,0.619774840860273,0.2461156058136559,1199.0,399.0,522.0,500.0
v2_reference,1,0.580186160422558,0.6710859219817336,-0.9760743575705955,0.5301526717557252,0.4463276836158192,0.850293542074364,0.5853822835971708,0.32540675844806005,0.67459324155194,0.587850150261212,0.1961533961708489,520.0,1078.0,153.0,869.0,-0.1306356665931753,0.6469465648854962,0.5545556805399325,0.48238747553816047,0.5159602302459445,0.7521902377972466,0.24780976220275341,0.6172888566677035,0.2416579958584073,1202.0,396.0,529.0,493.0
v2_reference,2,0.5673911266005347,0.6660459870336943,-1.1104978370849703,0.5041984732824427,0.4343290659080133,0.8962818003913894,0.5851165761737465,0.25344180225281604,0.746558197747184,0.5748618013221027,0.18431274364648884,405.0,1193.0,106.0,916.0,-0.1258468832254205,0.6435114503816793,0.5501138952164009,0.4726027397260274,0.508421052631579,0.7528160200250313,0.24718397997496866,0.6127093798755294,0.23293382488862607,1203.0,395.0,539.0,483.0
v2_reference,3,0.5827913893127619,0.6697902711069854,-1.3367820596240994,0.48358778625954196,0.4268022998673153,0.9442270058708415,0.5878769418215047,0.18898623279098872,0.8110137672090113,0.5666066193309152,0.18895731834279925,302.0,1296.0,57.0,965.0,-0.08513945422835385,0.649618320610687,0.5592255125284739,0.48043052837573386,0.5168421052631579,0.7578222778473092,0.24217772215269084,0.6191264031115216,0.24619573590623225,1211.0,387.0,531.0,491.0
v2_reference,4,0.580895075399824,0.6697663909632637,-1.1671004376198733,0.5045801526717557,0.43557422969187676,0.9129158512720157,0.5897597977243995,0.24342928660826033,0.7565707133917396,0.578172568940138,0.1974579089824623,389.0,1209.0,89.0,933.0,-0.13851540317346095,0.6427480916030535,0.5489749430523918,0.47162426614481406,0.5073684210526316,0.7521902377972466,0.24780976220275341,0.6119072519710304,0.23127608601142532,1202.0,396.0,540.0,482.0
