candidate,mean_average_precision,std_average_precision,mean_roc_auc,mean_maxf1,std_maxf1,mean_maxf1_specificity,median_maxf1_threshold,mean_safety_f1,std_safety_f1,mean_safety_precision,mean_safety_recall,mean_safety_specificity,median_safety_threshold,complexity_score
optuna_trial_14,0.58357936180136,0.006193918530738735,0.6678792472978698,0.5837058690887186,0.001729519328202394,0.19446182728410513,-1.183490690600741,0.5153254602690204,0.007171334516298115,0.5531191231457948,0.48238747553816047,0.7507822277847309,-0.3282706419335952,4
optuna_trial_42,0.5728003088523286,0.0053320312750807786,0.6722909507726145,0.5894468367738186,0.003523390691248098,0.285982478097622,-1.0950538926234372,0.5161088748494275,0.007493487718619102,0.5539592444973684,0.48312133072407043,0.7512515644555695,-0.1911631446257268,3
optuna_trial_43,0.5867708451040015,0.006557809810758463,0.6787229756373548,0.5888976242172179,0.0016498092050271417,0.329630788485607,-0.9862469607226655,0.5248598109582627,0.006333774941553947,0.5616113645565504,0.4926614481409002,0.7540675844806007,-0.2711688147596695,3
optuna_trial_46,0.58950395717299,0.00588299951581417,0.6769345671815797,0.5875841147830853,0.0023900500166880298,0.3307259073842303,-0.9516512901090459,0.526028110359188,0.004447685447848795,0.5620133481646273,0.4943737769080235,0.7535982478097623,-0.3032644845043456,3
optuna_trial_53,0.5823638104314064,0.004585202741987761,0.6695810136937316,0.5866232037121288,0.0023371007750996524,0.2607947434292866,-1.054482147725365,0.5116504765101832,0.006677944231878743,0.5566907652439479,0.4735812133072407,0.7586045056320401,-0.4564767712664343,3
optuna_trial_55,0.58408666760611,0.003712139977950847,0.6768889499839574,0.5896996980553569,0.0026682159887268385,0.3113266583229036,-0.9660176337278454,0.5282007037672382,0.011203972761512115,0.5632542643520099,0.49730919765166337,0.753441802252816,-0.17154441380805285,3
optuna_trial_57,0.5875940453470804,0.005364837432025627,0.6755268633247528,0.5872069169654658,0.0033662136836832474,0.32571964956195243,-0.9647545958404733,0.527493309595255,0.010203631267410801,0.5625673530889004,0.4965753424657534,0.7531289111389237,-0.23277281270730005,4
optuna_trial_59,0.5828256366471566,0.004774775939822445,0.6675955940522522,0.5837288234712382,0.0017179268502743982,0.29849812265331666,-1.024730927312989,0.5113501108634128,0.011897211659879977,0.5524331564577627,0.47602739726027393,0.753441802252816,-0.454109439161135,2
v2_reference,0.5778159379339196,0.007036354405028158,0.6691721427714192,0.5870338998292054,0.0022019086654919487,0.2528160200250313,-1.1387991373524218,0.5121479522983282,0.004943083897787806,0.5532175078342998,0.47676125244618395,0.7537546933667084,-0.1282412749092979,3
