number,value,datetime_start,datetime_complete,duration,params_C,params_cleaning_neighbors,params_feature_mode,params_gamma,params_geometry_clusters,params_geometry_neighbors,params_imputer,params_local_geometry,params_sampling_strategy_name,params_scaler,params_smote_neighbors,params_smote_ratio,params_winsor_mode,user_attrs_mean_average_precision,user_attrs_mean_roc_auc,user_attrs_std_average_precision,state
21,0.602846627103314,2026-07-21 21:39:10.890501,2026-07-21 21:39:21.146211,0 days 00:00:10.255710,53.58417948021452,,none,0.23483029165975317,,5.0,median,density_anomaly,class_weight_balanced,robust,,,p01,0.5773087514687836,0.6701947874923729,0.023279351725464224,COMPLETE
22,0.6054749103241668,2026-07-21 21:39:21.149393,2026-07-21 21:39:29.075850,0 days 00:00:07.926457,17.976717153142385,,none,0.2887230632578284,,5.0,median,density_anomaly,class_weight_balanced,robust,,,p01,0.579979204789262,0.6723427634658689,0.022133620680772403,COMPLETE
23,0.585014248184627,2026-07-21 21:39:29.080506,2026-07-21 21:39:40.482510,0 days 00:00:11.402004,58.845750076788065,,none,0.47777608199665855,,5.0,median,density_anomaly,none,robust,,,p01,0.5576208063547806,0.657090802906433,0.024475571356492313,COMPLETE
24,0.5173516477021006,2026-07-21 21:39:40.485486,2026-07-21 21:39:44.811415,0 days 00:00:04.325929,1.9521271336010253,,none,0.6737498044546503,,,median,none,class_weight_balanced,standard,,,p01,0.4790035722912099,0.614878039644828,0.02414264795194701,COMPLETE
25,0.603679847264149,2026-07-21 21:39:44.816044,2026-07-21 21:39:48.655680,0 days 00:00:03.839636,16.79393378657612,,none,0.044972266690672044,,,median,none,smote,robust,5.0,0.6524565471678444,p01,0.582571347065481,0.6597352776266099,0.02040678969670631,COMPLETE
26,0.541238735139122,2026-07-21 21:39:48.660517,2026-07-21 21:39:52.774344,0 days 00:00:04.113827,2.423573074370581,5.0,full,0.21471288226279747,,9.0,median,density_anomaly,enn,robust,,,p01,0.5095712178574304,0.6229503391859649,0.02346219116868719,COMPLETE
27,0.5991982446687981,2026-07-21 21:39:52.777472,2026-07-21 21:39:55.930440,0 days 00:00:03.152968,68.642785071548,,none,0.013707974404791216,,,median,none,smote,robust,5.0,0.6560754412270191,p01,0.5786170904859658,0.6540845395449447,0.020590805348612358,COMPLETE
28,0.5691860487066226,2026-07-21 21:39:55.933832,2026-07-21 21:39:58.847380,0 days 00:00:02.913548,7.116019356383984,5.0,none,0.09658099536420821,,,median,none,ncr,robust,,,none,0.5447390555352482,0.6332902562379221,0.021183670394276734,COMPLETE
29,0.5677275686605711,2026-07-21 21:39:58.851796,2026-07-21 21:40:04.678577,0 days 00:00:05.826781,0.24692492407736616,,ratios,0.10162232682251854,,,median,none,smote,robust,7.0,0.7342548697616492,p01,0.5455396031055344,0.6273959720079637,0.02368945115692133,COMPLETE
30,0.5818643529155788,2026-07-21 21:40:04.683079,2026-07-21 21:40:11.089467,0 days 00:00:06.406388,2.1710854278666574,,full,0.7494054150421567,,7.0,median,density_anomaly,tomek,robust,,,p025,0.5557680092808205,0.6524699694466058,0.029142444149771823,COMPLETE
31,0.5927035784009369,2026-07-21 21:40:11.093181,2026-07-21 21:40:19.667889,0 days 00:00:08.574708,3.431480746491789,,none,0.13336605902514756,,5.0,median,density_anomaly,class_weight_balanced,robust,,,p01,0.5704373281103399,0.6496744854327923,0.015048969061386266,COMPLETE
