feature_set,n_features,features,C,gamma,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,specificity_mean,specificity_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,10.0,0.01,0.5375,0.12183492931011204,0.5357142857142858,0.12371791482634838,0.65,0.2053959590644373,0.5772727272727273,0.1334538023263927,0.425,0.2436698586202241,0.5375,0.12183492931011204,0.07480236846605152,0.2438729403974338
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,0.1,0.01,0.5375,0.07126096406869611,0.5276923076923077,0.09556916252522313,0.6,0.3235544776386196,0.5340022296544035,0.1639078422320655,0.475,0.270993542358485,0.5375,0.07126096406869611,0.10833719216135218,0.17209840290452175
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,1.0,0.01,0.5375,0.07126096406869611,0.5276923076923077,0.09556916252522313,0.6,0.3235544776386196,0.5340022296544035,0.1639078422320655,0.475,0.270993542358485,0.5375,0.07126096406869611,0.10833719216135218,0.17209840290452175
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,0.1,scale,0.5,0.19764235376052372,0.5264646464646464,0.1879363439589997,0.525,0.24044230077089182,0.5021734371579573,0.19277444109651637,0.475,0.3112474899497183,0.5,0.19764235376052372,0.003813121380952483,0.40314369358168084
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,0.1,auto,0.5,0.19764235376052372,0.5264646464646464,0.1879363439589997,0.525,0.24044230077089182,0.5021734371579573,0.19277444109651637,0.475,0.3112474899497183,0.5,0.19764235376052372,0.003813121380952483,0.40314369358168084
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,10.0,scale,0.525,0.12183492931011204,0.5416233766233767,0.16891612497860337,0.475,0.16298006013006622,0.49487854251012137,0.13827710595909015,0.575,0.22707377655731187,0.525,0.12183492931011204,0.05177036296458119,0.25737723455348255
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,10.0,auto,0.525,0.12183492931011204,0.5416233766233767,0.16891612497860337,0.475,0.16298006013006622,0.49487854251012137,0.13827710595909015,0.575,0.22707377655731187,0.525,0.12183492931011204,0.05177036296458119,0.25737723455348255
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,1.0,scale,0.4875,0.18957188610128875,0.4063048063048063,0.2776881881259672,0.5,0.3423265984407288,0.443202122954445,0.29994833467171583,0.475,0.3468609231377902,0.4875,0.18957188610128875,-0.06377886607024477,0.40258655897099865
chem5_v01,5,Sulfate|ph|Conductivity|Chloramines|Hardness,1.0,auto,0.4875,0.18957188610128875,0.4063048063048063,0.2776881881259672,0.5,0.3423265984407288,0.443202122954445,0.29994833467171583,0.475,0.3468609231377902,0.4875,0.18957188610128875,-0.06377886607024477,0.40258655897099865
