topology,maps,best_f1,mean_f1,mean_alignment,mean_2q
domain,2,0.659792663476874,0.6506639928698752,0.09629430342882522,15.0
full,1,0.6335528661225256,0.6335528661225256,0.10062290820248997,20.0
linear,3,0.6479513623631271,0.6401014345131992,0.09750474623418409,10.0
ring,4,0.6361764705882352,0.6017750257997936,0.09129512395678031,12.5
