family,maps,best_f1,mean_f1,mean_alignment,mean_2q
PauliFeatureMap,4,0.6479513623631271,0.6294878405907818,0.0914632810023169,10.5
ZZFeatureMap,4,0.6361764705882352,0.6107514776245426,0.09811612968072397,14.5
custom_water_domain,2,0.659792663476874,0.6506639928698752,0.09629430342882522,15.0
