map,family,C,scaling,reps,topology,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,robust_atan,2,domain,0.65,0.09478594305064438,0.65,0.09478594305064438,0.6972727272727273,0.19138468897368388,0.7,0.18957188610128875,0.6,0.2850438562747845,0.659792663476874,0.08770632787971226,0.32862065372807353,0.20682999709237593
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,0.1,robust_atan,1,linear,0.675,0.128086884574495,0.675,0.128086884574495,0.679029304029304,0.11655336474470915,0.675,0.3010398644698074,0.675,0.2091650066335189,0.6479513623631271,0.20116210619105407,0.3788930491798636,0.25487286122513236
custom_water_domain_r1_robust,custom_water_domain,1.0,robust_atan,1,domain,0.65,0.13693063937629152,0.65,0.13693063937629152,0.6598484848484848,0.13468026620363951,0.675,0.24366985862022408,0.625,0.25,0.6415353222628764,0.18443995372193034,0.3115545143599222,0.2655328264883505
pauli_z_zz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
pauli_z_zz_ring_r1_robust,PauliFeatureMap,1.0,robust_atan,1,ring,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
zz_linear_r1_robust,ZZFeatureMap,1.0,robust_atan,1,linear,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
zz_ring_r1_robust,ZZFeatureMap,1.0,robust_atan,1,ring,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
zz_full_r1_robust,ZZFeatureMap,1.0,robust_atan,1,full,0.65,0.10458250331675945,0.65,0.10458250331675945,0.6671861471861471,0.11770370917207516,0.65,0.22360679774997896,0.65,0.22360679774997896,0.6335528661225256,0.16347135949116784,0.3122144554805672,0.20173170246450778
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,minmax,1,ring,0.6,0.03423265984407289,0.6,0.03423265984407289,0.6588034188034187,0.1926610239355931,0.65,0.24044230077089182,0.55,0.27386127875258304,0.5976470588235294,0.11558985679648963,0.23609571279567582,0.09874030294417083
zz_ring_r2_robust,ZZFeatureMap,0.1,robust_atan,2,ring,0.5,0.16535945694153692,0.5,0.16535945694153692,0.49852924852924846,0.1695872763460524,0.6,0.24044230077089182,0.4,0.2053959590644373,0.5371001031991745,0.1798273745584251,0.009388888327444079,0.3361964628133662
