shots,repeat,version,mae_vs_exact,min_eigenvalue,alignment,effective_rank
256,0,raw_sampled,0.007567135187527536,0.15392483630792164,0.09199764274441694,70.1981310153602
256,0,psd_repaired,0.00756713518752754,0.15392483630792342,0.09199764274441696,70.1981310153602
256,1,raw_sampled,0.007550120469955338,0.1423249843483437,0.09446556628501397,69.96272091134249
256,1,psd_repaired,0.0075501204699553485,0.14232498434834293,0.09446556628501397,69.96272091134249
256,2,raw_sampled,0.007492373386113119,0.1478184919243409,0.09539094341688328,70.0195191762273
256,2,psd_repaired,0.007492373386113129,0.1478184919243398,0.09539094341688324,70.01951917622736
256,3,raw_sampled,0.0074292078343774545,0.17453611303506206,0.09581725136630669,70.03896938205435
256,3,psd_repaired,0.007429207834377449,0.17453611303506336,0.09581725136630673,70.03896938205435
256,4,raw_sampled,0.007312262014254845,0.17530358757936407,0.09631037251569302,70.37622921634147
256,4,psd_repaired,0.007312262014254849,0.17530358757936407,0.09631037251569302,70.37622921634147
256,5,raw_sampled,0.007323890045929692,0.14649351334315056,0.09292511576579914,70.15097471321607
256,5,psd_repaired,0.007323890045929695,0.1464935133431519,0.09292511576579904,70.15097471321607
256,6,raw_sampled,0.007435760157837874,0.1797845655263988,0.09391818473056508,70.25023710367115
256,6,psd_repaired,0.007435760157837879,0.1797845655263988,0.09391818473056505,70.25023710367115
256,7,raw_sampled,0.007408277643235745,0.11660961679954537,0.096125173307099,70.10091506553033
256,7,psd_repaired,0.007408277643235761,0.11660961679954404,0.09612517330709898,70.10091506553033
256,8,raw_sampled,0.007518583436827273,0.18891759361800203,0.09459913132065022,70.10101418080372
256,8,psd_repaired,0.007518583436827277,0.18891759361800153,0.09459913132065027,70.10101418080372
256,9,raw_sampled,0.007348233803310154,0.1659044370342688,0.09586151341909444,70.13359484046626
256,9,psd_repaired,0.0073482338033101545,0.16590443703426613,0.09586151341909445,70.13359484046626
1024,0,raw_sampled,0.0037814366268110054,0.17168886649666992,0.0957532818305017,70.50322292441014
1024,0,psd_repaired,0.0037814366268110033,0.17168886649666615,0.09575328183050158,70.50322292441014
1024,1,raw_sampled,0.003772305341475492,0.1736914930424682,0.09407384080561663,70.50126613660073
1024,1,psd_repaired,0.0037723053414754825,0.17369149304246798,0.09407384080561669,70.50126613660073
1024,2,raw_sampled,0.003765737316356549,0.16964139566902606,0.09576083155174928,70.5136664156244
1024,2,psd_repaired,0.0037657373163565494,0.1696413956690276,0.09576083155174926,70.51366641562433
1024,3,raw_sampled,0.0037618171104215016,0.19269510151802793,0.09476948974495093,70.56757275617204
1024,3,psd_repaired,0.0037618171104215094,0.1926951015180277,0.09476948974495096,70.56757275617204
1024,4,raw_sampled,0.003675049122064433,0.15820999485538326,0.09409309332289137,70.45658215280102
1024,4,psd_repaired,0.003675049122064433,0.15820999485538148,0.09409309332289134,70.45658215280109
1024,5,raw_sampled,0.003720751262898322,0.1818261771273353,0.09419604068300429,70.67111544019761
1024,5,psd_repaired,0.0037207512628983186,0.1818261771273375,0.09419604068300429,70.67111544019761
1024,6,raw_sampled,0.0037178353179234467,0.1644347636673822,0.09304530608829763,70.50899070541979
1024,6,psd_repaired,0.003717835317923442,0.1644347636673837,0.09304530608829764,70.50899070541973
1024,7,raw_sampled,0.0037433490512912408,0.17874724113080406,0.0955916938009667,70.45097076279389
1024,7,psd_repaired,0.0037433490512912425,0.17874724113080137,0.09559169380096671,70.45097076279389
1024,8,raw_sampled,0.0037894942337497496,0.16766449691588906,0.0940948664788797,70.55945743139925
1024,8,psd_repaired,0.0037894942337497535,0.16766449691589083,0.09409486647887969,70.55945743139925
1024,9,raw_sampled,0.0037296124647786984,0.16891857862932377,0.09320171203619104,70.4446398374694
1024,9,psd_repaired,0.0037296124647787023,0.16891857862932713,0.09320171203619101,70.4446398374694
4096,0,raw_sampled,0.001811652209620119,0.17588861966192287,0.09424893601004049,70.54505696655173
4096,0,psd_repaired,0.0018116522096201205,0.17588861966192385,0.09424893601004053,70.54505696655173
4096,1,raw_sampled,0.0018833451932961018,0.19130443793885055,0.09509256968406829,70.58584095502293
4096,1,psd_repaired,0.0018833451932961003,0.19130443793884988,0.09509256968406823,70.58584095502287
4096,2,raw_sampled,0.001905618364807627,0.18428475158593013,0.09518564169041832,70.55211996020462
4096,2,psd_repaired,0.0019056183648076292,0.18428475158592952,0.09518564169041838,70.55211996020462
4096,3,raw_sampled,0.0018445486798009275,0.18704836546074172,0.09435490603264278,70.51758797261898
4096,3,psd_repaired,0.0018445486798009325,0.18704836546074347,0.09435490603264275,70.51758797261898
4096,4,raw_sampled,0.0018608445949137814,0.17908574676984734,0.09451082371956991,70.52447760779198
4096,4,psd_repaired,0.001860844594913788,0.17908574676984262,0.09451082371956988,70.52447760779205
4096,5,raw_sampled,0.0018897755726533384,0.1777299505004181,0.09381149060247222,70.528207511508
4096,5,psd_repaired,0.0018897755726533445,0.17772995050041793,0.09381149060247226,70.528207511508
4096,6,raw_sampled,0.0018522420180092476,0.18699655962173214,0.09494703948152461,70.51264986435633
