map,kernel_mode,outer_fold,inner_fold,C,f1,balanced_accuracy,mcc
pauli_Z_ZZ_linear_r1_robust,centered_normalized,2,1,1.0,0.45454545454545453,0.4318181818181818,-0.13762047064079508
pauli_Z_ZZ_linear_r1_robust,centered_normalized,2,1,10.0,0.36363636363636365,0.33636363636363636,-0.3302891295379082
pauli_Z_ZZ_linear_r1_robust,centered_normalized,2,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,2,2,1.0,0.3333333333333333,0.43636363636363634,-0.13483997249264842
pauli_Z_ZZ_linear_r1_robust,centered_normalized,2,2,10.0,0.3157894736842105,0.38636363636363635,-0.2337367475021143
pauli_Z_ZZ_linear_r1_robust,raw,3,0,0.1,0.38095238095238093,0.40909090909090906,-0.18257418583505536
pauli_Z_ZZ_linear_r1_robust,raw,3,0,1.0,0.38095238095238093,0.40909090909090906,-0.18257418583505536
pauli_Z_ZZ_linear_r1_robust,raw,3,0,10.0,0.3333333333333333,0.45454545454545453,-0.09759000729485331
pauli_Z_ZZ_linear_r1_robust,raw,3,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,3,1,1.0,0.6363636363636364,0.6227272727272727,0.24771684715343112
pauli_Z_ZZ_linear_r1_robust,raw,3,1,10.0,0.5714285714285714,0.5727272727272728,0.14545454545454545
pauli_Z_ZZ_linear_r1_robust,raw,3,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,3,2,1.0,0.56,0.46818181818181814,-0.06741998624632421
pauli_Z_ZZ_linear_r1_robust,raw,3,2,10.0,0.56,0.46818181818181814,-0.06741998624632421
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,0,0.1,0.38095238095238093,0.40909090909090906,-0.18257418583505536
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,0,1.0,0.38095238095238093,0.40909090909090906,-0.18257418583505536
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,0,10.0,0.3333333333333333,0.45454545454545453,-0.09759000729485331
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,1,1.0,0.5,0.5227272727272727,0.045454545454545456
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,1,10.0,0.5714285714285714,0.5727272727272728,0.14545454545454545
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,2,1.0,0.56,0.46818181818181814,-0.06741998624632421
pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,2,10.0,0.56,0.46818181818181814,-0.06741998624632421
pauli_Z_ZZ_linear_r1_robust,raw,4,0,0.1,0.35294117647058826,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,4,0,1.0,0.5263157894736842,0.5909090909090909,0.18898223650461363
pauli_Z_ZZ_linear_r1_robust,raw,4,0,10.0,0.6666666666666666,0.6818181818181819,0.3651483716701107
pauli_Z_ZZ_linear_r1_robust,raw,4,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,4,1,1.0,0.5555555555555556,0.6136363636363636,0.2337367475021143
