n_features,features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,mcc_mean,mcc_std
4,Sulfate|ph|Solids|Chloramines,0.6316539440203562,0.032999513320118974,0.6067615518249901,0.024453412591229604,0.5096970349339167,0.030999231735047393,0.22018657326838567,0.053469861784930704
5,Sulfate|ph|Solids|Chloramines|Hardness,0.646005089058524,0.022833753625055173,0.6299213351119577,0.020387122742935502,0.5506332816619628,0.02635661749203081,0.2600373375386257,0.0422059709338003
6,Sulfate|ph|Solids|Chloramines|Hardness|Trihalomethanes,0.6405089058524173,0.023568623596113742,0.6225852456742809,0.021981307783797917,0.5397922100431115,0.027791329859490038,0.24583896014310444,0.04452313182719968
9,Sulfate|ph|Solids|Chloramines|Hardness|Trihalomethanes|Conductivity|Turbidity|Organic_carbon,0.6341984732824427,0.021050501658978555,0.6210234330577673,0.02276611493935039,0.5445773930167807,0.02886748000357207,0.2398696269825843,0.04475154801019635
