map,kernel_mode,seconds,alignment,intra_mean,inter_mean,intra_minus_inter,effective_rank,min_eigenvalue,max_eigenvalue
pauli_Z_ZZ_linear_r2_robust,centered_normalized,0.19082263699999658,0.11170540346159573,-0.010978949051877653,-0.014284064233240395,0.0033051151813627416,69.06018123842831,-1.4524243648195442e-15,2.8577925568664817
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0.09283013299989307,0.10404576426605353,-0.01219298939130222,-0.01310933238344792,0.0009163429921457012,70.04328718011627,8.999420132715886e-16,3.0589558595296875
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0.11762087099998553,0.10166045349284346,-0.01271007531104292,-0.012605272527565117,-0.0001048027834778028,71.31763134631993,-5.346373862722078e-16,2.973393882509389
pauli_Z_ZZ_linear_r2_robust,raw,0.19082263699999658,0.0997138011857505,0.04746606863975004,0.04439955900804051,0.003066509631709527,67.17227788335082,0.1493270826799641,5.033479518924498
pauli_Z_ZZ_linear_r1_minmax,centered_normalized,0.10344224999994367,0.09938998955962439,-0.012719359564982064,-0.012595046778444315,-0.00012431278653774955,69.58449205192564,1.4968201910244839e-15,3.0907095671618663
pauli_Z_ZZ_linear_r1_robust,raw,0.09283013299989307,0.09757906462691349,0.03285738954836361,0.031961087674253236,0.0008963018741103765,69.51772495065745,0.1639953066877974,3.7536571097009865
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0.2170404299999973,0.09629872975795481,-0.013301750726292144,-0.012029205483277046,-0.0012725452430150976,70.7477975997609,3.6586374067918213e-16,2.736143803647593
pauli_Z_ZZ_ring_r1_robust,raw,0.11762087099998553,0.0946058822168487,0.03421614777938143,0.03430308257335862,-8.693479397719334e-05,70.56819469184269,0.1810925413561138,3.8664126352466512
pauli_Z_ZZ_linear_r1_minmax,raw,0.10344224999994367,0.09325355740212195,0.03263496099093535,0.03271036043047757,-7.53994395422189e-05,69.05147726283553,0.17542095175151562,3.8284316270305014
pauli_XZ_XXZZ_linear_r1_robust,raw,0.2170404299999973,0.09019914859990755,0.031485671121438824,0.03270934826271805,-0.0012236771412792238,70.2102151127049,0.19005085631392143,3.6547498009202926
