split,policy,threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,average_precision,roc_auc,tn,fp,fn,tp
training_oof,default_zero,0.0,0.6690839694656489,0.6333907056798623,0.36007827788649704,0.4591391141609482,0.8667083854818524,0.6133933316841746,0.2662776207278208,0.5872178373495806,0.6741995253362202,1385,213,654,368
locked_holdout,default_zero,0.0,0.7103658536585366,0.7426470588235294,0.39453125,0.5153061224489796,0.9125,0.653515625,0.36945490183640844,0.65274346947729,0.740185546875,365,35,155,101
training_oof,max_f1_v3,-0.9516512901090459,0.5225190839694657,0.44220090863200406,0.8571428571428571,0.5834165834165834,0.30851063829787234,0.5828267477203647,0.18815760345569899,0.5872178373495806,0.6741995253362202,493,1105,146,876
locked_holdout,max_f1_v3,-0.9516512901090459,0.5914634146341463,0.4871244635193133,0.88671875,0.628808864265928,0.4025,0.644609375,0.31103313964880364,0.65274346947729,0.740185546875,161,239,29,227
training_oof,safety_recommended,-0.3032644845043456,0.6541984732824427,0.5650224215246636,0.4931506849315068,0.5266457680250783,0.7571964956195244,0.6251735902755156,0.25769277589359224,0.5872178373495806,0.6741995253362202,1210,388,518,504
locked_holdout,safety_recommended,-0.3032644845043456,0.698170731707317,0.6435643564356436,0.5078125,0.5676855895196506,0.82,0.6639062499999999,0.3463952093124096,0.65274346947729,0.740185546875,328,72,126,130
