candidate,trial_number,mean_f1,std_f1,mean_precision,mean_recall,mean_specificity,mean_average_precision,mean_roc_auc,median_f1_threshold,mean_safety_f1,mean_safety_specificity,median_safety_threshold
optuna_trial_20,20,0.5899753897821781,0.004539312203696098,0.44706122121048497,0.8672537508153946,0.3139340842720067,0.5772457862003209,0.6736933479308366,-0.973989492219218,0.5387564709644302,0.7083854818523155,-0.2398795495559185
optuna_trial_23,23,0.5868691507104024,0.0029605847241576926,0.4294931471600072,0.9275929549902152,0.2108886107634543,0.5862471138723747,0.6689420157453828,-1.111992351173291,0.5307298068486267,0.7104714226115978,-0.7621209203681486
optuna_trial_31,31,0.5875599745476233,0.0011262746817127956,0.43864630529675924,0.8939986953685585,0.26512307050479766,0.5842730438144064,0.6690450881605922,-1.1108062600478363,0.5356923331712858,0.7004589069670422,-0.733146457014993
optuna_trial_33,33,0.5867482795652322,0.0006136187038281776,0.42860144040509357,0.9298760600130463,0.20713391739674591,0.5813672896276322,0.6671493721359134,-1.157204668763542,0.5290972893899993,0.708802670004172,-0.6516453239328177
optuna_trial_35,35,0.5837331357562284,0.0013873782817359164,0.4371443095367935,0.8789954337899544,0.27555277430120984,0.583763260802553,0.6720168393792959,-1.057218408356944,0.5452208285104607,0.7033792240300376,-0.3714859247009082
optuna_trial_46,46,0.5838756530517579,0.0022819269868127596,0.4327074092276601,0.8995433789954338,0.24447225698790157,0.5841288357969573,0.6681282539247118,-1.0730517567129425,0.5378090751716972,0.7083854818523153,-0.7459812451728192
v1_baseline,v1,0.5885846301572881,0.002035217275541661,0.4528842834472884,0.8411611219830397,0.34939507717980806,0.5672999062537781,0.6682490833698679,-0.5920580262922035,0.5264998725372373,0.7031706299541093,0.12018995781181181
