map,result_kind,repeat,C,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,exact,,10.0,0.45,0.27386127875258304,0.45,0.27386127875258304,0.3,0.4472135954999579,0.3,0.4472135954999579,0.6,0.5477225575051662,0.26666666666666666,0.3651483716701107,-0.08452994616207483,0.5695627213798575
zz_ring_r2_robust,exact,,0.1,0.6,0.13693063937629152,0.6,0.13693063937629152,0.6333333333333333,0.2173067468400883,0.8,0.27386127875258304,0.4,0.4183300132670378,0.6599999999999999,0.10645812948447542,0.23094010767585033,0.316227766016838
pauli_z_zz_linear_r1_robust,exact,,1.0,0.4,0.2850438562747845,0.4,0.2850438562747845,0.3,0.4472135954999579,0.3,0.4472135954999579,0.5,0.5,0.26666666666666666,0.3651483716701107,-0.2,0.6055300708194985
