0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.0,0.04355165832268396,0.051649754070490946,0.016782281841556973,0.2909840152790699,0.04039650582121444,0.0432543403073287,0.2040590217355158,0.018276539082140848,0.10952944773329931,0.028582005660554185,0.008506833725683664,0.1673505071055799,0.20424523039685252,0.08646424125178981,0.06547211723487796
0.04355165832268396,1.0,0.031174591284714327,0.3582818241160919,0.5038034303432375,0.019024702663402254,0.00869290326362184,0.39767137333818053,0.7568476202114856,0.5972398195487563,0.3779326905932589,0.12455113314066252,0.13737271871927492,0.5261168584000246,0.062130153969044984,0.10227920431004763
0.051649754070490946,0.031174591284714327,1.0,0.046623744728212436,0.1154905191990977,0.011539311790223184,0.000579695859726717,0.037843557609995936,0.01199626631610457,0.052197630472055105,0.04986256333039048,0.013881606743945805,0.023213640144531426,0.16714641071550954,0.8029400266816369,0.024486663938815205
0.016782281841556973,0.3582818241160919,0.046623744728212436,1.0,0.10562290043699744,0.029047565482147614,0.0067590391875870185,0.06450791824737505,0.3642388821973859,0.386466235504544,0.2781509532533644,0.07269927090382625,0.03839711127104577,0.2561251205159928,0.06816809002172357,0.017745885767262604
0.2909840152790699,0.5038034303432375,0.1154905191990977,0.10562290043699744,1.0,0.009685603595551661,0.006387504638406529,0.3730921330031806,0.22450822671463025,0.3729937147169958,0.12657922736000382,0.018454292144706362,0.11380920531874235,0.3670417806436536,0.1566913370461331,0.034631455466088944
0.04039650582121444,0.019024702663402254,0.011539311790223184,0.029047565482147614,0.009685603595551661,1.0,0.3966604104784889,0.0852302543643856,0.04846180308491139,0.034116499435571664,0.024350433211536234,0.036212046818986786,0.08518582579684945,0.10594183401141517,0.02808691425592235,0.04946230935366087
0.0432543403073287,0.00869290326362184,0.000579695859726717,0.0067590391875870185,0.006387504638406529,0.3966604104784889,1.0,0.10201651307030835,0.018352884195671996,0.005769038005167704,0.004430472369093089,0.003564043798185566,0.1872443134764063,0.03451650738466158,0.0024491583559358783,0.05454195475294831
0.2040590217355158,0.39767137333818053,0.037843557609995936,0.06450791824737505,0.3730921330031806,0.0852302543643856,0.10201651307030835,1.0,0.2729575846617247,0.18359689951360855,0.09237940425162468,0.040102493127336276,0.40916446807961,0.3972709681587534,0.039782975787289836,0.17843173069434423
0.018276539082140848,0.7568476202114856,0.01199626631610457,0.3642388821973859,0.22450822671463025,0.04846180308491139,0.018352884195671996,0.2729575846617247,1.0,0.44575269559089,0.2887653922404005,0.18855962901563936,0.08567724584004545,0.318594101603762,0.029155138210016487,0.051877613403651886
0.10952944773329931,0.5972398195487563,0.052197630472055105,0.386466235504544,0.3729937147169958,0.034116499435571664,0.005769038005167704,0.18359689951360855,0.44575269559089,1.0,0.11633726456089623,0.025263484576030785,0.06302464937849117,0.2473129074390063,0.024291599551627123,0.06389599070261995
0.028582005660554185,0.3779326905932589,0.04986256333039048,0.2781509532533644,0.12657922736000382,0.024350433211536234,0.004430472369093089,0.09237940425162468,0.2887653922404005,0.11633726456089623,1.0,0.11628980933685612,2.0578816463644423e-05,0.19092857114683595,0.02978244860062851,0.04705966961376584
0.008506833725683664,0.12455113314066252,0.013881606743945805,0.07269927090382625,0.018454292144706362,0.036212046818986786,0.003564043798185566,0.040102493127336276,0.18855962901563936,0.025263484576030785,0.11628980933685612,1.0,0.012811960064892438,0.06310957669817827,0.0022137340720939543,0.008435877820288882
0.1673505071055799,0.13737271871927492,0.023213640144531426,0.03839711127104577,0.11380920531874235,0.08518582579684945,0.1872443134764063,0.40916446807961,0.08567724584004545,0.06302464937849117,2.0578816463644423e-05,0.012811960064892438,1.0,0.17302981153775343,0.047801164582773,0.08144179072809206
0.20424523039685252,0.5261168584000246,0.16714641071550954,0.2561251205159928,0.3670417806436536,0.10594183401141517,0.03451650738466158,0.3972709681587534,0.318594101603762,0.2473129074390063,0.19092857114683595,0.06310957669817827,0.17302981153775343,1.0,0.27427722875830374,0.27019506398845156
0.08646424125178981,0.062130153969044984,0.8029400266816369,0.06816809002172357,0.1566913370461331,0.02808691425592235,0.0024491583559358783,0.039782975787289836,0.029155138210016487,0.024291599551627123,0.02978244860062851,0.0022137340720939543,0.047801164582773,0.27427722875830374,1.0,0.03212723252083411
0.06547211723487796,0.10227920431004763,0.024486663938815205,0.017745885767262604,0.034631455466088944,0.04946230935366087,0.05454195475294831,0.17843173069434423,0.051877613403651886,0.06389599070261995,0.04705966961376584,0.008435877820288882,0.08144179072809206,0.27019506398845156,0.03212723252083411,1.0
