map,group,global_alignment,global_intra_similarity,global_inter_similarity,global_similarity_gap,global_effective_rank,largest_eigenvalue,offdiag_mean,offdiag_std,distance_to_identity,distance_to_uniform,global_kernel_seconds
P_Z_r1_linear_a2_minmax,pauli_terms,0.13580610197697526,0.014461305539739358,0.01049727770642779,0.0039640278333115675,60.82446760876625,2.304245526359807,0.012447831084723958,0.03949683689214921,0.32869706914045965,0.9805898658985371,0.08402094100000568
P_Z_ZZ_r2_linear_a2_minmax,reps,0.12770013712775677,0.0030848834937227065,0.0026183661373949665,0.00046651735632773994,63.90903468700315,1.2165553099388084,0.0028479222968578223,0.00614172052402267,0.05373432535596681,0.98934992204728,0.34269699100002526
P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,0.1267960902065787,0.003714024116318083,0.003470810861356908,0.00024321325496117494,63.89067018475691,1.2619910618311532,0.0035904872249092326,0.006530906678238398,0.059154826132632704,0.9886156506631841,0.6880036260000111
P_Z_ZZ_r1_linear_a2_stdclip,scaling,0.12676781549420676,0.0028227771711712433,0.002551379097793383,0.00027139807337786016,63.83158118206071,1.2317984666321422,0.002684924181518997,0.008778690104868382,0.07286477696749388,0.9895312086795438,0.34803008800003
P_Z_ZZ_r1_linear_a2_minmax,baseline,0.12648552853352382,0.0024653735201305223,0.00230180549985812,0.00016356802027240247,63.91031946130098,1.1805299059416279,0.00238229135110327,0.0062561189655145665,0.053134764564354536,0.9898125974219052,0.17112070499996435
P_Y_YY_r1_linear_a2_minmax,pauli_terms,0.12648552853352382,0.0024653735201305223,0.0023018054998581194,0.0001635680202724029,63.91031946130092,1.180529905941626,0.00238229135110327,0.0062561189655145665,0.05313476456435455,0.9898125974219052,0.553207011999973
P_Z_ZZ_r1_linear_a2_atan,scaling,0.12622655710211322,0.0022387749685780695,0.0021312385421654173,0.00010753642641265224,63.89320998042431,1.1864161544027483,0.002184153291670056,0.006958953360197996,0.05789167574589821,0.9900137951325021,0.179671911000014
P_Z_ZZ_r1_full_a2_minmax,entanglement,0.12613378884818802,0.0072085239119260335,0.007142698131686042,6.58257802399918e-05,63.839857803137285,1.4828920639913838,0.007175088594978736,0.005955729718096748,0.07401361096252043,0.9850556523907068,0.45810946599999625
P_X_XX_r1_linear_a2_minmax,pauli_terms,0.12598060585605914,0.9999999999999827,0.9999999999999827,0.0,1.0,63.999999999998934,0.9999999999999827,4.440892098500626e-16,7.937253933193653,1.6743031930963788e-14,0.5196519709999734
P_Z_ZZ_r1_linear_a4_minmax,alpha,0.12596732491898183,0.002028739667823735,0.002011334820419632,1.7404847404102995e-05,63.94567250784148,1.149332998155033,0.002019899110412127,0.004804709911923287,0.0413691850838349,0.9901641603286878,1.0308461689999717
P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,0.12586591809632505,0.0027238648009506646,0.0027227348665062314,1.1299344444331769e-06,63.919734425972486,1.1939979394425593,0.002723290865994762,0.005738041474557422,0.05041339391061419,0.9894711881635487,0.30443012999995744
P_Z_ZZ_r1_circular_a2_minmax,entanglement,0.12569136300013004,0.0020260851040899306,0.002078285075505511,-5.219997141558052e-05,63.94597289294557,1.1572556072475668,0.0020525993752851463,0.004770956605897025,0.04122422881314733,0.9901315562508229,0.18521661299996595
P_Z_ZZ_r1_linear_a1_minmax,alpha,0.12339529522442995,0.01063949188632065,0.01035025639906606,0.00028923548725458964,61.79719475653045,2.3019859371092632,0.01049257862295324,0.03308410307899146,0.27548698918481035,0.982295049987512,0.2091139489999705
P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,0.12211333644259648,0.02782124854705145,0.02673934352357819,0.0010819050234732591,58.81966768836413,3.2056190922431025,0.027271709487509475,0.04962472122499212,0.44944479414811983,0.9663540146761098,0.270171911000034
P_ZZ_r1_linear_a2_minmax,pauli_terms,0.12206636438380618,0.004521931029410824,0.004978021109179479,-0.0004560900797686545,62.82521634828971,1.5803054189481212,0.0047535958318329985,0.023635045697117205,0.19135401663290483,0.9877188308552707,0.1530353370000057
