group,maps,best_f1,mean_f1,best_balanced_accuracy,mean_alignment,mean_total_seconds
pauli_terms,7,0.6666666666666666,0.5867860302682573,0.609375,0.1459107972116451,1.0891415728214346
scaling,2,0.5196969696969697,0.49630501077869493,0.515625,0.14589458246294054,0.18295807824998178
reps,1,0.5118131868131868,0.5118131868131868,0.5625,0.1466136395787574,0.8819579982499874
alpha,2,0.5107185990338164,0.44197546113306985,0.515625,0.1450245758769387,0.18252349100001197
baseline,1,0.48947736989532653,0.48947736989532653,0.53125,0.14557461363053098,0.4720227427499992
entanglement,2,0.45995475113122175,0.4544698969331322,0.5,0.14587301799790026,0.446299517749992
