accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,map,group,fold,C,alignment,intra_similarity,inter_similarity,similarity_gap,effective_rank_train,offdiag_mean,offdiag_std,distance_to_identity,distance_to_uniform,state_seconds,kernel_seconds,svc_seconds,total_seconds
0.625,0.625,0.625,0.625,0.625,5,3,3,5,P_Z_r1_linear_a2_minmax,pauli_terms,0,0.01,0.15104295281438382,0.013041826602427998,0.010249059250635274,0.0027927673517927232,46.35030760472405,0.011615732635555117,0.03765739615878522,0.27016887740015216,0.9787440118438941,0.15552656599999182,0.01128396699999712,0.004642553999985921,0.17145308699997486
0.5625,0.5625,0.5454545454545454,0.75,0.631578947368421,3,5,2,6,P_Z_r1_linear_a2_minmax,pauli_terms,1,1.0,0.15214519492299605,0.01141775223811573,0.00832751361801496,0.0030902386201007697,46.44507602880474,0.009839758049128103,0.03652326358804528,0.259318669236519,0.9804581084412846,0.10950430299999425,0.0009167769999862685,0.004079696000019339,0.11450077599999986
0.6875,0.6875,0.6363636363636364,0.875,0.7368421052631579,4,4,1,7,P_Z_r1_linear_a2_minmax,pauli_terms,2,0.01,0.15026750497642158,0.013049540381635982,0.010590350708082912,0.0024591896735530697,46.49527185813048,0.011793783952587605,0.03562723357402193,0.2572828720819494,0.9784935145493163,0.20465724600001067,0.023261812999976428,0.0030413050000106523,0.23096036399999775
0.5625,0.5625,0.5555555555555556,0.625,0.5882352941176471,4,4,3,5,P_Z_r1_linear_a2_minmax,pauli_terms,3,10.0,0.16098420049507442,0.011281193369214838,0.005854572723242509,0.005426620645972329,46.82286876974951,0.008510153039356627,0.031667283673171016,0.22480271199330912,0.9816077572196291,0.2108805970000276,0.002043818000004194,0.0017593830000350863,0.21468379800006687
0.5,0.5,0.5,0.625,0.5555555555555556,3,5,3,5,P_ZZ_r1_linear_a2_minmax,pauli_terms,0,10.0,0.14172678937348548,0.003757091946528777,0.004501061460448468,-0.0007439695139196912,47.42942026920535,0.00413699127278564,0.02193797305746686,0.15304999136582328,0.9856739141341238,0.301541731000043,0.006110417999991569,0.004541044999996302,0.31219319400003087
0.375,0.375,0.42857142857142855,0.75,0.5454545454545454,0,8,2,6,P_ZZ_r1_linear_a2_minmax,pauli_terms,1,0.01,0.145093800523815,0.005720499025222815,0.005394396836114104,0.00032610218910871045,47.33437180033449,0.005553978758443899,0.02371875635360303,0.16700606546323105,0.9843125458770682,0.6275988880000227,0.001365233999990778,0.0018342460000440042,0.6307983680000575
0.5,0.5,0.5,0.875,0.6363636363636364,1,7,1,7,P_ZZ_r1_linear_a2_minmax,pauli_terms,2,0.01,0.14555168964268242,0.004846996175309039,0.0044744799713752155,0.00037251620393382364,47.43347105786773,0.004656775135002406,0.021880797614382278,0.153366809865362,0.9851584529454942,0.6559638100000029,0.05538837699998567,0.004055880999999317,0.7154080679999879
0.6875,0.6875,0.6666666666666666,0.75,0.7058823529411765,5,3,2,6,P_ZZ_r1_linear_a2_minmax,pauli_terms,3,10.0,0.13434879761634944,0.0035418685136678453,0.006205126769588292,-0.0026632582559204462,47.118142945596226,0.004901830176265521,0.02741888182353767,0.1909546593249648,0.9850517292396898,0.6466412769999579,0.0008639150000249174,0.003998742999954175,0.651503934999937
0.625,0.625,0.6666666666666666,0.5,0.5714285714285714,6,2,4,4,P_Z_ZZ_r1_linear_a2_minmax,baseline,0,10.0,0.14591978728866178,0.00225055387568125,0.0022006094666472227,4.994440903402725e-05,47.95554237427336,0.0022250503476638744,0.005886544005945528,0.04314285249062585,0.987343938860726,0.5294866579999962,0.0009373940000045877,0.0017168139999625964,0.5321408659999634
0.5625,0.5625,0.5555555555555556,0.625,0.5882352941176471,4,4,3,5,P_Z_ZZ_r1_linear_a2_minmax,baseline,1,10.0,0.14394017464759626,0.0022972598322199916,0.002812452627319246,-0.0005151927950992545,47.93989031303237,0.0025603370041855683,0.006855339483739371,0.05016868780005055,0.9870182919915303,0.481122570000025,0.014301603999967938,0.0016754250000303728,0.4970995990000233
