External_ID,ph,Hardness,Sulfate,Conductivity,Maximum_Absolute_Robust_Z,N_Features_Above_3.5,Is_Multivariate_Anomaly
CR_IRCACH_003,0.03599920754237954,-4.7923089967447146,-8.659482952720563,-3.734028962484287,8.659482952720563,3,True
CR_IRCACH_004,0.30239113451551625,209.41456162164005,-0.9155795731117915,124.2891264346777,209.41456162164005,2,True
CR_IRCACH_005,-0.13476484820963133,-5.131727267412414,-8.662368553573398,-3.466027453961967,8.662368553573398,2,True
CR_IRCACH_009,-1.6238274143671658,-6.35363304181613,-8.261794689729813,-3.5942020884726418,8.261794689729813,3,True
CR_IRCACH_010,0.4731551902675271,-5.946331117014891,-8.135615234255834,-4.048639429010488,8.135615234255834,3,True
CR_IRCACH_011,0.5619524992585727,-5.131727267412414,-8.525433676738851,-3.7689856809871984,8.525433676738851,3,True
CR_IRCACH_012,0.2818994478252754,-5.539029192213652,-8.10151267872233,-3.6291588069755534,8.10151267872233,3,True
CR_IRCACH_014,-0.09378147482914899,-4.995959959145334,-8.654761060415922,-3.605854327973612,8.654761060415922,3,True
CR_IRCACH_016,-0.025475852528344275,-3.6722287035413084,-8.653974078365149,-2.9416766764182984,8.653974078365149,2,True
CR_IRCACH_017,-1.7536080967386942,-6.48940035008321,-8.24343177521177,-3.757333441486228,8.24343177521177,3,True
CR_IRCACH_018,0.4253412546569645,-3.6043450494077685,-8.542747281855863,-2.825154281408594,8.542747281855863,2,True
CR_IRCACH_019,-0.3191900284218034,-5.4032618839465725,-8.589441550201743,-3.3844617774551744,8.589441550201743,2,True
CR_IRCACH_020,0.30922169674559713,-5.539029192213652,-8.58524431259762,-4.036987189509517,8.58524431259762,3,True
CR_IRCACH_021,0.3433745078959992,-4.351065244876706,-7.972185295045258,-2.8601109999115057,7.972185295045258,2,True
CR_IRCACH_022,0.404849567966723,4.745344409017624,-8.268090546136,3.2806192170999044,8.268090546136,2,True
CR_IRCACH_023,0.5004774391878489,-0.07439503446369956,-8.48818319300225,0.2859936653505072,8.48818319300225,1,True
CR_IRCACH_024,0.08381314315294278,30.235656536161816,-7.259441884394952,21.29498148560017,30.235656536161816,3,True
CR_IRCACH_025,0.82834442623171,1.045685258739707,-8.541173317754318,-0.12183471718345745,8.541173317754318,1,True
CR_IRCACH_026,-0.4899540841738142,-5.742680154614272,-8.004451559126961,-3.396114016956145,8.004451559126961,2,True
CR_IRCACH_027,-1.0432296248103292,-3.4685777411406886,-6.044603925351312,-1.8696706423290201,6.044603925351312,1,True
CR_IRCACH_028,0.4526635035772863,-1.3641844630009554,-8.410534297325958,3.956449108156189,8.410534297325958,2,True
