Feature,Feature_Label,Kaggle_Min_Normalized,Kaggle_Max_Normalized,IRCACH_Min_Normalized,IRCACH_Max_Normalized,IRCACH_Median_Normalized
ph,pH,0,1,0.30731535000256727,0.5817753056619275,0.5236885425594173
Hardness,Dureza total,0,1,-0.2767823299692048,25.80936573034408,-0.07173478980010184
Sulfate,Sulfato,0,1,-0.36070723607527505,0.47816860173689574,-0.3334368827415009
Conductivity,Conductividad,0,1,-0.22768629083665942,19.735234123196193,-0.124373555808525
