split,policy,threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp
train_oof,default_threshold_0,0.0,0.6354961832061069,0.5295154185022026,0.5880626223091977,0.5572554473806213,0.6658322903629537,0.6269474563360757,0.24992325975008128,1064,534,421,601
train_oof,oof_max_f1_threshold,-0.7368914828282369,0.5461832061068702,0.45635128071092523,0.8542074363992173,0.5948892674616695,0.34918648310387984,0.6016969597515486,0.22350364435562634,558,1040,149,873
holdout,default_threshold_0,0.0,0.6554878048780488,0.5539568345323741,0.6015625,0.5767790262172284,0.69,0.64578125,0.2878149480660275,276,124,102,154
holdout,oof_max_f1_threshold,-0.7368914828282369,0.5274390243902439,0.4435146443514644,0.828125,0.5776566757493188,0.335,0.5815625,0.17895611934764194,134,266,44,212
